effect_bundle	suitability
#subculture_settlement_occupation_effect_bundle_suitabilities_tables;0;db/subculture_settlement_occupation_effect_bundle_suitabilities_tables/data__	
wh2_main_climate_suitable	suitability_good
wh2_main_climate_uninhabitable	suitability_verypoor
wh2_main_climate_unsuitable	suitability_poor
wh3_dlc20_climate_suitable_chaotic	suitability_good
wh3_dlc20_climate_suitable_desert	suitability_good
wh3_dlc20_climate_suitable_frozen	suitability_good
wh3_dlc20_climate_suitable_island	suitability_good
wh3_dlc20_climate_suitable_jungle	suitability_good
wh3_dlc20_climate_suitable_magicforest	suitability_good
wh3_dlc20_climate_suitable_mountain	suitability_good
wh3_dlc20_climate_suitable_ocean	suitability_good
wh3_dlc20_climate_suitable_savannah	suitability_good
wh3_dlc20_climate_suitable_temperate	suitability_good
wh3_dlc20_climate_suitable_wasteland	suitability_good
wh3_dlc20_climate_uninhabitable_chaotic	suitability_verypoor
wh3_dlc20_climate_uninhabitable_desert	suitability_verypoor
wh3_dlc20_climate_uninhabitable_frozen	suitability_verypoor
wh3_dlc20_climate_uninhabitable_island	suitability_verypoor
wh3_dlc20_climate_uninhabitable_jungle	suitability_verypoor
wh3_dlc20_climate_uninhabitable_magicforest	suitability_verypoor
wh3_dlc20_climate_uninhabitable_mountain	suitability_verypoor
wh3_dlc20_climate_uninhabitable_ocean	suitability_verypoor
wh3_dlc20_climate_uninhabitable_savannah	suitability_verypoor
wh3_dlc20_climate_uninhabitable_temperate	suitability_verypoor
wh3_dlc20_climate_uninhabitable_wasteland	suitability_verypoor
wh3_dlc20_climate_unsuitable_chaotic	suitability_poor
wh3_dlc20_climate_unsuitable_chaotic_boris	suitability_poor
wh3_dlc20_climate_unsuitable_desert	suitability_poor
wh3_dlc20_climate_unsuitable_frozen	suitability_poor
wh3_dlc20_climate_unsuitable_island	suitability_poor
wh3_dlc20_climate_unsuitable_jungle	suitability_poor
wh3_dlc20_climate_unsuitable_magicforest	suitability_poor
wh3_dlc20_climate_unsuitable_mountain	suitability_poor
wh3_dlc20_climate_unsuitable_ocean	suitability_poor
wh3_dlc20_climate_unsuitable_savannah	suitability_poor
wh3_dlc20_climate_unsuitable_temperate	suitability_poor
wh3_dlc20_climate_unsuitable_wasteland	suitability_poor
