character_name	character_level	forename	magic_lore	num_men	surname	unit_type	agent_type	agent_subtype	portrait	character_model	skillset	male
#battle_set_piece_armies_characters_tables;8;db/battle_set_piece_armies_characters_tables/data__												
wh2_dlc09_cha_arkhan_0	1	1543395740		100	2080915970	wh2_dlc09_tmb_cha_arkhan_0	general	wh2_dlc09_tmb_arkhan	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_0.png	128243148		true
wh2_dlc09_cha_arkhan_1	1	1543395740		100	2080915970	wh2_dlc09_tmb_cha_arkhan_1	general	wh2_dlc09_tmb_arkhan	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_1.png	128243148		true
wh2_dlc09_cha_arkhan_2	1	1543395740		100	2080915970	wh2_dlc09_tmb_cha_arkhan_2	general	wh2_dlc09_tmb_arkhan	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_2.png	128243148		true
wh2_dlc09_cha_cha_khalida_0	1	29274214		100	2080915970	wh2_dlc09_tmb_cha_khalida_0	general	wh2_dlc09_tmb_khalida	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khalida_0.png	942038784		true
wh2_dlc09_cha_cha_khalida_1	1	29274214		100	2080915970	wh2_dlc09_tmb_cha_khalida_1	general	wh2_dlc09_tmb_khalida	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khalida_1.png	942038784		true
wh2_dlc09_cha_cha_khalida_2	1	29274214		100	2080915970	wh2_dlc09_tmb_cha_khalida_2	general	wh2_dlc09_tmb_khalida	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khalida_2.png	942038784		true
wh2_dlc09_cha_khatep_0	1	743554178		100	2080915970	wh2_dlc09_tmb_cha_khatep_0	general	wh2_dlc09_tmb_khatep	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khatep_0.png	242444387		true
wh2_dlc09_cha_khatep_1	1	743554178		100	2080915970	wh2_dlc09_tmb_cha_khatep_1	general	wh2_dlc09_tmb_khatep	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khatep_0.png	242444387		true
wh2_dlc09_cha_khatep_2	1	743554178		100	2080915970	wh2_dlc09_tmb_cha_khatep_2	general	wh2_dlc09_tmb_khatep	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_khatep_0.png	242444387		true
wh2_dlc09_cha_settra_0	1	1906048114		100	2080915970	wh2_dlc09_tmb_cha_settra_0	general	wh2_dlc09_tmb_settra	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_settra_0.png	1034628616		true
wh2_dlc09_cha_settra_1	1	1906048114		100	2080915970	wh2_dlc09_tmb_cha_settra_1	general	wh2_dlc09_tmb_settra	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_settra_1.png	1034628616		true
wh2_dlc09_cha_settra_2	1	1906048114		100	2080915970	wh2_dlc09_tmb_cha_settra_2	general	wh2_dlc09_tmb_settra	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_settra_2.png	1034628616		true
wh2_dlc09_cha_settra_3	1	1906048114		100	2080915970	wh2_dlc09_tmb_cha_settra_3	general	wh2_dlc09_tmb_settra	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_settra_3.png	1034628616		true
