key	fire_start_event	fire_stop_event	fire_max_attenuation	group_fire	switch	only_trigger_once_per_volley	fire_use_reverb	fire_obstruction_size	group_fire_start	group_fire_stop
#audio_missile_weapon_types_tables;4;db/audio_missile_weapon_types_tables/data__										
blowpipe			120.0		bolt_large	false	false	0.0	wh_grp_projectile_blowpipe_fire_normal	
bolt_large	Battle_Individual_Artillery_Bolt_Thrower_Release		250.0		bolt_large	false	false	0.0		
bolt_launcher_eagle_claw			250.0		bolt_large	false	false	0.0		
bolt_mounted	Battle_Individual_Artillery_Eagle_Claw_Bolt_Thrower_Launch		250.0		bolt_large	false	false	0.0		
bow	Battle_Individual_Small_Arms_Bow_Release		120.0		bow	false	false	0.0		
bow_LH	Battle_Individual_Small_Arms_Bow_Release_LH		120.0		bow	false	false	0.0		
bow_large	Battle_Individual_Small_Arms_Large_Bow_Release		120.0		bow_large	false	false	0.0		
brinstone_gun	Battle_Individual_Small_Arms_Brinstone_Fire		300.0	wh_grp_projectile_brinstone_gun_fire	brinstone_gun	false	true	0.0		
cannon	Battle_Individual_Artillery_Cannon_Fire		400.0		cannon	false	true	0.0		
catapult_screaming_skull			400.0		catapult_screaming_skull	true	true	0.0		
clattergun	Battle_Individual_Artillery_Copter_Clattergun_Fire		200.0		clattergun	false	true	0.0		
crossbow	Battle_Individual_Small_Arms_Crossbow_Release		120.0	wh_grp_projectile_crossbow_fire	crossbow	false	false	0.0		
crossbow_LH	Battle_Individual_Small_Arms_Crossbow_Release_LH		120.0	wh_grp_projectile_crossbow_fire	crossbow	false	false	0.0		
deck_gunner_cannon	Battle_Individual_Small_Arms_Deck_Gun_Fire		300.0		drakegun	false	true	0.0		
deck_gunner_cannon_RoR	Battle_Individual_Small_Arms_Deck_Gun_RoR_Fire		300.0		drakegun	false	true	0.0		
dragons_breath			200.0		 	false	false	0.0		
drakegun			200.0		drakegun	false	false	0.0	wh_grp_drakegun_fire_start	wh_grp_drakegun_fire_stop
flame_cannon	Battle_Individual_Artillery_Flame_Cannon_Fire		400.0		flame_cannon	false	true	0.0		
gatling_gun	Battle_Individual_Artillery_Gatling_Gun_Fire		350.0		gatling_gun	false	true	0.0		
giant_blowpipe	Battle_Individual_Small_Arms_Giant_Blowpipe_Fire		120.0		bolt_large	false	false	0.0		
globe	Battle_Individual_Small_Arms_Globe_Release		50.0		bolt_large	false	false	0.0	wh2_grp_projectile_globes_fire	
grand_cannon	Battle_Individual_Projectile_Grand_Cannon_Launch		400.0		cannon	false	true	0.0		
great_cannon	Battle_Individual_Artillery_Great_Cannon_Fire		400.0		great_cannon	false	true	0.0		
grenade_launcher	Battle_Individual_Small_Arms_Grenade_Launcher_Fire		200.0	wh_grp_projectile_grenade_launcher_fire	grenade_launcher	false	true	0.0		
hand_cannon	Battle_Individual_Small_Arms_Hand_Cannon_Fire		300.0		hand_cannon	true	true	0.0	wh_grp_projectile_hand_cannon_fire	
hell_cannon	Battle_Individual_Artillery_Hell_Cannon_Fire		350.0		hell_cannon	false	true	0.0		
hell_cannon_ice_forged_legion	Battle_Individual_Artillery_Ice_Forged_Legion_Fire		350.0		hell_cannon	false	true	0.0		
hell_cannon_soul_damnation	Battle_Individual_Artillery_Soul_Of_Damnation_Fire		350.0		hell_cannon	false	true	0.0		
iron_blaster	Battle_Individual_Artillery_Iron_Blaster_Launch		400.0		cannon	false	true	0.0		
iron_hail_gunner	Battle_Individual_Small_Arms_Repeater_Gun_Fire_LH		300.0	wh_grp_projectile_repeater_gun_fire	drakegun	false	true	0.0		
javelin	Battle_Individual_Small_Arms_Javelin_Release		35.0		bow	false	false	0.0		
luminark	Battle_Individual_Small_Arms_Luminark_fire		250.0		bolt_large	false	false	0.0		
mortar	Battle_Individual_Artillery_Mortar_Fire		350.0		mortar	false	true	0.0		
none			0.0		none	false	false	0.0		
orgun_gun	Battle_Individual_Artillery_Orgun_Gun_Fire		400.0		organ_gun	true	true	0.0		
pistol	Battle_Individual_Small_Arms_Pistol_Fire		300.0	wh_grp_projectile_pistol_fire	pistol	true	true	0.0		
pistol_LH	Battle_Individual_Small_Arms_Pistol_Fire_LH		300.0		pistol	true	true	0.0		
pistol_Ogre	Battle_Individual_Small_Arms_Ogre_Pistol_Fire		300.0	wh_grp_projectile_ogre_pistol_fire	pistol	true	true	0.0		
pistol_Ogre_LH	Battle_Individual_Small_Arms_Ogre_Pistol_Fire_LH		300.0		pistol	true	true	0.0		
poison_wind_mortar	Battle_IND_Projectile_Poison_Wind_Mortar_Fire		350.0		grenade_launcher	false	true	0.0		
queen_bess			800.0		queen_bess	false	true	0.0		
razordon_spike	Battle_Individual_Projectile_Razordon_Shot		65.0		bolt_large	true	true	0.0		
repeater_gun	Battle_Individual_Small_Arms_Repeater_Gun_Fire		300.0	wh_grp_projectile_repeater_gun_fire	repeater_gun	false	true	0.0		
