corruption	one_shot	type
#audio_battle_environment_corruption_one_shot_junctions_tables;0;db/audio_battle_environment_corruption_one_shot_junctions_tables/data__		
khorne	WH3_Faction_Khorne_Primary_Oneshot_Flame_Burst	plains
khorne	WH3_Faction_Khorne_Primary_Oneshot_Volcano_Explosion	plains
khorne	WH3_Faction_Khorne_Wildlife_Oneshot_Giant_Spider	plains
khorne	WH3_Faction_Khorne_Wildlife_Oneshot_Pig	plains
khorne	WH3_Faction_Khorne_Wildlife_Oneshot_Vulture_A	plains
khorne	WH3_Faction_Khorne_Wildlife_Oneshot_Vulture_B	plains
nurgle	WH3_Faction_Nurgle_Oneshot_Creature	plains
nurgle	WH3_Faction_Nurgle_Oneshot_Creature_Creak	plains
nurgle	WH3_Faction_Nurgle_Oneshot_Distant_Explosion	plains
nurgle	WH3_Faction_Nurgle_Oneshot_Steam_Bubble	plains
nurgle	WH3_Faction_Nurgle_Wildlife_Oneshot_Flies	plains
nurgle	WH3_Faction_Nurgle_Wildlife_Oneshot_Insects	plains
slaanesh	WH3_Faction_Slaanesh_Primary_Oneshot_Damned_Souls	plains
slaanesh	WH3_Faction_Slaanesh_Primary_Oneshot_Screams	plains
slaanesh	WH3_Faction_Slaanesh_Primary_Oneshot_Whispers	plains
slaanesh	WH3_Faction_Slaanesh_Wildlife_Oneshot_Giant_Crab	plains
slaanesh	WH3_Faction_Slaanesh_Wildlife_Oneshot_Lizard_Bird	plains
tzeentch	WH3_Faction_Tzeentch_Forest_Oneshot_Crows_A	plains
tzeentch	WH3_Faction_Tzeentch_Primary_Oneshot_Crystal_Glass	plains
tzeentch	WH3_Faction_Tzeentch_Primary_Oneshot_Light_Tones	plains
tzeentch	WH3_Faction_Tzeentch_Primary_Oneshot_Magic_Wind	plains
tzeentch	WH3_Faction_Tzeentch_Wildlife_Oneshot_Alien_Bird	plains
tzeentch	WH3_Faction_Tzeentch_Wildlife_Oneshot_Raven	plains
