priority	profile	default_strategic_component
#cai_personality_strategic_profile_context_overrides_tables;0;db/cai_personality_strategic_profile_context_overrides_tables/data__		
1	wh3_strategic_profile_aggressive	wh3_strategic_component_aggressive_hard
1	wh3_strategic_profile_aggressive_opportunistic	wh3_strategic_component_aggressive_opportunistic_hard
1	wh3_strategic_profile_chaos	wh3_strategic_component_chaos_hard
1	wh3_strategic_profile_chaos_aggressive	wh3_strategic_component_chaos_aggressive_hard
1	wh3_strategic_profile_chaos_vengeful	wh3_strategic_component_chaos_vengeful_hard
1	wh3_strategic_profile_cowardly	wh3_strategic_component_cowardly_hard
1	wh3_strategic_profile_default	wh3_strategic_component_default_hard
1	wh3_strategic_profile_frenzied	wh3_strategic_component_frenzied
1	wh3_strategic_profile_nurgle	wh3_strategic_component_nurgle_hard
1	wh3_strategic_profile_opportunistic	wh3_strategic_component_opportunistic_hard
1	wh3_strategic_profile_rift_spawned	wh3_strategic_component_rift_spawned
1	wh3_strategic_profile_vampire	wh3_strategic_component_vampire_hard
1	wh3_strategic_profile_vengeful	wh3_strategic_component_vengeful_hard
