forest	tree	starting_feature_set
#feature_tree_to_feature_forests_tables;1;db/feature_tree_to_feature_forests_tables/data__		
LOCKED_HORDE	LOCKED_HORDE	HORDE
LOCKED_HORDE_SETTLED	LOCKED_HORDE_SETTLED	LOCKED_HORDE_SETTLED
MIXED_NAVAL_HORDE	LOCKED_MIXED_NAVAL_HORDE	MIXED_NAVAL_HORDE
LOCKED_STANDARD	LOCKED_STANDARD_FACTION	STANDARD_FACTION
MIGRATORY_HORDE	MIGRATORY_HORDE	SETTLEABLE_HORDE
MIGRATORY_STANDARD	MIGRATORY_HORDE	MIGRATORY_STANDARD_FACTION
LOCKED_HORDE	PRIMARY_FACTION	EMPTY
LOCKED_STANDARD	PRIMARY_FACTION	EMPTY
MIGRATORY_HORDE	PRIMARY_FACTION	EMPTY
MIGRATORY_STANDARD	PRIMARY_FACTION	EMPTY
MIXED_NAVAL_HORDE	PRIMARY_FACTION	EMPTY
