composite_scene	culture
#culture_campaign_destruction_composite_scene_junctions_tables;0;db/culture_campaign_destruction_composite_scene_junctions_tables/data__	
raze_settlement	wh2_dlc09_tmb_tomb_kings
raze_settlement	wh2_dlc11_cst_vampire_coast
raze_settlement	wh2_main_def_dark_elves
raze_settlement	wh2_main_hef_high_elves
raze_settlement	wh2_main_lzd_lizardmen
raze_settlement	wh2_main_rogue
raze_settlement	wh2_main_skv_skaven
raze_settlement	wh3_main_cth_cathay
raze_settlement	wh3_main_dae_daemons
raze_settlement	wh3_main_kho_khorne
raze_settlement	wh3_main_ksl_kislev
raze_settlement	wh3_main_nur_nurgle
raze_settlement	wh3_main_ogr_ogre_kingdoms
raze_settlement	wh3_main_pro_ksl_kislev
raze_settlement	wh3_main_sla_slaanesh
raze_settlement	wh3_main_tze_tzeentch
raze_settlement	wh_dlc03_bst_beastmen
raze_settlement	wh_dlc05_wef_wood_elves
raze_settlement	wh_dlc08_nor_norsca
raze_settlement	wh_main_brt_bretonnia
raze_settlement	wh_main_chs_chaos
raze_settlement	wh_main_dwf_dwarfs
raze_settlement	wh_main_emp_empire
raze_settlement	wh_main_grn_greenskins
raze_settlement	wh_main_vmp_vampire_counts
