character_trait	technology_node
#technology_character_traits_junctions_tables;0;db/technology_character_traits_junctions_tables/data__	
wh2_main_trait_innate_dummy_raknik	tech_grn_mid_1_1
wh2_main_trait_innate_dummy_oglok	tech_grn_mid_2_1
wh2_dlc09_dummy_trait_dynasty_1	wh2_dlc09_tech_tmb_tomb_king_1
wh2_dlc09_dummy_trait_dynasty_2	wh2_dlc09_tech_tmb_tomb_king_2
wh2_dlc09_dummy_trait_dynasty_3	wh2_dlc09_tech_tmb_tomb_king_3
wh2_dlc09_dummy_trait_dynasty_4	wh2_dlc09_tech_tmb_tomb_king_4
wh2_dlc09_dummy_trait_dynasty_5	wh2_dlc09_tech_tmb_tomb_king_5
wh2_dlc09_dummy_trait_dynasty_6	wh2_dlc09_tech_tmb_tomb_king_6
wh2_dlc11_admiral_01_trait	wh2_dlc11_tech_cst_admirals_01
wh2_dlc11_admiral_02_trait	wh2_dlc11_tech_cst_admirals_02
wh2_dlc11_admiral_03_trait	wh2_dlc11_tech_cst_admirals_03
wh2_dlc11_admiral_04_trait	wh2_dlc11_tech_cst_admirals_04
