currency_type	map_barrier	cost_value
#battle_currency_map_barriers_cost_values_tables;0;db/battle_currency_map_barriers_cost_values_tables/data__		
supplies_currency	forge_of_souls_barrier_01	1500.0000
supplies_currency	forge_of_souls_barrier_02	1500.0000
supplies_currency	khorne_barrier_01	1500.0000
supplies_currency	khorne_barrier_02	1500.0000
supplies_currency	map_barrier_default	1500.0000
supplies_currency	nurgle_barrier_01	1500.0000
supplies_currency	nurgle_barrier_02	1500.0000
supplies_currency	slaanesh_barrier_01	1500.0000
supplies_currency	slaanesh_barrier_02	1500.0000
supplies_currency	tzeentch_barrier_01	1500.0000
supplies_currency	tzeentch_barrier_02	1500.0000
