key	effect_1	effect_2
#plague_effects_tables;1;db/plague_effects_tables/data__		
wh2_dlc14_feature_skaven_skrolk_force	wh2_main_plague_skaven_force_1	wh2_main_plague_skaven_force_2
wh2_dlc14_feature_skaven_skrolk_settlement	wh2_main_plague_skaven_settlement_1	wh2_main_plague_skaven_settlement_2
wh2_dlc17_plague_beastmen_force	wh2_dlc17_plague_beastmen_force_1	wh2_dlc17_plague_beastmen_force_2
wh2_dlc17_plague_beastmen_settlement	wh2_dlc17_plague_beastmen_settlement_1	wh2_dlc17_plague_beastmen_settlement_2
wh2_main_plague_skaven_force	wh2_main_plague_skaven_force_1	wh2_main_plague_skaven_force_2
wh2_main_plague_skaven_settlement	wh2_main_plague_skaven_settlement_1	wh2_main_plague_skaven_settlement_2
wh3_main_nur_base_Ague_force	wh3_main_nur_base_Ague_force_1	wh3_main_nur_base_Ague_force_2
wh3_main_nur_base_Ague_force_festus	wh3_main_nur_base_Ague_force_festus_1	wh3_main_nur_base_Ague_force_festus_2
wh3_main_nur_base_Ague_settlement	wh3_main_nur_base_Ague_settlement_1	wh3_main_nur_base_Ague_settlement_2
wh3_main_nur_base_Ague_settlement_festus	wh3_main_nur_base_Ague_settlement_festus_1	wh3_main_nur_base_Ague_settlement_festus_2
wh3_main_nur_base_Buboes_force	wh3_main_nur_base_Buboes_force_1	wh3_main_nur_base_Buboes_force_2
wh3_main_nur_base_Buboes_force_festus	wh3_main_nur_base_Buboes_force_festus_1	wh3_main_nur_base_Buboes_force_festus_2
wh3_main_nur_base_Buboes_settlement	wh3_main_nur_base_Buboes_settlement_1	wh3_main_nur_base_Buboes_settlement_2
wh3_main_nur_base_Buboes_settlement_festus	wh3_main_nur_base_Buboes_settlement_festus_1	wh3_main_nur_base_Buboes_settlement_festus_2
wh3_main_nur_base_Pox_force	wh3_main_nur_base_Pox_force_1	wh3_main_nur_base_Pox_force_2
wh3_main_nur_base_Pox_force_festus	wh3_main_nur_base_Pox_force_festus_1	wh3_main_nur_base_Pox_force_festus_2
wh3_main_nur_base_Pox_settlement	wh3_main_nur_base_Pox_settlement_1	wh3_main_nur_base_Pox_settlement_2
wh3_main_nur_base_Pox_settlement_festus	wh3_main_nur_base_Pox_settlement_festus_1	wh3_main_nur_base_Pox_settlement_festus_2
wh3_main_nur_base_Rot_force	wh3_main_nur_base_Rot_force_1	wh3_main_nur_base_Rot_force_2
wh3_main_nur_base_Rot_force_festus	wh3_main_nur_base_Rot_force_festus_1	wh3_main_nur_base_Rot_force_festus_2
wh3_main_nur_base_Rot_settlement	wh3_main_nur_base_Rot_settlement_1	wh3_main_nur_base_Rot_settlement_2
wh3_main_nur_base_Rot_settlement_festus	wh3_main_nur_base_Rot_settlement_festus_1	wh3_main_nur_base_Rot_settlement_festus_2
wh3_main_nur_base_Shakes_force	wh3_main_nur_base_Shakes_force_1	wh3_main_nur_base_Shakes_force_2
wh3_main_nur_base_Shakes_force_festus	wh3_main_nur_base_Shakes_force_festus_1	wh3_main_nur_base_Shakes_force_festus_2
wh3_main_nur_base_Shakes_settlement	wh3_main_nur_base_Shakes_settlement_1	wh3_main_nur_base_Shakes_settlement_2
wh3_main_nur_base_Shakes_settlement_festus	wh3_main_nur_base_Shakes_settlement_festus_1	wh3_main_nur_base_Shakes_settlement_festus_2
wh3_main_plague_component_7_force_festus	wh3_main_plague_component_7_force_festus_1	
wh3_main_plague_component_7_settlement_festus		
wh3_main_plague_daemon_prince_bowelsteep_force	wh3_main_plague_daemon_prince_bowelsteep_force_1	wh3_main_plague_daemon_prince_bowelsteep_force_2
wh3_main_plague_daemon_prince_bowelsteep_settlement		
wh3_main_plague_daemon_prince_grey_fever_force	wh3_main_plague_daemon_prince_grey_fever_force_1	wh3_main_plague_daemon_prince_grey_fever_force_2
wh3_main_plague_daemon_prince_grey_fever_settlement		
wh3_main_plague_daemon_prince_ochre_pox		
wh3_main_plague_daemon_prince_ochre_pox_force	wh3_main_plague_daemon_prince_ochre_pox_force_1	wh3_main_plague_daemon_prince_ochre_pox_force_2
wh3_main_plague_daemon_prince_the_red_ague		
wh3_main_plague_daemon_prince_the_red_ague_force	wh3_main_plague_daemon_prince_the_red_ague_force_1	wh3_main_plague_daemon_prince_the_red_ague_force_2
wh3_nur_plague_component_10_force		wh3_nur_plague_component_10_force_2
wh3_nur_plague_component_10_settlement		
wh3_nur_plague_component_11_force		wh3_nur_plague_component_11_force_2
wh3_nur_plague_component_11_settlement		
wh3_nur_plague_component_12_force		
wh3_nur_plague_component_12_settlement		wh3_nur_plague_component_12_settlement_2
wh3_nur_plague_component_13_force		wh3_nur_plague_component_13_force_2
wh3_nur_plague_component_13_settlement		
wh3_nur_plague_component_14_force	wh3_nur_plague_component_14_force_1	
wh3_nur_plague_component_14_settlement		
wh3_nur_plague_component_15_force	wh3_nur_plague_component_15_force_1	
wh3_nur_plague_component_15_settlement		
wh3_nur_plague_component_16_force	wh3_nur_plague_component_16_force_1	wh3_nur_plague_component_16_force_2
wh3_nur_plague_component_16_settlement	wh3_nur_plague_component_16_settlement_1	wh3_nur_plague_component_16_settlement_2
wh3_nur_plague_component_17_force	wh3_nur_plague_component_17_force_1	wh3_nur_plague_component_17_force_2
wh3_nur_plague_component_17_settlement	wh3_nur_plague_component_17_settlement_1	wh3_nur_plague_component_17_settlement_2
wh3_nur_plague_component_18_force	wh3_nur_plague_component_18_force_1	wh3_nur_plague_component_18_force_2
wh3_nur_plague_component_18_settlement	wh3_nur_plague_component_18_settlement_1	wh3_nur_plague_component_18_settlement_2
wh3_nur_plague_component_19_force	wh3_nur_plague_component_19_force_1	wh3_nur_plague_component_19_force_2
wh3_nur_plague_component_19_settlement	wh3_nur_plague_component_19_settlement_1	wh3_nur_plague_component_19_settlement_2
wh3_nur_plague_component_1_force		wh3_nur_plague_component_1_force_2
wh3_nur_plague_component_1_settlement		
wh3_nur_plague_component_20_force		wh3_nur_plague_component_20_force_2
wh3_nur_plague_component_20_settlement		
wh3_nur_plague_component_2_force		
