subculture	culture	index	audio_state_override	audio_corruption_state_override	audio_rtpc_override	region_owner_audio_switch
#cultures_subcultures_tables;6;db/cultures_subcultures_tables/data__						
filter_all	wh2_main_rogue	291926875				
wh2_dlc09_sc_tmb_tomb_kings	wh2_dlc09_tmb_tomb_kings	1851343798				Tomb_Kings
wh2_dlc11_sc_cst_vampire_coast	wh2_dlc11_cst_vampire_coast	379467047				Vampire_Coast
wh2_main_rogue	wh2_main_rogue	939841996				
wh2_main_rogue_chaos	wh2_main_rogue	844593482				
wh2_main_sc_def_dark_elves	wh2_main_def_dark_elves	1851343782				Dark_Elves
wh2_main_sc_hef_high_elves	wh2_main_hef_high_elves	1851343764				High_Elves
wh2_main_sc_lzd_lizardmen	wh2_main_lzd_lizardmen	1851343747				Lizardmen
wh2_main_sc_skv_skaven	wh2_main_skv_skaven	1851343750				Skaven
wh3_main_pro_sc_kho_khorne	wh3_main_kho_khorne	1595464182				Khorne
wh3_main_pro_sc_ksl_kislev	wh3_main_pro_ksl_kislev	424371220				Kislev
wh3_main_pro_sc_tze_tzeentch	wh3_main_tze_tzeentch	1956889705				Tzeentch
wh3_main_sc_cth_cathay	wh3_main_cth_cathay	625503437				Cathay
wh3_main_sc_dae_daemons	wh3_main_dae_daemons	505648555				Chaos
wh3_main_sc_kho_khorne	wh3_main_kho_khorne	1851343807				Khorne
wh3_main_sc_ksl_kislev	wh3_main_ksl_kislev	784618772				Kislev
wh3_main_sc_nur_nurgle	wh3_main_nur_nurgle	1851343799				Nurgle
wh3_main_sc_ogr_ogre_kingdoms	wh3_main_ogr_ogre_kingdoms	1851343783				Ogre_Kingdoms
wh3_main_sc_sla_slaanesh	wh3_main_sla_slaanesh	1851343817				Slaanesh
wh3_main_sc_tze_tzeentch	wh3_main_tze_tzeentch	1851343803				Tzeentch
wh_dlc03_sc_bst_beastmen	wh_dlc03_bst_beastmen	1851343759				Beastmen
wh_dlc05_sc_wef_wood_elves	wh_dlc05_wef_wood_elves	1851343774				Wood_Elves
wh_dlc08_sc_nor_norsca	wh_dlc08_nor_norsca	1851343827	Norsca			
wh_main_sc_brt_bretonnia	wh_main_brt_bretonnia	1851343786				Bretonnia
wh_main_sc_chs_chaos	wh_main_chs_chaos	1851343731				Chaos
wh_main_sc_dwf_dwarfs	wh_main_dwf_dwarfs	1851343740				Dwarves
wh_main_sc_emp_empire	wh_main_emp_empire	1851343725				Empire
wh_main_sc_grn_greenskins	wh_main_grn_greenskins	1851343715				Greenskins
wh_main_sc_grn_savage_orcs	wh_main_grn_greenskins	1851343842				
wh_main_sc_teb_teb	wh_main_emp_empire	1851343830				
wh_main_sc_vmp_vampire_counts	wh_main_vmp_vampire_counts	1851343795				Vampire_Counts
