key	faction_effects	faction_leader_effects	icon	resource_cost	vo_trigger
#cooking_recipes_tables;3;db/cooking_recipes_tables/data__					
wh2_dlc15_food_dish_1		wh2_dlc15_food_dish_1	ui/skins/default/grom_recipes_misty_mountain_broth.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Misty_Mountain_Broth
wh2_dlc15_food_dish_10		wh2_dlc15_food_dish_10	ui/skins/default/grom_recipes_cheesy_shrooms.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Cheesy_Shrooms
wh2_dlc15_food_dish_2		wh2_dlc15_food_dish_2	ui/skins/default/grom_recipes_bony_meat_skewers.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Bony_Meat_Skewers
wh2_dlc15_food_dish_3		wh2_dlc15_food_dish_3	ui/skins/default/grom_recipes_wyvern_stew.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Wyvern_Stew
wh2_dlc15_food_dish_4		wh2_dlc15_food_dish_4	ui/skins/default/grom_recipes_nuggets_slime.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Nuggets_n_Slime
wh2_dlc15_food_dish_5		wh2_dlc15_food_dish_5	ui/skins/default/grom_recipes_surf_n_turf.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Surf_n_Turf
wh2_dlc15_food_dish_6		wh2_dlc15_food_dish_6	ui/skins/default/grom_recipes_shroom_sausage.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Shroom_n_Offal
wh2_dlc15_food_dish_7		wh2_dlc15_food_dish_7	ui/skins/default/grom_recipes_magnum_pizza.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Magnum_Pizza
wh2_dlc15_food_dish_8		wh2_dlc15_food_dish_8	ui/skins/default/grom_recipes_shroom_burger.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Fishy_Burgers
wh2_dlc15_food_dish_9		wh2_dlc15_food_dish_9	ui/skins/default/grom_recipes_seafood_quiche.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Gobbo_Quiche
wh2_dlc15_food_special_dish_1		wh2_dlc15_food_special_dish_1	ui/skins/default/grom_recipes_ghost_crab_royale.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Ghost_Crab_Royale
wh2_dlc15_food_special_dish_2		wh2_dlc15_food_special_dish_2	ui/skins/default/grom_recipes_elven_foie_gras.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Elven_Foie_Gras
wh2_dlc15_food_special_dish_3		wh2_dlc15_food_special_dish_3	ui/skins/default/grom_recipes_blood_pudding.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Blood_Pudding
wh2_dlc15_food_special_dish_4		wh2_dlc15_food_special_dish_4	ui/skins/default/grom_recipes_fried_squirrel_fish.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Squirrel_Fish
wh2_dlc15_food_special_dish_5		wh2_dlc15_food_special_dish_5	ui/skins/default/grom_recipes_bugmans_battered_ribs.png	wh2_dlc15_cooking_cost	Play_GOB_Grom_Gromscauldron_Bugmans_Ribs
