battle_type	hit_points_building_large	hit_points_building_medium	hit_points_building_small	hit_points_building_ultra	hit_points_siege_vehicle_ultra	building_projectile_damage_ultra	building_projectile_detonation_damage_ultra	fort_tower_fire_frequency_small	hit_points_siege_vehicle_large	hit_points_siege_vehicle_medium	hit_points_siege_vehicle_small	fort_tower_fire_frequency_medium	building_projectile_damage_large	building_projectile_damage_medium	building_projectile_damage_small	fort_tower_fire_frequency_large	building_projectile_detonation_damage_large	building_projectile_detonation_damage_medium	building_projectile_detonation_damage_small	fort_tower_fire_frequency_ultra
#unit_size_global_scalings_tables;0;db/unit_size_global_scalings_tables/data__																				
ambush	0.75	0.5	0.25	1.0	1.0	1.0	1.0	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0
campaign_battle	0.75	0.5	0.25	1.0	1.0	1.0	1.0	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0
capture_point	0.75	0.5	0.25	1.0	1.0	1.0	1.0	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0
classic	0.75	0.5	0.25	1.0	1.0	1.0	1.0	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0
domination	0.75	0.5	0.25	1.0	1.0	1.0	1.0	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0
free_for_all	0.75	0.5	0.25	1.0	1.0	1.0	1.0	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0
river_crossing_battle	0.75	0.5	0.25	1.0	1.0	1.0	1.0	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0
siege	0.75	0.5	0.25	1.0	1.0	1.0	1.0	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0
survival	0.75	0.5	0.25	1.0	1.0	1.0	1.0	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0
underground_intercept	0.75	0.5	0.25	1.0	1.0	1.0	1.0	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0
unfortified_settlement	0.75	0.5	0.25	1.0	1.0	1.0	1.0	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0	0.75	0.5	0.25	1.0
