vehicle	cap	probability
#battlefield_siege_vehicles_custom_battles_tables;0;db/battlefield_siege_vehicles_custom_battles_tables/data__		
brt_battering_ram	2	30.0
brt_siege_tower_15m	10	100.0
bst_battering_ram	2	30.0
bst_siege_tower_15m	10	100.0
chs_battering_ram	2	30.0
chs_siege_tower_15m	10	100.0
cst_battering_ram	2	30.0
cst_siege_tower_15m	10	100.0
cth_battering_ram	2	30.0
cth_siege_tower_15m	10	100.0
def_battering_ram	2	30.0
def_siege_tower_15m	10	100.0
dwf_battering_ram	2	30.0
dwf_siege_tower_15m	10	100.0
emp_battering_ram	2	30.0
emp_siege_tower_15m	10	100.0
grn_battering_ram	2	30.0
grn_siege_tower_15m	10	100.0
hef_battering_ram	2	30.0
hef_siege_tower_15m	10	100.0
kho_battering_ram	2	30.0
kho_siege_tower_15m	10	100.0
ksl_battering_ram	2	30.0
ksl_siege_tower_15m	10	100.0
lzd_battering_ram	2	30.0
lzd_siege_tower_15m	10	100.0
nor_battering_ram	2	30.0
nor_siege_tower_15m	10	100.0
nur_battering_ram	2	30.0
nur_siege_tower_15m	10	100.0
skv_battering_ram	2	30.0
skv_siege_tower_15m	10	100.0
sla_battering_ram	2	30.0
sla_siege_tower_15m	10	100.0
tmb_battering_ram	2	30.0
tmb_siege_tower_15m	10	100.0
tze_battering_ram	2	30.0
tze_siege_tower_15m	10	100.0
vmp_battering_ram	2	30.0
vmp_siege_tower_15m	10	100.0
wef_battering_ram	2	30.0
wef_siege_tower_15m	10	100.0
