priority	profile	policy
#cai_personalities_decision_profile_context_overrides_tables;0;db/cai_personalities_decision_profile_context_overrides_tables/data__		
1	changing_of_the_ways_actions_profile	changing_of_the_ways_actions_easy
2	changing_of_the_ways_actions_profile	changing_of_the_ways_actions_hard
1	manipulate_diplomacy_profile	manipulate_diplomacy_easy
2	manipulate_diplomacy_profile	manipulate_diplomacy_hard
1	promise_of_perfection_profile	promise_of_perfection_default
2	promise_of_perfection_profile	promise_of_perfection_hard
1	wh3_ritual_skv_workshop_profile	wh3_ritual_skv_workshop_doom_machines
2	wh3_ritual_skv_workshop_profile	wh3_ritual_skv_workshop_weapons_teams
1	wh3_ritual_vmp_bloodlines_profile	wh3_ritual_vmp_bloodlines_voncarstein
2	wh3_ritual_vmp_bloodlines_profile	wh3_ritual_vmp_bloodlines_necrach
3	wh3_ritual_vmp_bloodlines_profile	wh3_ritual_vmp_bloodlines_lahmia
1	wh3_ritual_wef_forge_profile	wh3_ritual_wef_forge_dragon
2	wh3_ritual_wef_forge_profile	wh3_ritual_wef_forge_dreaming
3	wh3_ritual_wef_forge_profile	wh3_ritual_wef_forge_eagle
4	wh3_ritual_wef_forge_profile	wh3_ritual_wef_forge_twilight
