campaign	faction	locked_team
#time_of_legends_campaigns_to_factions_tables;1;db/time_of_legends_campaigns_to_factions_tables/data__		
wh3_main_tol_darkness_and_disharmony	wh3_main_cth_the_northern_provinces	0
wh3_main_tol_darkness_and_disharmony	wh3_main_cth_the_western_provinces	1
wh3_main_tol_darkness_and_disharmony	wh3_main_kho_exiles_of_khorne	2
wh3_main_tol_darkness_and_disharmony	wh3_main_nur_poxmakers_of_nurgle	3
wh3_main_tol_darkness_and_disharmony	wh3_main_ogr_disciples_of_the_maw	4
wh3_main_tol_darkness_and_disharmony	wh3_main_ogr_goldtooth	5
wh3_main_tol_darkness_and_disharmony	wh3_main_sla_seducers_of_slaanesh	6
wh3_main_tol_darkness_and_disharmony	wh3_main_tze_oracles_of_tzeentch	7
wh3_main_tol_something_rotten_in_kislev	wh3_main_ksl_the_great_orthodoxy	0
wh3_main_tol_something_rotten_in_kislev	wh3_main_ksl_the_ice_court	0
wh3_main_tol_something_rotten_in_kislev	wh3_main_ksl_ursun_revivalists	0
