key	hit_points	model	battle_entity	gun_type	docking_clearance	engine	image_path	recruitment_cap	uses_8m_wall	uses_15m_wall	cost	category_image_path	special_edition_mask	ignition_threshold	attack_damage	selection_priority	sort_order	autoresolver_effectiveness	audio_type
#battlefield_siege_vehicles_tables;18;db/battlefield_siege_vehicles_tables/data__																			
brt_battering_ram	16000	brt_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	0	0.5	
brt_siege_tower_15m	12000	brt_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	6	1.0	wh_war_machine_brt_large
bst_battering_ram	16000	bst_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	13	0.5	
bst_siege_tower_15m	12000	bst_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	14	1.0	
chs_battering_ram	16000	chs_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	1	0.5	
chs_siege_tower_15m	12000	chs_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	7	1.0	
cst_battering_ram	16000	cst_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	3	0.5	
cst_siege_tower_15m	12000	cst_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	13	1.0	
cth_battering_ram	16000	cth_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	3	0.5	
cth_batteringram	500	cth_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0.0	1.0	0	0.0	
cth_siege_tower_15m	12000	cth_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	13	1.0	
def_battering_ram	16000	def_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	3	0.5	
def_siege_tower_15m	12000	def_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	14	1.0	
dwf_battering_ram	16000	dwf_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	2	0.5	
dwf_siege_tower_15m	12000	dwf_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	8	1.0	
emp_battering_ram	16000	emp_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	3	0.5	
emp_siege_tower_15m	12000	emp_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	10	1.0	
grn_battering_ram	16000	grn_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	4	0.5	
grn_siege_tower_15m	12000	grn_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	11	1.0	
hef_battering_ram	16000	hef_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	3	0.5	
hef_siege_tower_15m	12000	hef_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	10	1.0	
kho_battering_ram	16000	kho_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	3	0.5	
kho_batteringram	500	kho_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	false	false	0	PLACEHOLDER	0	100	0.0	1.0	0	0.0	
kho_siege_tower_15m	12000	kho_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	6	1.0	wh3_siege_tower_khorne
ksl_battering_ram	16000	ksl_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	3	0.5	
ksl_siege_tower_15m	12000	ksl_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	13	1.0	
lzd_battering_ram	16000	lzd_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	1	0.5	wh2_siege_tower_lizardmen
lzd_siege_tower_15m	12000	lzd_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	7	1.0	wh2_siege_tower_lizardmen
nor_battering_ram	16000	nor_batteringram	nor_battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	1	1.0	
nor_siege_tower_15m	12000	nor_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	7	1.0	
nur_battering_ram	16000	nur_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	3	0.5	
nur_siege_tower_15m	12000	nur_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	6	1.0	wh3_siege_tower_nurgle
skv_battering_ram	16000	skv_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	3	0.5	
skv_siege_tower_15m	12000	skv_siege_tower_15m	siege_tower		3.2		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0	2.0	10	1.0	wh2_siege_tower_skaven
sla_battering_ram	16000	sla_batteringram	battering_ram		2.0		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	3000.0	1.0	3	0.5	
