select_context	over_context	tooltip_line	advice_line	main_line
#campaign_map_tooltips_tables;2;db/campaign_map_tooltips_tables/data__				
agent	abandonded_region	rome2_tltip_right_clk_move		rome2_tltip_main_province
agent	abandoned_major_settlement	rome2_tltip_left_clk_select	wh2_main_tltip_ruins	rome2_tltip_abandoned_major_region
agent	abandoned_minor_settlement	rome2_tltip_left_clk_select	wh2_main_tltip_ruins	rome2_tltip_abandoned_minor_region
agent	allied_agent	rome2_tltip_right_clk_act_against_character_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	
agent	allied_army	rome2_tltip_right_clk_act_against_army_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_allied_general
agent	allied_blark	rome2_tltip_left_clk_select_inspection		wh2_main_tltip_allied_blark
agent	allied_fixed_camp	rome2_tltip_right_clk_act_against_army_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	wh3_main_tltip_allied_fixed_camp
agent	allied_major_settlement_land	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_allied_province_capital
agent	allied_major_settlement_land_besieged	rome2_tltip_left_clk_select_inspection	rome2_tltip_warning_cannot_act_besieged_non_enemy	rome2_tltip_main_allied_province_capital
agent	allied_major_settlement_port	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_allied_province_capital
agent	allied_major_settlement_port_blockaded	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_allied_province_capital
agent	allied_minor_settlement_land	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_allied_minor_settlement
agent	allied_minor_settlement_land_besieged	rome2_tltip_left_clk_select_inspection	rome2_tltip_warning_cannot_act_besieged_non_enemy	rome2_tltip_main_allied_minor_settlement
agent	allied_minor_settlement_port	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_allied_minor_settlement
agent	allied_minor_settlement_port_blockaded	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_allied_minor_settlement
agent	contested_sea_region	rome2_tltip_right_clk_move		
agent	enemy_agent	rome2_tltip_right_clk_act_against_character_left_clk_select_inspection		rome2_tltip_main_enemy_agent
agent	enemy_army	rome2_tltip_right_clk_act_against_army_left_clk_select_inspection		rome2_tltip_main_enemy_general
agent	enemy_blark			wh2_main_tltip_enemy_blark
agent	enemy_fixed_camp	rome2_tltip_right_clk_act_against_army_left_clk_select_inspection		wh3_main_tltip_enemy_fixed_camp
agent	enemy_major_settlement_land	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection		rome2_tltip_main_enemy_province_capital
agent	enemy_major_settlement_land_besieged	rome2_tltip_left_clk_select_inspection	rome2_tltip_warning_cannot_act_besieged_non_enemy	rome2_tltip_main_enemy_province_capital
agent	enemy_major_settlement_port	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection		rome2_tltip_main_enemy_province_capital
agent	enemy_major_settlement_port_blockaded	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection		rome2_tltip_main_enemy_province_capital
agent	enemy_minor_settlement_land	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection		rome2_tltip_main_enemy_minor_settlement
agent	enemy_minor_settlement_land_besieged	rome2_tltip_left_clk_select_inspection	rome2_tltip_warning_cannot_act_besieged_non_enemy	rome2_tltip_main_enemy_minor_settlement
agent	enemy_minor_settlement_port	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection		rome2_tltip_main_enemy_minor_settlement
agent	enemy_minor_settlement_port_blockaded	rome2_tltip_right_clk_act_against_settlement_left_clk_select_inspection		rome2_tltip_main_enemy_minor_settlement
agent	enemy_region	rome2_tltip_right_clk_move		rome2_tltip_main_province
agent	hostile_sea_region	rome2_tltip_right_clk_move	rome2_tltip_hostile_sea_region_self	
agent	non_player_agent	rome2_tltip_right_clk_act_against_character_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	
agent	non_player_army	rome2_tltip_right_clk_act_against_army_left_clk_select_inspection	rome2_tltip_warning_diplomatic_impact_action	rome2_tltip_main_non_player_general
agent	non_player_blark	rome2_tltip_left_clk_select_inspection		wh2_main_tltip_non_player_blark
