key	post_satisfaction_policy	scope
#unit_purchasable_effect_prerequisite_sets_tables;0;db/unit_purchasable_effect_prerequisite_sets_tables/data__		
wh2_dlc16_throt_flesh_lab_inf_aug_10	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_inf_aug_11	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_inf_aug_12	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_inf_aug_13	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_inf_aug_14	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_inf_aug_15	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_inf_aug_16	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_inf_aug_17	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_inf_aug_3	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_inf_aug_4	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_inf_aug_5	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_inf_aug_6	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_inf_aug_7	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_inf_aug_8	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_inf_aug_9	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_10	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_11	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_12	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_13	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_14	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_15	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_16	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_17	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_3	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_4	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_5	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_6	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_7	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_8	permanently_satisfied	faction
wh2_dlc16_throt_flesh_lab_mon_aug_9	permanently_satisfied	faction
