key	intensity_rtpc	start_event	stop_event	reverb	obstruction	culling_distance
#audio_campaign_environment_looping_sounds_tables;2;db/audio_campaign_environment_looping_sounds_tables/data__						
Loop_Forest_Base_Tree_Large		Campaign_Environment_Tree_Large_Base_Play	Campaign_Environment_Tree_Large_Base_Stop	true	true	40.0000
Loop_Forest_Base_Tree_Large_Blossom		Campaign_Environment_Tree_Large_Blossom_Base_Play	Campaign_Environment_Tree_Large_Blossom_Base_Stop	true	true	40.0000
Loop_Forest_Base_Tree_Large_Evil		Campaign_Environment_Tree_Large_Evil_Base_Play	Campaign_Environment_Tree_Large_Evil_Base_Stop	true	true	40.0000
Loop_Forest_Base_Tree_Large_Jungle		Campaign_Environment_Tree_Large_Jungle_Base_Play	Campaign_Environment_Tree_Large_Jungle_Base_Stop	true	true	40.0000
Loop_Forest_Base_Tree_Large_Mountain		Campaign_Environment_Tree_Large_Mountain_Base_Play	Campaign_Environment_Tree_Large_Mountain_Base_Stop	true	true	40.0000
Loop_Forest_Base_Tree_Large_Palm		Campaign_Environment_Tree_Large_Palm_Base_Play	Campaign_Environment_Tree_Large_Palm_Base_Stop	true	true	40.0000
Loop_Forest_Base_Tree_Large_Snow		Campaign_Environment_Tree_Large_Snow_Base_Play	Campaign_Environment_Tree_Large_Snow_Base_Stop	true	true	40.0000
Loop_Forest_Base_Tree_Small_Base		Campaign_Environment_Tree_Small_Base_Play	Campaign_Environment_Tree_Small_Base_Stop	true	true	40.0000
Loop_Forest_Base_Tree_Small_Jungle		Campaign_Environment_Tree_Small_Jungle_Base_Play	Campaign_Environment_Tree_Small_Jungle_Base_Stop	true	true	40.0000
Loop_Forest_Base_Tree_Small_Palm		Campaign_Environment_Tree_Large_Palm_Base_Play	Campaign_Environment_Tree_Large_Palm_Base_Stop	true	true	40.0000
Loop_Forest_Base__Tree_Large_Dead		Campaign_Environment_Tree_Large_Dead_Base_Play	Campaign_Environment_Tree_Large_Dead_Base_Stop	true	true	40.0000
Loop_Forest_Faction_Beastmen		Campaign_Environment_Beastmen_Forest_Play	Campaign_Environment_Beastmen_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Bretonnia		Campaign_Environment_Bretonnia_Forest_Play	Campaign_Environment_Bretonnia_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Cathay		Campaign_Environment_Cathay_Forest_Play	Campaign_Environment_Cathay_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Chaos		Campaign_Environment_Chaos_Forest_Play	Campaign_Environment_Chaos_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Daemon_Prince		Campaign_Environment_Daemon_Prince_Forest_Play	Campaign_Environment_Daemon_Prince_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Dark_Elves		Campaign_Environment_Dark_Elves_Forest_Play	Campaign_Environment_Dark_Elves_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Dwarves		Campaign_Environment_Dwarf_Forest_Play	Campaign_Environment_Dwarf_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Empire		Campaign_Environment_Empire_Forest_Play	Campaign_Environment_Empire_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Greenskins		Campaign_Environment_Greenskin_Forest_Play	Campaign_Environment_Greenskin_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_High_Elves		Campaign_Environment_High_Elves_Forest_Play	Campaign_Environment_High_Elves_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Khorne		Campaign_Environment_Khorne_Forest_Play	Campaign_Environment_Khorne_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Kislev		Campaign_Environment_Kislev_Forest_Play	Campaign_Environment_Kislev_Forest_Stop	true	true	40.0000
Loop_Forest_Faction_Kislev_Prologue		Campaign_Environment_Kislev_Forest_Prologue_Play	Campaign_Environment_Kislev_Forest_Prologue_Stop	true	true	40.0000
