variable_key	campaign_name	difficulty	campaign_type	value
#campaigns_campaign_variables_junctions_tables;4;db/campaigns_campaign_variables_junctions_tables/data__				
display_vortex_enabled	wh3_main_combi			1.0
display_vortex_position_x	wh3_main_combi			171.7
display_vortex_position_z	wh3_main_combi			431.2
enable_scripted_pathfinding_restrictions	wh3_main_prologue			6.0
faction_gdp_other_minor	wh3_main_chaos	EASY		3000.0
faction_gdp_other_minor	wh3_main_chaos	NORMAL		3000.0
faction_gdp_other_minor	wh3_main_prologue	EASY		2500.0
faction_gdp_other_minor	wh3_main_prologue	NORMAL		2500.0
faction_gdp_other	wh3_main_chaos	EASY	MP_NORMAL	6000.0
faction_gdp_other	wh3_main_chaos	NORMAL	MP_NORMAL	5000.0
faction_gdp_other	wh3_main_chaos	EASY	SP_NORMAL	6000.0
faction_gdp_other	wh3_main_chaos	NORMAL	SP_NORMAL	5000.0
faction_gdp_other	wh3_main_prologue	EASY		2500.0
faction_gdp_other	wh3_main_prologue	NORMAL		2500.0
occupation_decision_gift_to_another_faction_conquest_public_order_reduction	wh3_main_combi	EASY		5.0
occupation_decision_gift_to_another_faction_public_order_reduction_different_culture	wh3_main_combi	EASY		4.0
occupation_decision_gift_to_another_faction_public_order_reduction_same_culture	wh3_main_combi	EASY		2.0
occupation_decision_loot_conquest_public_order_reduction	wh3_main_combi	EASY		20.0
occupation_decision_occupation_conquest_public_order_reduction	wh3_main_combi	EASY		5.0
occupation_decision_occupation_public_order_reduction_different_culture	wh3_main_combi	EASY		4.0
occupation_decision_occupation_public_order_reduction_same_culture	wh3_main_combi	EASY		2.0
occupation_decision_raze_conquest_public_order_reduction	wh3_main_combi	EASY		20.0
occupation_decision_raze_public_order_reduction	wh3_main_combi	EASY		4.0
province_development_threshold_calc_points_multiplier	wh3_main_combi	LEGENDARY		125.0
province_development_threshold_calc_points_multiplier	wh3_main_combi	VERY_HARD		125.0
rebel_army_additional_units_per_turn_size	wh3_main_combi	EASY		2.0
rebel_army_additional_units_per_turn_size	wh3_main_combi	HARD		6.0
rebel_army_additional_units_per_turn_size	wh3_main_combi	LEGENDARY		6.0
rebel_army_additional_units_per_turn_size	wh3_main_combi	VERY_HARD		6.0
rebel_initial_army_size	wh3_main_combi	EASY		4.0
rebel_initial_army_size	wh3_main_combi	HARD		8.0
rebel_initial_army_size	wh3_main_combi	LEGENDARY		8.0
rebel_initial_army_size	wh3_main_combi	VERY_HARD		8.0
siege_immunity_disabled	wh3_main_prologue	EASY		0.0
