usage_param	multiplier
#battle_ai_abilities_usage_params_tables;1;db/battle_ai_abilities_usage_params_tables/data__	
bool_ability_active	1.0
bool_ability_active_inverse	1.0
bool_ability_final_use	1.0
bool_ammo_under_threshold	0.1
bool_charged_at	1.0
bool_charging	1.0
bool_charging_at_me	1.0
bool_contesting_victory_point	1.0
bool_flying_currently	1.0
bool_flying_currently_inverse	1.0
bool_flying_unit	1.0
bool_flying_unit_inverse	1.0
bool_has_abilities_costing_mana	1.0
bool_in_melee	1.0
bool_missile_unit	1.0
bool_missile_unit_inverse	1.0
bool_on_wall_near_siege_attack_focus	1.0
bool_out_of_melee	1.0
bool_shooting	1.0
bool_shooting_at_me	1.0
bool_standing_still	1.0
bool_threatened	1.0
bool_threatening_me	1.0
bool_under_fire	1.0
value_armour	0.010000001
value_armour_inverse	0.010000001
value_damage_resist_all	0.010000001
value_damage_resist_all_inverse	0.010000001
value_damage_resist_flame	0.010000001
value_damage_resist_flame_inverse	0.010000001
value_damage_resist_magic	0.010000001
value_damage_resist_magic_inverse	0.010000001
value_damage_resist_missile	0.010000001
value_damage_resist_missile_inverse	0.010000001
value_damage_resist_physical	0.010000001
value_damage_resist_physical_inverse	0.010000001
value_damage_weak_flame	0.010000001
value_damage_weak_flame_inverse	0.010000001
value_enemy_to_friendly_ratio	1.0
value_enemy_units_in_area	0.25
value_enemy_units_in_area_inverse	0.25
value_enemy_units_in_cone	1.0
value_formation_rows	0.2
value_friendly_to_enemy_ratio	1.0
value_friendly_units_in_area	0.25
value_friendly_units_in_area_inverse	0.25
value_hitpoint_damage_taken	0.000100000005
value_hitpoint_total	0.000100000005
value_homing_projectile_ratio	1.0
value_homing_projectile_ratio_inverse	1.0
value_melee_attack	0.010000001
value_melee_attack_inverse	0.010000001
value_melee_cp	0.001
value_melee_cp_inverse	0.001
value_missile_attack	1.0
value_missle_cp	0.001
value_missle_cp_inverse	0.001
value_morale_score	0.010000001
value_morale_score_inverse	0.010000001
value_num_men	0.0055000004
value_num_men_inverse	0.0055000004
value_spacing_horizontal	0.2
value_spacing_vertical	0.2
value_speed_current	0.1
value_speed_current_inverse	0.1
value_speed_max	0.1
value_speed_max_inverse	0.1
value_total_cp	0.001
value_total_cp_inverse	0.001
value_winds_of_magic_amount	0.030000001
value_winds_of_magic_amount_inverse	0.030000001
value_winds_of_magic_recharge	5.0
value_winds_of_magic_recharge_inverse	5.0
