subculture	category
#subculture_treasure_hunt_dilemma_categories_tables;0;db/subculture_treasure_hunt_dilemma_categories_tables/data__	
wh2_dlc09_sc_tmb_tomb_kings	TreasureHunt_TombKings
wh2_main_rogue	TreasureHunt_Empire
wh2_main_rogue_chaos	TreasureHunt_Empire
wh2_main_sc_def_dark_elves	TreasureHunt_DarkElves
wh2_main_sc_hef_high_elves	TreasureHunt_HighElves
wh2_main_sc_lzd_lizardmen	TreasureHunt_LizardMen
wh2_main_sc_skv_skaven	TreasureHunt_Skaven
wh_dlc05_sc_wef_wood_elves	TreasureHunt_WoodElves
wh_dlc08_sc_nor_norsca	TreasureHunt_Empire
wh_main_sc_brt_bretonnia	TreasureHunt_Bretonnia
wh_main_sc_dwf_dwarfs	TreasureHunt_Dwarfs
wh_main_sc_emp_empire	TreasureHunt_Empire
wh_main_sc_grn_greenskins	TreasureHunt_Greenskins
wh_main_sc_grn_savage_orcs	TreasureHunt_Greenskins
wh_main_sc_teb_teb	TreasureHunt_Empire
wh_main_sc_vmp_vampire_counts	TreasureHunt_VampireCounts
