key	on_sea	required_subculture	own	ui_info	require_war_declaration_ability	region_group	force_faction_diplomatic_faction_set	region_ownership	force_region_owner_diplomatic_faction_set	garrisoned
#ritual_military_force_target_criterias_tables;0;db/ritual_military_force_target_criterias_tables/data__										
ritual_target_force_any	Undefined		Undefined		false			Undefined		Undefined
ritual_target_force_any_but_allies	False		Undefined		false		exclude_self_and_allies	Undefined		Undefined
ritual_target_force_any_land	False		Undefined	force_any_land	false			Undefined		Undefined
ritual_target_force_enemy	False		False	force_enemy	false		enemies	Undefined		Undefined
ritual_target_force_navy	True		False		false			Undefined		Undefined
ritual_target_force_navy_any	True		Undefined		false			Undefined		Undefined
ritual_target_force_navy_own	True		True		false			Undefined		Undefined
ritual_target_force_own	False		True	force_own	false			Undefined		Undefined
ritual_target_force_own_allied	False		Undefined		false		self_or_allied	Undefined		Undefined
ritual_target_force_own_enemy_territory	False		True	force_own_enemy_territory	false			False	enemies	Undefined
ritual_target_force_own_land_or_sea	Undefined		True	force_own	false			Undefined		Undefined
ritual_target_force_own_ungarrisoned	False		True	force_own_ungarrisoned	false			Undefined		False
ritual_target_force_skv	False	wh2_main_sc_skv_skaven	False		false			Undefined		Undefined
wh2_dlc16_worldroots_teleport_athel_loren	False		True		false	wh2_dlc16_worldroots_teleport_athel_loren		Undefined		Undefined
wh2_dlc16_worldroots_teleport_emerald_pools_main	False		True		false	wh2_dlc16_worldroots_teleport_emerald_pools_main		Undefined		Undefined
wh2_dlc16_worldroots_teleport_forest_of_gloom	False		True		false	wh2_dlc16_worldroots_teleport_forest_of_gloom		Undefined		Undefined
wh2_dlc16_worldroots_teleport_gaean_vale_main	False		True		false	wh2_dlc16_worldroots_teleport_gaean_vale_main		Undefined		Undefined
wh2_dlc16_worldroots_teleport_gryphon_wood	False		True		false	wh2_dlc16_worldroots_teleport_gryphon_wood		Undefined		Undefined
wh2_dlc16_worldroots_teleport_heart_of_the_jungle_main	False		True		false	wh2_dlc16_worldroots_teleport_heart_of_the_jungle_main		Undefined		Undefined
wh2_dlc16_worldroots_teleport_jungles_of_chian	False		True		false	wh2_dlc16_worldroots_teleport_jungles_of_chian		Undefined		Undefined
wh2_dlc16_worldroots_teleport_laurelorn	False		True		false	wh2_dlc16_worldroots_teleport_laurelorn		Undefined		Undefined
wh2_dlc16_worldroots_teleport_the_haunted_forest	False		True		false	wh2_dlc16_worldroots_teleport_the_haunted_forest		Undefined		Undefined
wh2_dlc16_worldroots_teleport_witchwood_main	False		True		false	wh2_dlc16_worldroots_teleport_witchwood_main		Undefined		Undefined
