priority	profile	default_deal_evaluation_component
#cai_personality_deal_evaluation_profile_context_overrides_tables;0;db/cai_personality_deal_evaluation_profile_context_overrides_tables/data__		
2	wh3_deal_eval_profile_bretonnia	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_bretonnia_major	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_bretonnia_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_cathay	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_cathay_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_chaos	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_chaos_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_darkelf	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_darkelf_major	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_darkelf_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_darkelf_unfriendly	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_default	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_dwarf	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_dwarf_major	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_dwarf_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_dwarf_unfriendly	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_empire	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_empire_major	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_empire_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_empire_unfriendly	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_greenskin	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_greenskin_major	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_greenskin_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_greenskin_unfriendly	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_highelf	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_highelf_major	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_highelf_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_highelf_unfriendly	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_kislev	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_kislev_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_lizardmen	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_lizardmen_major	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_lizardmen_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_lizardmen_unfriendly	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_norsca	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_norsca_major	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_norsca_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_norsca_vassal	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_ogre	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_ogre_greedy	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_ogre_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_passive	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_sentinels	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_skaven	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_skaven_major	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_skaven_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_skaven_unfriendly	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_slaanesh	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_slaanesh_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_tombkings	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_tombkings_major	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_tombkings_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_tombkings_passive	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_vampire	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_vampire_major	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_vampire_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_vampire_unfriendly	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_vampirecoast	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_vampirecoast_major	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_vampirecoast_minor	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_woc	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_woodelf	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_woodelf_major	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_woodelf_major_secondary	wh3_deal_eval_regionless
2	wh3_deal_eval_profile_woodelf_minor	wh3_deal_eval_regionless
