key	dilemma_key	index
#character_training_dilemma_choices_tables;0;db/character_training_dilemma_choices_tables/data__		
wh3_main_character_training_dilemma_frost_maiden_bolster_who_first	wh3_main_character_training_dilemma_frost_maiden_bolster_who	FIRST
wh3_main_character_training_dilemma_frost_maiden_bolster_who_second	wh3_main_character_training_dilemma_frost_maiden_bolster_who	SECOND
wh3_main_character_training_dilemma_frost_maiden_envoy_of_ice_first	wh3_main_character_training_dilemma_frost_maiden_envoy_of_ice	FIRST
wh3_main_character_training_dilemma_frost_maiden_envoy_of_ice_second	wh3_main_character_training_dilemma_frost_maiden_envoy_of_ice	SECOND
wh3_main_character_training_dilemma_frost_maiden_guardians_of_the_ice_first	wh3_main_character_training_dilemma_frost_maiden_guardians_of_the_ice	FIRST
wh3_main_character_training_dilemma_frost_maiden_guardians_of_the_ice_second	wh3_main_character_training_dilemma_frost_maiden_guardians_of_the_ice	SECOND
wh3_main_character_training_dilemma_frost_maiden_ice_fightress_first	wh3_main_character_training_dilemma_frost_maiden_ice_fightress	FIRST
wh3_main_character_training_dilemma_frost_maiden_ice_fightress_second	wh3_main_character_training_dilemma_frost_maiden_ice_fightress	SECOND
wh3_main_character_training_dilemma_frost_maiden_iron_maiden_first	wh3_main_character_training_dilemma_frost_maiden_iron_maiden	FIRST
wh3_main_character_training_dilemma_frost_maiden_iron_maiden_second	wh3_main_character_training_dilemma_frost_maiden_iron_maiden	SECOND
wh3_main_character_training_dilemma_frost_maiden_manifest_power_first	wh3_main_character_training_dilemma_frost_maiden_manifest_power	FIRST
wh3_main_character_training_dilemma_frost_maiden_manifest_power_second	wh3_main_character_training_dilemma_frost_maiden_manifest_power	SECOND
wh3_main_character_training_dilemma_frost_maiden_not_yet_accomplished_first	wh3_main_character_training_dilemma_frost_maiden_not_yet_accomplished	FIRST
wh3_main_character_training_dilemma_frost_maiden_not_yet_accomplished_second	wh3_main_character_training_dilemma_frost_maiden_not_yet_accomplished	SECOND
wh3_main_character_training_dilemma_frost_maiden_protector_first	wh3_main_character_training_dilemma_frost_maiden_protector	FIRST
wh3_main_character_training_dilemma_frost_maiden_protector_second	wh3_main_character_training_dilemma_frost_maiden_protector	SECOND
wh3_main_character_training_dilemma_frost_maiden_provincial_aid_first	wh3_main_character_training_dilemma_frost_maiden_provincial_aid	FIRST
wh3_main_character_training_dilemma_frost_maiden_provincial_aid_second	wh3_main_character_training_dilemma_frost_maiden_provincial_aid	SECOND
wh3_main_character_training_dilemma_frost_maiden_provincial_matters_first	wh3_main_character_training_dilemma_frost_maiden_provincial_matters	FIRST
wh3_main_character_training_dilemma_frost_maiden_provincial_matters_second	wh3_main_character_training_dilemma_frost_maiden_provincial_matters	SECOND
wh3_main_character_training_dilemma_frost_maiden_selfless_defence_first	wh3_main_character_training_dilemma_frost_maiden_selfless_defence	FIRST
wh3_main_character_training_dilemma_frost_maiden_selfless_defence_second	wh3_main_character_training_dilemma_frost_maiden_selfless_defence	SECOND
wh3_main_character_training_dilemma_frost_maiden_the_frost_moons_boon_first	wh3_main_character_training_dilemma_frost_maiden_the_frost_moons_boon	FIRST
wh3_main_character_training_dilemma_frost_maiden_the_frost_moons_boon_second	wh3_main_character_training_dilemma_frost_maiden_the_frost_moons_boon	SECOND
wh3_main_character_training_dilemma_frost_maiden_the_heroine_first	wh3_main_character_training_dilemma_frost_maiden_the_heroine	FIRST
wh3_main_character_training_dilemma_frost_maiden_the_heroine_second	wh3_main_character_training_dilemma_frost_maiden_the_heroine	SECOND
wh3_main_character_training_dilemma_frost_maiden_the_path_once_taken_first	wh3_main_character_training_dilemma_frost_maiden_the_path_once_taken	FIRST
wh3_main_character_training_dilemma_frost_maiden_the_path_once_taken_second	wh3_main_character_training_dilemma_frost_maiden_the_path_once_taken	SECOND
wh3_main_character_training_dilemma_frost_maiden_the_visit_first	wh3_main_character_training_dilemma_frost_maiden_the_visit	FIRST
wh3_main_character_training_dilemma_frost_maiden_the_visit_second	wh3_main_character_training_dilemma_frost_maiden_the_visit	SECOND
wh3_main_character_training_dilemma_ice_witch_a_gift_from_the_ice_court_first	wh3_main_character_training_dilemma_ice_witch_a_gift_from_the_ice_court	FIRST
wh3_main_character_training_dilemma_ice_witch_a_gift_from_the_ice_court_second	wh3_main_character_training_dilemma_ice_witch_a_gift_from_the_ice_court	SECOND
wh3_main_character_training_dilemma_ice_witch_disciplined_approach_first	wh3_main_character_training_dilemma_ice_witch_disciplined_approach	FIRST
wh3_main_character_training_dilemma_ice_witch_disciplined_approach_second	wh3_main_character_training_dilemma_ice_witch_disciplined_approach	SECOND
wh3_main_character_training_dilemma_ice_witch_fight_fire_with_ice_first	wh3_main_character_training_dilemma_ice_witch_fight_fire_with_ice	FIRST
