group	member
#event_feed_group_members_tables;0;db/event_feed_group_members_tables/data__	
event_feed_context_location_agent	agent
event_feed_context_location_besieger_general	besieger.general
event_feed_context_location_blockader_general	blockader.general
event_feed_context_location_character	character
event_feed_context_location_contesting_region_province	contesting.region_and_province
event_feed_context_location_dilemma_target	dilemma.target
event_feed_context_location_settlement_captured_region_province	settlement_captured.region_and_province
event_feed_context_location_unit_region_province	unit.region_and_province
event_feed_layout_data_agent_recruited	agent
event_feed_layout_data_agent_recruited	agent.faction
event_feed_layout_data_agent_recruited	agent.type
event_feed_layout_data_agent_targets_army	agent.faction:acting
event_feed_layout_data_agent_targets_army	agent:actor
event_feed_layout_data_agent_targets_army	target.faction:target
event_feed_layout_data_agent_targets_army	target.general:target
event_feed_layout_data_agent_targets_character	agent.faction:acting
event_feed_layout_data_agent_targets_character	agent:actor
event_feed_layout_data_agent_targets_character	target.faction:target
event_feed_layout_data_agent_targets_character	target:target
event_feed_layout_data_agent_targets_settlement	agent
event_feed_layout_data_agent_targets_settlement	agent.faction:acting
event_feed_layout_data_agent_targets_settlement	target
event_feed_layout_data_agent_targets_settlement	target.faction:target
event_feed_layout_data_allied_foreign_slot_added	faction:left
event_feed_layout_data_allied_foreign_slot_added	faction:right
event_feed_layout_data_ancillary_gained	ancillary
event_feed_layout_data_ancillary_gained	character
event_feed_layout_data_ancillary_gained	character.profession
event_feed_layout_data_armory_item_unlocked	armory_item
event_feed_layout_data_armory_item_unlocked	family_member
event_feed_layout_data_building_event	building
event_feed_layout_data_character_dies_battle	character
event_feed_layout_data_character_dies_battle	character.faction:acting
event_feed_layout_data_character_dies_battle	opponent:target
event_feed_layout_data_character_dies_in_action	character
event_feed_layout_data_character_dies_in_action	character.faction:acting
event_feed_layout_data_character_dies_in_action	character.faction:target
event_feed_layout_data_character_loyalty_low	character
event_feed_layout_data_character_loyalty_low	character.faction:acting
event_feed_layout_data_character_loyalty_low	character.faction:target
event_feed_layout_data_character_rank_gained	character
event_feed_layout_data_character_rank_gained	character.faction:acting
event_feed_layout_data_character_rank_gained	character.faction:target
event_feed_layout_data_character_ready_for_duty	character
event_feed_layout_data_character_ready_for_duty	character.faction:acting
event_feed_layout_data_character_ready_for_duty	character.faction:target
event_feed_layout_data_character_wounded	character
event_feed_layout_data_character_wounded	character.faction:acting
event_feed_layout_data_character_wounded	character.faction:target
event_feed_layout_data_conquest_battle	attacker.primary_general:attacking
event_feed_layout_data_conquest_battle	attacker:attacking
event_feed_layout_data_conquest_battle	attacker_result:attacking
event_feed_layout_data_conquest_battle	defender.primary_general:defending
event_feed_layout_data_conquest_battle	defender:defending
event_feed_layout_data_conquest_battle	defender_result:defending
event_feed_layout_data_conquest_enemy_raid_settlement	raided.faction:target
event_feed_layout_data_conquest_enemy_raid_settlement	raider.faction:acting
event_feed_layout_data_conquest_enemy_raid_settlement	raider.general
event_feed_layout_data_conquest_siege_lifted	besieger.faction:acting
event_feed_layout_data_conquest_siege_lifted	besieger.general
event_feed_layout_data_conquest_siege_lifted	settlement.faction:target
event_feed_layout_data_diplomacy_enemy_discovered_actor	actor:left
event_feed_layout_data_diplomacy_enemy_discovered_actor	recipient:right
event_feed_layout_data_diplomacy_enemy_discovered_recipient	actor:right
event_feed_layout_data_diplomacy_enemy_discovered_recipient	recipient:left
event_feed_layout_data_diplomacy_faction_destroyed	faction:left
event_feed_layout_data_diplomacy_faction_destroyed	faction:right
event_feed_layout_data_diplomacy_faction_encountered	faction_1:left
event_feed_layout_data_diplomacy_faction_encountered	faction_2:right
event_feed_layout_data_diplomacy_manipulation_complete_break_alliance	event_type
event_feed_layout_data_diplomacy_manipulation_complete_break_alliance	source_faction:left
event_feed_layout_data_diplomacy_manipulation_complete_break_alliance	target_faction:right
event_feed_layout_data_diplomacy_manipulation_complete_force_war	event_type
event_feed_layout_data_diplomacy_manipulation_complete_force_war	source_faction:left
event_feed_layout_data_diplomacy_manipulation_complete_force_war	target_faction:right
event_feed_layout_data_diplomacy_trespassing	faction:target
event_feed_layout_data_diplomacy_trespassing	force.faction:acting
event_feed_layout_data_diplomacy_trespassing	force.general
event_feed_layout_data_diplomacy_war_coordination_target_force_pursued	faction:left
event_feed_layout_data_diplomacy_war_coordination_target_force_pursued	faction:right
event_feed_layout_data_diplomacy_war_coordination_target_force_success	event_type
event_feed_layout_data_diplomacy_war_coordination_target_force_success	faction:left
event_feed_layout_data_diplomacy_war_coordination_target_force_success	target.faction:right
event_feed_layout_data_diplomacy_war_coordination_target_region_success	event_type
event_feed_layout_data_diplomacy_war_coordination_target_region_success	faction:left
event_feed_layout_data_diplomacy_war_coordination_target_region_success	target.faction:right
event_feed_layout_data_diplomacy_war_coordination_target_success_ours	ally:left
event_feed_layout_data_diplomacy_war_coordination_target_success_ours	ally:right
event_feed_layout_data_diplomatic_actor_left_recipient_right	actor:left
event_feed_layout_data_diplomatic_actor_left_recipient_right	event_type
event_feed_layout_data_diplomatic_actor_left_recipient_right	recipient:right
event_feed_layout_data_diplomatic_joining_faction_left_war_faction_1_right	event_type
event_feed_layout_data_diplomatic_joining_faction_left_war_faction_1_right	joining_faction:left
event_feed_layout_data_diplomatic_joining_faction_left_war_faction_1_right	war_faction_1:right
event_feed_layout_data_diplomatic_recipient_left_actor_right	actor:right
event_feed_layout_data_diplomatic_recipient_left_actor_right	event_type
event_feed_layout_data_diplomatic_recipient_left_actor_right	recipient:left
event_feed_layout_data_diplomatic_war_faction_1_left_joining_faction_right	event_type
