key	group	region
#campaign_rogue_army_spawn_regions_tables;0;db/campaign_rogue_army_spawn_regions_tables/data__		
1003554341	wh3_main_chaos_rogue_spawn_kislev	wh3_main_chaos_region_karak_vlag
1006338346	wh3_main_chaos_rogue_spawn_empire	wh3_main_chaos_region_gnashraks_lair
1007177237	wh2_main_grand_rogue_spawn_oldworld_central	wh3_main_combi_region_pfeildorf
1007318883	wh2_main_grand_rogue_spawn_naggaroth_south	wh3_main_combi_region_petrified_forest
1012028074	wh2_main_grand_rogue_spawn_naggaroth_central	wh3_main_combi_region_khymerica_spire
1013941168	wh2_main_grand_rogue_spawn_oldworld_central	wh3_main_combi_region_bechafen
1015431989	wh2_main_grand_rogue_spawn_oldworld_central	wh3_main_combi_region_essen
1017869521	wh3_main_chaos_rogue_spawn_cathay	wh3_main_chaos_region_qiang
1023002290	wh3_main_chaos_rogue_spawn_empire	wh3_main_chaos_region_broekwater
1025205999	wh3_main_chaos_rogue_spawn_kislev	wh3_main_chaos_region_erengrad
1028389663	wh2_main_grand_rogue_spawn_norsca	wh3_main_combi_region_serpent_jetty
1028632709	wh2_main_grand_rogue_spawn_naggaroth_central	wh3_main_combi_region_temple_of_addaioth
1031944594	wh3_main_chaos_rogue_spawn_chaos_wastes	wh3_main_chaos_region_dragons_death
1032090804	wh3_main_chaos_rogue_spawn_empire	wh3_main_chaos_region_karak_kadrin
1034230080	wh3_main_chaos_rogue_spawn_ogres	wh3_main_chaos_region_the_last_sky_castle
1036960614	wh2_main_grand_rogue_spawn_oldworld_central	wh3_main_combi_region_gorssel
103760640	wh2_main_grand_rogue_spawn_southlands_central	wh3_main_combi_region_the_golden_tower
1039249915	wh2_main_grand_rogue_spawn_lustria_east	wh3_main_combi_region_rackdo_gorge
1040306394	wh3_main_chaos_rogue_spawn_chaos_wastes	wh3_main_chaos_region_the_silvered_tower_of_sorcerers
1047546597	wh3_main_chaos_rogue_spawn_chaos_wastes	wh3_main_chaos_region_the_blighted_grove
1048691926	wh2_main_grand_rogue_spawn_norsca	wh3_main_combi_region_the_monolith_of_katam
1049761803	wh2_main_grand_rogue_spawn_oldworld_west	wh3_main_combi_region_quenelles
1053792612	wh2_main_grand_rogue_spawn_badlands_north	wh3_main_combi_region_the_pillars_of_grungni
105482998	wh2_main_grand_rogue_spawn_southlands_west	wh3_main_combi_region_fortress_of_dawn
