child_id	ui_tooltip	icon_path	state_name	is_visible
#ui_tooltip_components_tables;2;db/ui_tooltip_components_tables/data__				
icon_with_text	test_quit_game_tooltip	placeholder		true
entry1	test_title_list_and_footer_tooltip	bullet_point_white		true
entry2	test_title_list_and_footer_tooltip	bullet_point_white		true
entry3	test_title_list_and_footer_tooltip	bullet_point_white		true
footer	test_title_list_and_footer_tooltip			true
title	test_title_list_and_footer_tooltip			true
text	tooltip_battle_contents			true
text	tooltip_battle_index			true
text	tooltip_campaign_contents			true
text	tooltip_campaign_index			true
description	tooltip_campaign_ivory_road			true
entry1	tooltip_campaign_ivory_road	placeholder		true
entry2	tooltip_campaign_ivory_road	placeholder		true
entry3	tooltip_campaign_ivory_road	placeholder		true
title	tooltip_campaign_ivory_road			true
text	tooltip_how_to_play_title			true
