key	campaign_map
#campaign_map_areas_of_interest_tables;1;db/campaign_map_areas_of_interest_tables/data__	
wh3_main_ancient_dragon_cave	wh3_main_chaos_map_1
wh3_main_brazen_altar	wh3_main_chaos_map_1
wh3_main_firemouth_volcano	wh3_main_chaos_map_1
wh3_main_floating_chaos_island	wh3_main_chaos_map_1
wh3_main_golden_monolith	wh3_main_chaos_map_1
wh3_main_grimmenhagen	wh3_main_chaos_map_1
wh3_main_hel_fenn	wh3_main_chaos_map_1
wh3_main_ice_caverns_of_ymirdrak	wh3_main_chaos_map_1
wh3_main_kho_machina_daemonium	wh3_main_chaos_map_1
wh3_main_kho_skull_of_the_first	wh3_main_chaos_map_1
wh3_main_kho_the_tree_of_souls	wh3_main_chaos_map_1
wh3_main_kho_the_wrathgate	wh3_main_chaos_map_1
wh3_main_leitziger_ford	wh3_main_chaos_map_1
wh3_main_lucent_maze	wh3_main_chaos_map_1
wh3_main_marbads_tomb	wh3_main_chaos_map_1
wh3_main_nur_arghus_the_plague_moon	wh3_main_chaos_map_1
wh3_main_nur_lair_of_the_maggot_lord	wh3_main_chaos_map_1
wh3_main_nur_the_great_tree	wh3_main_chaos_map_1
wh3_main_nur_the_septic_isle	wh3_main_chaos_map_1
wh3_main_shrine_of_ursun	wh3_main_chaos_map_1
wh3_main_the_frozen_falls	wh3_main_chaos_map_1
wh3_main_the_great_maw	wh3_main_chaos_map_1
wh3_main_the_howling_citadel	wh3_main_chaos_map_1
wh3_main_tze_citadel_of_the_iron_knight	wh3_main_chaos_map_1
wh3_main_tze_the_eternity_stair	wh3_main_chaos_map_1
wh3_main_tze_the_eyrie_of_the_watcher	wh3_main_chaos_map_1
wh3_main_tze_the_heavenward_halls	wh3_main_chaos_map_1
wh3_main_tze_the_ruins_of_the_dead_king	wh3_main_chaos_map_1
wh3_main_tze_the_true_liars_monolith	wh3_main_chaos_map_1
