bonus_value_id	effect	special_ability_group
#effect_bonus_value_special_ability_group_junctions_tables;0;db/effect_bonus_value_special_ability_group_junctions_tables/data__		
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh2_dlc09_lore_nehekhara
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh2_dlc11_lore_deep
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh2_dlc12_lore_lord_kroak
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh2_dlc14_lore_stealth
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh2_dlc17_lore_rune
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh2_main_lore_dark_magic
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh2_main_lore_high_magic
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh2_main_lore_plague
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh2_main_lore_ruin
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh3_main_lore_nurgle
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh3_main_lore_of_great_maw
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh3_main_lore_of_ice
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh3_main_lore_of_tempest
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh3_main_lore_of_yang
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh3_main_lore_of_yin
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh3_main_lore_slaanesh
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh3_main_lore_tzeentch
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh_dlc03_lore_beasts
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh_dlc03_lore_wild
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh_dlc05_lore_life
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh_dlc05_lore_shadows
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh_main_lore_big_waaagh
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh_main_lore_death
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh_main_lore_fire
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh_main_lore_heavens
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh_main_lore_light
