faction	campaign	hint_profile_group_key
#cai_factions_to_hint_profile_groups_tables;2;db/cai_factions_to_hint_profile_groups_tables/data__		
wh2_dlc09_tmb_dune_kingdoms	main_warhammer	HINT_PROFILE_TMB
wh2_dlc09_tmb_exiles_of_nehek	main_warhammer	HINT_PROFILE_TMB
wh2_dlc09_tmb_followers_of_nagash	main_warhammer	HINT_PROFILE_TMB
wh2_dlc09_tmb_khemri	main_warhammer	HINT_PROFILE_TMB
wh2_dlc09_tmb_lybaras	main_warhammer	HINT_PROFILE_KHALIDA
wh2_dlc09_tmb_numas	main_warhammer	HINT_PROFILE_TMB
wh2_dlc09_tmb_rakaph_dynasty	main_warhammer	HINT_PROFILE_TMB
wh2_dlc09_tmb_the_sentinels	main_warhammer	HINT_PROFILE_TMB
wh2_dlc11_cst_noctilus	main_warhammer	wh3_region_hint_theatre_ulthuan
wh2_dlc15_grn_broken_axe	main_warhammer	wh3_region_hint_theatre_ulthuan
wh2_main_def_cult_of_excess	main_warhammer	wh3_region_hint_theatre_ulthuan
wh2_main_def_cult_of_pleasure	main_warhammer	wh3_region_hint_theatre_ulthuan
wh2_main_def_har_ganeth	main_warhammer	DLC10_HINT_PROFILE_SHRINE
wh2_main_def_naggarond	main_warhammer	DLC10_HINT_PROFILE_SHRINE
wh2_main_def_scourge_of_khaine	main_warhammer	wh3_region_hint_theatre_ulthuan
wh2_main_hef_avelorn	main_warhammer	DLC10_HINT_PROFILE_SHRINE
wh2_main_hef_caledor	main_warhammer	wh3_region_hint_theatre_ulthuan
wh2_main_hef_chrace	main_warhammer	wh3_region_hint_theatre_ulthuan
wh2_main_hef_cothique	main_warhammer	wh3_region_hint_theatre_ulthuan
wh2_main_hef_eataine	main_warhammer	wh3_region_hint_theatre_ulthuan
wh2_main_hef_ellyrion	main_warhammer	wh3_region_hint_theatre_ulthuan
wh2_main_hef_nagarythe	main_warhammer	DLC10_HINT_PROFILE_SHRINE
wh2_main_hef_order_of_loremasters	main_warhammer	DLC10_HINT_PROFILE_SHRINE
wh2_main_hef_saphery	main_warhammer	wh3_region_hint_theatre_ulthuan
wh2_main_hef_tiranoc	main_warhammer	wh3_region_hint_theatre_ulthuan
wh2_main_hef_yvresse	main_warhammer	wh3_region_hint_theatre_ulthuan
wh2_main_skv_clan_mors	main_warhammer	HINT_PROFILE_DWF
wh3_dlc20_brt_march_of_couronne	main_warhammer	HINT_PROFILE_COMMON_OAK
wh3_dlc20_nor_dolgan	wh3_main_chaos	wh3_region_hint_profile_group_Norsca
wh3_dlc20_nor_kuj	wh3_main_chaos	wh3_region_hint_profile_group_Norsca
wh3_dlc20_nor_kul	wh3_main_chaos	wh3_region_hint_profile_group_Norsca
wh3_dlc20_nor_yusak	wh3_main_chaos	wh3_region_hint_profile_group_Norsca
wh3_dlc20_nur_pallid_nurslings	wh3_main_chaos	wh3_region_hint_profile_group_Nurgle
wh3_dlc20_sla_keepers_of_bliss	wh3_main_chaos	wh3_region_hint_profile_group_Slaanesh
wh3_dlc20_tze_apostles_of_change	wh3_main_chaos	wh3_region_hint_profile_group_Tzeentch
wh3_dlc20_tze_the_sightless	wh3_main_chaos	wh3_region_hint_profile_group_Tzeentch
wh3_dlc21_nor_wyrmkins	main_warhammer	wh3_region_hint_profile_group_Norsca
wh3_main_chs_dreaded_wo	wh3_main_chaos	wh3_region_hint_profile_group_Chaos
wh3_main_chs_gharhar	wh3_main_chaos	wh3_region_hint_profile_group_Chaos
wh3_main_chs_khazag	wh3_main_chaos	wh3_region_hint_profile_group_Chaos
wh3_main_chs_kvellig	wh3_main_chaos	wh3_region_hint_profile_group_Chaos
wh3_main_chs_tong	wh3_main_chaos	wh3_region_hint_profile_group_Chaos
wh3_main_cth_burning_wind_nomads	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_celestial_loyalists	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_dissenter_lords_of_jinshen	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_imperial_wardens	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_rebel_lords_of_nan_yang	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_the_jade_custodians	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_the_northern_provinces	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_cth_the_western_provinces	wh3_main_chaos	wh3_region_hint_profile_group_Cathay
wh3_main_dae_daemon_prince	wh3_main_chaos	wh3_region_hint_profile_group_Daemon_Prince
wh3_main_grn_dark_land_orcs	wh3_main_chaos	wh3_region_hint_profile_group_Greenskin
wh3_main_grn_drippin_fangs	wh3_main_chaos	wh3_region_hint_profile_group_Greenskin
wh3_main_grn_moon_howlerz	wh3_main_chaos	wh3_region_hint_profile_group_Greenskin
wh3_main_grn_tusked_sunz	wh3_main_chaos	wh3_region_hint_profile_group_Greenskin
