invalid_target	special_ability
#special_ability_to_invalid_target_flags_tables;0;db/special_ability_to_invalid_target_flags_tables/data__	
flying_currently	wh2_dlc09_army_abilities_barrage_of_the_legion
on_a_platform	wh2_dlc09_army_abilities_barrage_of_the_legion
climbing_manning_eq_on_platform	wh2_dlc09_army_abilities_realm_of_souls_ushabti
climbing_manning_eq_on_platform	wh2_dlc09_army_abilities_sand_veil
unit_is_not_construct	wh2_dlc09_character_abilities_restore
unit_is_not_construct	wh2_dlc09_character_passive_stone_shaper
losing_melee_combat	wh2_dlc09_character_passive_tretchs_raiders
unit_is_not_construct	wh2_dlc09_character_passive_wrath_of_the_creator
living_unit	wh2_dlc09_lore_passive_the_restless_dead
cannot_perform_missile_attack	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded
cannot_perform_missile_attack	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting
on_a_platform	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded
on_a_platform	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm
unit_is_not_commander_class	wh2_dlc09_unit_passive_guardian
climbing_manning_eq_on_platform	wh2_dlc09_weapon_abilities_tomb_blade_of_arkhan
flying_currently	wh2_dlc10_character_abilities_entangle
cannot_perform_missile_attack	wh2_dlc10_hero_passive_quicksilver_shot
climbing_manning_eq_on_platform	wh2_dlc10_item_abilities_horn_of_the_ancestors
on_a_platform	wh2_dlc10_item_abilities_star_of_avelorn
flying_currently	wh2_dlc10_item_bound_arnizipals_black_horror
on_a_platform	wh2_dlc10_item_bound_arnizipals_black_horror
on_a_platform	wh2_dlc10_lord_abilities_deadly_mislead
on_a_platform	wh2_dlc10_lord_abilities_mislead
manning_equipment	wh2_dlc10_quest_abilities_magic_fiery_convocation
on_a_platform	wh2_dlc10_quest_abilities_magic_fiery_convocation
manning_equipment	wh2_dlc10_spell_bound_magic_fiery_convocation
on_a_platform	wh2_dlc10_spell_bound_magic_fiery_convocation
unit_is_not_commander_class	wh2_dlc10_unit_passive_guardian
climbing	wh2_dlc10_weapon_abilities_sword_of_khaine
on_a_platform	wh2_dlc10_weapon_abilities_sword_of_khaine
winning_melee_combat	wh2_dlc10_weapon_passive_the_cursed_blade
on_a_platform	wh2_dlc11_army_abilities_norse_roar
on_a_platform	wh2_dlc11_army_abilities_sartosa_grapeshot
on_a_platform	wh2_dlc11_army_abilities_zhufbar_42_pounders
on_a_platform	wh2_dlc11_item_abilities_captain_roths_moondial
hasnt_casting_ability	wh2_dlc11_item_abilities_slann_gold
flying_currently	wh2_dlc11_lord_abilities_spearfishers_net
ground_unit	wh2_dlc11_lord_abilities_storm_of_the_night
climbing_manning_eq_on_platform	wh2_dlc11_spell_beasts_transformation_of_kadon
climbing_manning_eq_on_platform	wh2_dlc11_spell_deep_denizens_of_the_deep
flying_currently	wh2_dlc11_spell_deep_fog_of_the_damned_upgraded
flying_currently	wh2_dlc11_spell_deep_fog_of_the_damned
flying_currently	wh2_dlc11_spell_deep_ghost_ship_upgraded
on_a_platform	wh2_dlc11_spell_deep_ghost_ship_upgraded
flying_currently	wh2_dlc11_spell_deep_ghost_ship
on_a_platform	wh2_dlc11_spell_deep_ghost_ship
flying_currently	wh2_dlc11_spell_deep_krakens_pull_upgraded
on_a_platform	wh2_dlc11_spell_deep_krakens_pull_upgraded
flying_currently	wh2_dlc11_spell_deep_krakens_pull
on_a_platform	wh2_dlc11_spell_deep_krakens_pull
cannot_perform_missile_attack	wh2_dlc11_spell_deep_spiteful_shot_upgraded
cannot_perform_missile_attack	wh2_dlc11_spell_deep_spiteful_shot
flying_currently	wh2_dlc11_spell_deep_tidecall_upgraded
on_a_platform	wh2_dlc11_spell_deep_tidecall_upgraded
flying_currently	wh2_dlc11_spell_deep_tidecall
on_a_platform	wh2_dlc11_spell_deep_tidecall
climbing_manning_eq_on_platform	wh2_dlc11_spell_vampires_drowned_dead_upgraded
climbing_manning_eq_on_platform	wh2_dlc11_spell_vampires_drowned_dead
climbing_manning_eq_on_platform	wh2_dlc11_unit_passive_abandon_ship
on_a_platform	wh2_dlc12_army_abilities_great_invocation_of_sotek
flying_currently	wh2_dlc12_army_abilities_jungle_swarm
ground_unit	wh2_dlc12_item_passive_mask_of_heavens
unit_is_not_a_lizard_unit	wh2_dlc12_lord_abilities_focus_instincts
on_a_platform	wh2_dlc12_unit_abilities_burning_alignment
on_a_platform	wh2_dlc13_army_abilities_amber_bow_cannons
climbing_manning_eq_on_platform	wh2_dlc13_army_abilities_beasts_of_itzl
climbing	wh2_dlc13_character_ability_shatter
flying_currently	wh2_dlc13_character_ability_shatter
on_a_platform	wh2_dlc13_character_ability_shatter
cannot_perform_missile_attack	wh2_dlc13_final_battle_character_abilities_jorek_ammo_replenishment
unit_is_not_commander_class	wh2_dlc13_final_battle_character_abilities_rodrik_ward_save_reduction
unit_is_not_single_entity	wh2_dlc13_lord_abilities_kill_shot
flying_currently	wh2_dlc14_lord_abilities_deathmasters_sigil
on_a_platform	wh2_dlc14_lord_abilities_deathmasters_sigil
unit_is_not_commander_class	wh2_dlc14_lord_abilities_deathmasters_sigil
unit_is_not_commander_class	wh2_dlc14_lord_abilities_looming_dread
unit_is_commander_class	wh2_dlc14_lord_abilities_whiplash
climbing_manning_eq_on_platform	wh2_dlc14_spell_grey_seer_the_dreaded_thirteenth_spell_upgraded
on_a_platform	wh2_dlc14_spell_stealth_black_whirlwind_upgraded
on_a_platform	wh2_dlc14_spell_stealth_black_whirlwind
on_a_platform	wh2_dlc14_spell_stealth_veil_of_shadows_upgraded
on_a_platform	wh2_dlc14_spell_stealth_veil_of_shadows
on_a_platform	wh2_dlc14_unit_abilities_doppelgang
flying_currently	wh2_dlc14_unit_abilities_seismic_snare
flying_currently	wh2_dlc14_unit_abilities_warp_quake
climbing	wh2_dlc14_unit_passive_barbed_net
flying_currently	wh2_dlc14_unit_passive_barbed_net
manning_equipment	wh2_dlc14_unit_passive_barbed_net
on_a_platform	wh2_dlc14_unit_passive_barbed_net
climbing_manning_eq_on_platform	wh2_dlc15_army_abilities_summon_the_sentinels_upgraded
climbing_manning_eq_on_platform	wh2_dlc15_army_abilities_summon_the_sentinels
hasnt_casting_ability	wh2_dlc15_army_abilities_unleash_the_winds
unit_is_not_commander_class	wh2_dlc15_character_abilities_they_needs_stabbin
unit_is_not_commander_class	wh2_dlc15_character_abilities_wardens_cage
flying_currently	wh2_dlc15_hero_abilities_swamp_breath
unit_is_not_commander_class	wh2_dlc15_lord_abilities_youre_next
climbing_manning_eq_on_platform	wh2_dlc15_spell_beasts_transformation_of_kadon
on_a_platform	wh2_dlc15_spell_bound_chain_lightning
unit_is_moulder_monster	wh2_dlc16_hero_abilities_shock_collar
climbing_manning_eq_on_platform	wh2_dlc16_hero_abilities_tide_of_death
climbing_manning_eq_on_platform	wh2_dlc16_hero_abilities_tide_of_pox
unit_is_not_commander_class	wh2_dlc16_hero_passive_loyal_guardian
unit_is_moulder_monster	wh2_dlc16_hero_passive_running_with_the_pack
flying_currently	wh2_dlc16_item_abilities_acorns_of_the_oak_of_ages
climbing_manning_eq_on_platform	wh2_dlc16_item_abilities_dreaming_cloak_i
