category	ritual	order
#workshop_categories_to_rituals_tables;1;db/workshop_categories_to_rituals_tables/data__		
doom_flayer	wh2_dlc12_ikit_workshop_doomflayer_part_0	4
doom_flayer	wh2_dlc12_ikit_workshop_doomflayer_part_1	0
doom_flayer	wh2_dlc12_ikit_workshop_doomflayer_part_2	5
doom_flayer	wh2_dlc12_ikit_workshop_doomflayer_part_3	7
doom_flayer	wh2_dlc12_ikit_workshop_doomflayer_part_4	9
doom_flayer	wh2_dlc12_ikit_workshop_doomflayer_part_5	1
doom_flayer	wh2_dlc12_ikit_workshop_doomflayer_part_6	2
doom_flayer	wh2_dlc12_ikit_workshop_doomflayer_part_7	6
doom_flayer	wh2_dlc12_ikit_workshop_doomflayer_part_8	8
doom_flayer	wh2_dlc12_ikit_workshop_doomflayer_part_9	3
doom_rockets	wh2_dlc12_ikit_workshop_nuke_part_0	0
doom_rockets	wh2_dlc12_ikit_workshop_nuke_part_1	1
doom_rockets	wh2_dlc12_ikit_workshop_nuke_part_2	2
doom_rockets	wh2_dlc12_ikit_workshop_nuke_part_3	3
doom_rockets	wh2_dlc12_ikit_workshop_nuke_part_4	4
doom_rockets	wh2_dlc12_ikit_workshop_nuke_part_5	5
doom_wheel	wh2_dlc12_ikit_workshop_doomwheel_part_0	0
doom_wheel	wh2_dlc12_ikit_workshop_doomwheel_part_1	4
doom_wheel	wh2_dlc12_ikit_workshop_doomwheel_part_2	1
doom_wheel	wh2_dlc12_ikit_workshop_doomwheel_part_3	9
doom_wheel	wh2_dlc12_ikit_workshop_doomwheel_part_4	5
doom_wheel	wh2_dlc12_ikit_workshop_doomwheel_part_5	7
doom_wheel	wh2_dlc12_ikit_workshop_doomwheel_part_6	2
doom_wheel	wh2_dlc12_ikit_workshop_doomwheel_part_7	8
doom_wheel	wh2_dlc12_ikit_workshop_doomwheel_part_8	6
doom_wheel	wh2_dlc12_ikit_workshop_doomwheel_part_9	3
weapon_teams	wh2_dlc12_ikit_workshop_gatling_part_0	2
weapon_teams	wh2_dlc12_ikit_workshop_gatling_part_1	0
weapon_teams	wh2_dlc12_ikit_workshop_gatling_part_2	1
weapon_teams	wh2_dlc12_ikit_workshop_jezail_part_0	3
weapon_teams	wh2_dlc12_ikit_workshop_jezail_part_1	5
weapon_teams	wh2_dlc12_ikit_workshop_jezail_part_2	4
weapon_teams	wh2_dlc12_ikit_workshop_poison_wind_globaldier_0	15
weapon_teams	wh2_dlc12_ikit_workshop_poison_wind_globaldier_1	16
weapon_teams	wh2_dlc12_ikit_workshop_poison_wind_globaldier_2	17
weapon_teams	wh2_dlc12_ikit_workshop_poison_wind_mortar_0	12
weapon_teams	wh2_dlc12_ikit_workshop_poison_wind_mortar_1	13
weapon_teams	wh2_dlc12_ikit_workshop_poison_wind_mortar_2	14
weapon_teams	wh2_dlc12_ikit_workshop_warpfire_part_0	8
weapon_teams	wh2_dlc12_ikit_workshop_warpfire_part_1	7
weapon_teams	wh2_dlc12_ikit_workshop_warpfire_part_2	6
weapon_teams	wh2_dlc12_ikit_workshop_warpgrinder_0	9
weapon_teams	wh2_dlc12_ikit_workshop_warpgrinder_1	10
weapon_teams	wh2_dlc12_ikit_workshop_warpgrinder_2	11
