provincial_initiative_key	subculture	province	faction
#provincial_initiatives_to_subculture_junctions_tables;2;db/provincial_initiatives_to_subculture_junctions_tables/data__			
wh2_dlc09_edict_tmb_worship_of_asaph	wh2_dlc09_sc_tmb_tomb_kings		
wh2_dlc09_edict_tmb_worship_of_djaf	wh2_dlc09_sc_tmb_tomb_kings		
wh2_dlc09_edict_tmb_worship_of_khsar	wh2_dlc09_sc_tmb_tomb_kings		
wh2_dlc09_edict_tmb_worship_of_phakth	wh2_dlc09_sc_tmb_tomb_kings		
wh2_dlc09_edict_tmb_worship_of_ptra	wh2_dlc09_sc_tmb_tomb_kings		
wh2_dlc11_edict_cst_bat_swarms	wh2_dlc11_sc_cst_vampire_coast		
wh2_dlc11_edict_cst_dredge_the_sea	wh2_dlc11_sc_cst_vampire_coast		
wh2_dlc11_edict_cst_even_more_powder	wh2_dlc11_sc_cst_vampire_coast		
wh2_dlc11_edict_cst_share_the_spoils	wh2_dlc11_sc_cst_vampire_coast		
wh2_main_edict_def_demand_hostages	wh2_main_sc_def_dark_elves		
wh2_main_edict_def_enforce_tribute	wh2_main_sc_def_dark_elves		
wh2_main_edict_def_increase_production	wh2_main_sc_def_dark_elves		
wh2_main_edict_def_read_portents	wh2_main_sc_def_dark_elves		
wh2_main_edict_def_sacrifices_for_khaine	wh2_main_sc_def_dark_elves		
wh2_main_edict_hef_banish_corruption	wh2_main_sc_hef_high_elves		
wh2_main_edict_hef_rally_citizen_militia	wh2_main_sc_hef_high_elves		
wh2_main_edict_hef_reaver_patrols	wh2_main_sc_hef_high_elves		
wh2_main_edict_hef_rebuild_lost_splendour	wh2_main_sc_hef_high_elves		
wh2_main_edict_hef_tribute_for_the_king	wh2_main_sc_hef_high_elves		
wh2_main_edict_lzd_alignment_of_crafting	wh2_main_sc_lzd_lizardmen		
wh2_main_edict_lzd_alignment_of_monuments	wh2_main_sc_lzd_lizardmen		
wh2_main_edict_lzd_alignment_of_order	wh2_main_sc_lzd_lizardmen		
wh2_main_edict_lzd_alignment_of_war	wh2_main_sc_lzd_lizardmen		
wh2_main_edict_skv_devious_planning	wh2_main_sc_skv_skaven		
wh2_main_edict_skv_efficient_planning	wh2_main_sc_skv_skaven		
wh2_main_edict_skv_expansionist_planning	wh2_main_sc_skv_skaven		
wh2_main_edict_skv_martial_planning	wh2_main_sc_skv_skaven		
wh3_dlc20_edict_chs_azazal_dark_delights			wh3_dlc20_chs_azazel
wh3_dlc20_edict_chs_azazal_exploit_vassals			wh3_dlc20_chs_azazel
wh3_dlc20_edict_chs_defence	wh_main_sc_chs_chaos		
wh3_dlc20_edict_chs_festus_exploit_vassals			wh3_dlc20_chs_festus
wh3_dlc20_edict_chs_festus_plague_apothecary			wh3_dlc20_chs_festus
wh3_dlc20_edict_chs_valkia_exploit_vassals			wh3_dlc20_chs_valkia
wh3_dlc20_edict_chs_valkia_legion_of_hate			wh3_dlc20_chs_valkia
wh3_dlc20_edict_chs_vilitch_exploit_vassals			wh3_dlc20_chs_vilitch
wh3_dlc20_edict_chs_vilitch_insights_of_the_void			wh3_dlc20_chs_vilitch
wh3_dlc20_edict_woc_exploit_vassals			wh3_dlc20_chs_kholek
wh3_dlc20_edict_woc_exploit_vassals			wh3_dlc20_chs_sigvald
wh3_dlc20_edict_woc_exploit_vassals			wh3_main_chs_shadow_legion
wh3_dlc20_edict_woc_exploit_vassals			wh_main_chs_chaos
wh3_dlc20_edict_woc_portent_of_doom			wh3_dlc20_chs_kholek
wh3_dlc20_edict_woc_portent_of_doom			wh3_dlc20_chs_sigvald
wh3_dlc20_edict_woc_portent_of_doom			wh3_main_chs_shadow_legion
wh3_dlc20_edict_woc_portent_of_doom			wh_main_chs_chaos
wh3_main_edict_cth_the_fire_dragons_statute	wh3_main_sc_cth_cathay		
wh3_main_edict_cth_the_great_bastion_growth	wh3_main_sc_cth_cathay	wh3_main_chaos_province_central_great_bastion	
wh3_main_edict_cth_the_great_bastion_growth	wh3_main_sc_cth_cathay	wh3_main_chaos_province_eastern_great_bastion	
wh3_main_edict_cth_the_great_bastion_growth	wh3_main_sc_cth_cathay	wh3_main_chaos_province_western_great_bastion	
wh3_main_edict_cth_the_great_bastion_growth	wh3_main_sc_cth_cathay	wh3_main_combi_province_central_great_bastion	
wh3_main_edict_cth_the_great_bastion_growth	wh3_main_sc_cth_cathay	wh3_main_combi_province_eastern_great_bastion	
wh3_main_edict_cth_the_great_bastion_growth	wh3_main_sc_cth_cathay	wh3_main_combi_province_western_great_bastion	
wh3_main_edict_cth_the_great_bastion_patrol	wh3_main_sc_cth_cathay	wh3_main_chaos_province_central_great_bastion	
wh3_main_edict_cth_the_great_bastion_patrol	wh3_main_sc_cth_cathay	wh3_main_chaos_province_eastern_great_bastion	
wh3_main_edict_cth_the_great_bastion_patrol	wh3_main_sc_cth_cathay	wh3_main_chaos_province_western_great_bastion	
wh3_main_edict_cth_the_great_bastion_patrol	wh3_main_sc_cth_cathay	wh3_main_combi_province_central_great_bastion	
wh3_main_edict_cth_the_great_bastion_patrol	wh3_main_sc_cth_cathay	wh3_main_combi_province_eastern_great_bastion	
wh3_main_edict_cth_the_great_bastion_patrol	wh3_main_sc_cth_cathay	wh3_main_combi_province_western_great_bastion	
