agent	agent_condition
#agent_condition_agent_junctions_tables;0;db/agent_condition_agent_junctions_tables/data__	
champion	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_1
champion	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_2
champion	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_3
dignitary	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_1
dignitary	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_2
dignitary	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_3
engineer	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_1
engineer	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_2
engineer	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_3
general	WH3_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_1
general	WH3_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_2
general	WH3_ACHIEVEMENT_CHARACTERS_LORD_LEVEL_3
minister	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_1
minister	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_2
minister	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_3
runesmith	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_1
runesmith	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_2
runesmith	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_3
spy	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_1
spy	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_2
spy	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_3
wizard	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_1
wizard	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_2
wizard	WH3_ACHIEVEMENT_CHARACTERS_HERO_LEVEL_3
