context	member	value
#campaign_group_member_criteria_booleans_tables;0;db/campaign_group_member_criteria_booleans_tables/data__		
INVOLVES_SETTLEMENT	wh2_captive_option_kill_settlement_vampire_coast	true
INVOLVES_SETTLEMENT	wh2_captive_option_kill_vampire_coast	false
ON_SEA	wh2_dlc11_agent_action_establish_pirate_cove	true
ON_SEA	wh2_dlc11_sc_cst_vampire_coast_occupation_decision_sack_build_cove	true
INVOLVES_SETTLEMENT	wh2_dlc16_captive_option_kill_sisters_of_twilight	false
INVOLVES_SETTLEMENT	wh2_dlc16_captive_option_ransom_sisters_of_twilight	false
IS_DEAD	wh2_main_sc_emp_empire_occupation_decision_reinstate_elector_franz	true
IS_DEAD	wh2_main_sc_emp_empire_occupation_decision_reinstate_elector_gelt	true
IS_DEAD	wh2_main_sc_emp_empire_occupation_decision_return_to_elector_franz	false
IS_DEAD	wh2_main_sc_emp_empire_occupation_decision_return_to_elector_gelt	false
INVOLVES_SETTLEMENT	wh3_main_captive_option_conjurate_locus_tzeentch	false
INVOLVES_SETTLEMENT	wh3_main_captive_option_process_meat_ogre_kingdoms	false
IS_OWNER	wh3_main_nurgle_plague_not_owner	false
IS_OWNER	wh3_main_nurgle_plague_owner	true
INVOLVES_SETTLEMENT	wh_dlc03_captive_option_kill_beastmen	false
ACTOR_GENDER	wh_event_feed_cult_vampire_counts_female	false
ACTOR_GENDER	wh_event_feed_cult_vampire_counts_male	true
