faction_key	mp_coop_group
#campaign_mp_coop_groups_to_factions_tables;0;db/campaign_mp_coop_groups_to_factions_tables/data__	
wh3_main_cth_the_northern_provinces	wh3_main_chaos_humans_ogres
wh3_main_cth_the_western_provinces	wh3_main_chaos_humans_ogres
wh3_main_dae_daemon_prince	wh3_main_chaos_daemons_ogres
wh3_main_kho_exiles_of_khorne	wh3_main_chaos_daemons_ogres
wh3_main_ksl_the_great_orthodoxy	wh3_main_chaos_humans_ogres
wh3_main_ksl_the_ice_court	wh3_main_chaos_humans_ogres
wh3_main_ksl_ursun_revivalists	wh3_main_chaos_humans_ogres
wh3_main_nur_poxmakers_of_nurgle	wh3_main_chaos_daemons_ogres
wh3_main_ogr_disciples_of_the_maw	wh3_main_chaos_daemons_ogres
wh3_main_ogr_disciples_of_the_maw	wh3_main_chaos_humans_ogres
wh3_main_ogr_goldtooth	wh3_main_chaos_daemons_ogres
wh3_main_ogr_goldtooth	wh3_main_chaos_humans_ogres
wh3_main_sla_seducers_of_slaanesh	wh3_main_chaos_daemons_ogres
wh3_main_tze_oracles_of_tzeentch	wh3_main_chaos_daemons_ogres
