ancillary	skill	use_quest_for_prefix
#character_skills_to_quest_ancillaries_tables;1;db/character_skills_to_quest_ancillaries_tables/data__		
wh2_dlc16_anc_enchanted_item_fang_of_taalroth	wh2_dlc16_anc_enchanted_item_fang_of_taalroth	true
wh2_dlc16_anc_mount_wef_cha_sisters_of_twilight_forest_dragon	wh2_dlc16_skill_mount_wef_cha_sisters_of_twilight_forest_dragon	true
wh2_dlc16_anc_weapon_creature_killer	wh2_dlc16_skill_skv_throt_creature_killer	true
wh2_dlc16_anc_enchanted_item_whip_of_domination	wh2_dlc16_skill_skv_throt_whip_of_domination	true
wh2_dlc17_anc_weapon_klad_brakak	wh2_dlc17_skill_dwf_thorek_klad_brakak	true
wh2_dlc17_anc_armour_thoreks_rune_armour	wh2_dlc17_skill_dwf_thorek_rune_armour	true
wh2_dlc17_anc_banner_lzd_poison_daemonbane	wh2_dlc17_skill_lzd_oxyotl_poisons_1	false
wh2_dlc17_anc_banner_lzd_poison_slow_death	wh2_dlc17_skill_lzd_oxyotl_poisons_2	false
wh2_dlc17_anc_weapon_the_golden_blowpipe_of_ptoohee	wh2_dlc17_skill_lzd_oxyotl_the_golden_blowpipe_of_ptoohee	true
wh2_twa03_anc_weapon_whip_of_agony	wh2_twa03_skill_def_rakarth_quest_0	true
