key	type	battle_start	battle_stop	battle_rtpc	distance_battle	campaign_start	campaign_stop	campaign_rtpc	distance_campaign	min_time	max_time	random_position	flatten_rtpc_to_2d	doppler_rtpc_name	reverb	obstruction
#audio_markers_tables;4;db/audio_markers_tables/data__																
Sound_Environment_Altar_of_Darkness	looping_sound	Battle_Environment_Dark_Elves_Altar_of_Darkness_Play	Battle_Environment_Dark_Elves_Altar_of_Darkness_Stop		6000.0000	Campaign_Environment_Dark_Elves_Altar_of_Darkness_Play	Campaign_Environment_Dark_Elves_Altar_of_Darkness_Stop		40.0000	0.0000	1.0000	false	false		false	false
Sound_Environment_Aquaduct	looping_sound				0.0000	Cam_Aquaduct	Campaign_Stop_Ambiences		35.0000	0.0000	1.0000	false	false	Campaign_Doppler	true	false
Sound_Environment_Arnheim_Magic_Light	looping_sound	Battle_Environment_High_Elves_Arnheim_Magic_Light_Loop_Play	Battle_Environment_High_Elves_Arnheim_Magic_Light_Loop_Stop		800.0000				35.0000	0.0000	1.0000	false	false		false	false
Sound_Environment_Arnheim_Town_One_Shot	one_shot_sound	Battle_Environment_High_Elves_Arnheim_Town_One_Shot			800.0000				0.0000	3.0000	7.0000	false	false		false	false
Sound_Environment_Barricade_Monument_Generic_Fire	looping_sound	Battle_Environment_Magic_Generic_Fire_Barricades_Play	Battle_Environment_Magic_Generic_Fire_Barricades_Stop		200.0000				50.0000	0.0000	1.0000	false	false		false	false
Sound_Environment_Barricade_Monument_Tze	looping_sound	Battle_Environment_Magic_Tzeentch_Barricades_Play	Battle_Environment_Magic_Tzeentch_Barricades_Stop		200.0000				50.0000	0.0000	1.0000	false	false		false	false
Sound_Environment_Black_Smoke	looping_sound	Battle_Environment_Element_Fire_Cauldron_Small_Play	Battle_Environment_Element_Fire_Cauldron_Small_Stop		75.0000	Cam_Fire_Smoke_Vent_Play	Cam_Fire_Smoke_Vent_Stop		20.0000	0.0000	1.0000	false	false		false	false
Sound_Environment_Blood_Fountain	looping_sound	Battle_Environment_Element_Bood_Fountain_Play	Battle_Environment_Element_Bood_Fountain_Stop		200.0000				35.0000	0.0000	1.0000	false	false		true	false
Sound_Environment_Blood_River	looping_sound	Battle_Environment_Element_Water_Blood_River_Large_3D_Play	Battle_Environment_Element_Water_Blood_River_Large_3D_Stop		200.0000				0.0000	0.0000	1.0000	false	false		false	false
Sound_Environment_Blood_Waterfall_Flow_Large	looping_sound	Battle_Environment_Dark_Elves_Blood_Waterfall_Large_Play	Battle_Environment_Dark_Elves_Blood_Waterfall_Large_Stop		1000.0000				0.0000	0.0000	1.0000	false	false		false	false
Sound_Environment_Blood_Waterfall_Flow_Medium	looping_sound	Battle_Environment_Dark_Elves_Blood_Waterfall_Play	Battle_Environment_Dark_Elves_Blood_Waterfall_Stop		450.0000				0.0000	0.0000	1.0000	false	false		false	false
Sound_Environment_Brazen_Altar	looping_sound				0.0000	Campaign_Environment_Khorne_Brazen_Altar_Play	Campaign_Environment_Khorne_Brazen_Altar_Stop		40.0000	0.0000	1.0000	false	false		true	false
Sound_Environment_Building_Fire_Large	looping_sound	Battle_Environment_Element_Fire_Building_Large_Play	Battle_Environment_Element_Fire_Building_Large_Stop		300.0000				0.0000	0.0000	1.0000	false	false		false	false
Sound_Environment_Building_Rotating_Wheel	looping_sound				100.0000	Campaign_Environment_Resource_Building_Rotating_Wheel_Loop_Play	Campaign_Environment_Resource_Building_Rotating_Wheel_Loop_Stop		20.0000	0.0000	1.0000	false	false	Campaign_Doppler	true	false
Sound_Environment_Cam_Brt_Firepit_Loop	looping_sound				0.0000	Campaign_Environment_Bretonnia_Props_Large_Fire_Loop_Play	Campaign_Environment_Bretonnia_Props_Large_Fire_Loop_Stop		20.0000	0.0000	1.0000	false	false		false	false
Sound_Environment_Cam_Brt_Shrine_Loop	looping_sound				0.0000	Campaign_Environment_Bretonnia_Props_Shrine_Shimmer_Play	Campaign_Environment_Bretonnia_Props_Shrine_Shimmer_Stop		20.0000	0.0000	1.0000	false	false		false	false
Sound_Environment_Cam_Building_Prop_Branch_Creak_Oneshots	looping_sound				25.0000	Campaign_Environment_Generic_Settlement_Props_Branch_Creak_Oneshots_Play	Campaign_Environment_Generic_Settlement_Props_Branch_Creak_Oneshots_Stop		15.0000	5.0000	10.0000	false	false		true	false
Sound_Environment_Cam_Building_Prop_Fire_Torch_Loop	looping_sound				25.0000	Campaign_Environment_Generic_Settlement_Props_Fire_Torch_Loop_Play	Campaign_Environment_Generic_Settlement_Props_Fire_Torch_Loop_Stop		15.0000	5.0000	10.0000	false	false		true	false
Sound_Environment_Cam_Building_Prop_Flies_Oneshots	looping_sound				25.0000	Campaign_Environment_Generic_Settlement_Props_Flies_Oneshots_Play	Campaign_Environment_Generic_Settlement_Props_Flies_Oneshots_Stop		15.0000	5.0000	10.0000	false	false		true	false
Sound_Environment_Cam_Building_Prop_Howling_Wind_Oneshots	looping_sound				25.0000	Campaign_Environment_Generic_Settlement_Props_Howling_Wind_Oneshots_Play	Campaign_Environment_Generic_Settlement_Props_Howling_Wind_Oneshots_Stop		15.0000	5.0000	10.0000	false	false		true	false
Sound_Environment_Cam_Building_Prop_Ice_Crack_Oneshots	looping_sound				25.0000	Campaign_Environment_Generic_Settlement_Props_Ice_Crack_Oneshots_Play	Campaign_Environment_Generic_Settlement_Props_Ice_Crack_Oneshots_Stop		15.0000	5.0000	10.0000	false	false		true	false
Sound_Environment_Cam_Building_Prop_Lava_Fall_Loop	looping_sound				25.0000	Campaign_Environment_Generic_Settlement_Props_Lava_Fall_Loop_Play	Campaign_Environment_Generic_Settlement_Props_Lava_Fall_Loop_Stop		15.0000	5.0000	10.0000	false	false		true	false
Sound_Environment_Cam_Building_Prop_Lava_Pool_Loop	looping_sound				25.0000	Campaign_Environment_Generic_Settlement_Props_Lava_Pool_Loop_Play	Campaign_Environment_Generic_Settlement_Props_Lava_Pool_Loop_Stop		15.0000	5.0000	10.0000	false	false		true	false
Sound_Environment_Cam_Building_Prop_Lava_Splash_Oneshots	looping_sound				25.0000	Campaign_Environment_Generic_Settlement_Props_Lava_Splash_Oneshots_Play	Campaign_Environment_Generic_Settlement_Props_Lava_Splash_Oneshots_Stop		15.0000	5.0000	10.0000	false	false		true	false
Sound_Environment_Cam_Building_Prop_Metal_Chain_Oneshots	looping_sound				25.0000	Campaign_Environment_Generic_Settlement_Props_Metal_Chain_Oneshots_Play	Campaign_Environment_Generic_Settlement_Props_Metal_Chain_Oneshots_Stop		15.0000	5.0000	10.0000	false	false		true	false
Sound_Environment_Cam_Building_Prop_Mud_Squelch_Oneshots	looping_sound				25.0000	Campaign_Environment_Generic_Settlement_Props_Mud_Squelch_Oneshots_Play	Campaign_Environment_Generic_Settlement_Props_Mud_Squelch_Oneshots_Stop		15.0000	5.0000	10.0000	false	false		true	false
Sound_Environment_Cam_Building_Prop_Ruin_Rock_Fall_Oneshots	looping_sound				25.0000	Campaign_Environment_Generic_Settlement_Props_Ruin_Rock_Fall_Oneshots_Play	Campaign_Environment_Generic_Settlement_Props_Ruin_Rock_Fall_Oneshots_Stop		15.0000	5.0000	10.0000	false	false		true	false
Sound_Environment_Cam_Building_Prop_Swamp_Wildlife_Oneshots	looping_sound				25.0000	Campaign_Environment_Generic_Settlement_Props_Swamp_Wildlife_Oneshots_Play	Campaign_Environment_Generic_Settlement_Props_Swamp_Wildlife_Oneshots_Stop		15.0000	5.0000	10.0000	false	false		true	false
Sound_Environment_Cam_Building_Prop_Tendril_Loop	looping_sound				25.0000	Campaign_Environment_Generic_Settlement_Props_Tendril_Loop_Play	Campaign_Environment_Generic_Settlement_Props_Tendril_Loop_Stop		15.0000	5.0000	10.0000	false	false		true	false
Sound_Environment_Cam_Building_Prop_Tentacle_Loop	looping_sound				25.0000	Campaign_Environment_Generic_Settlement_Props_Tentacle_Play	Campaign_Environment_Generic_Settlement_Props_Tentacle_Stop		15.0000	5.0000	10.0000	false	false		true	false
