effect	level	resource_cost	effect_bundle
#purchasable_effect_levels_tables;0;db/purchasable_effect_levels_tables/data__			
wh2_main_purchasable_effect_menace_below	0	wh2_main_bundle_pre_battle_purchase_menace_below_0	
wh2_main_purchasable_effect_menace_below	1	wh2_main_bundle_pre_battle_purchase_menace_below_1	wh2_main_purchasable_effect_menace_below_1
wh2_main_purchasable_effect_menace_below	2	wh2_main_bundle_pre_battle_purchase_menace_below_2	wh2_main_purchasable_effect_menace_below_2
wh2_main_purchasable_effect_menace_below	3	wh2_main_bundle_pre_battle_purchase_menace_below_3	wh2_main_purchasable_effect_menace_below_3
wh2_main_purchasable_effect_menace_below	4	wh2_main_bundle_pre_battle_purchase_menace_below_4	wh2_main_purchasable_effect_menace_below_4
wh2_main_purchasable_effect_menace_below	5	wh2_main_bundle_pre_battle_purchase_menace_below_5	wh2_main_purchasable_effect_menace_below_5
wh3_main_purchasable_effect_meat_charge_bonus	0	wh3_main_bundle_pre_battle_purchase_meat_charge_bonus_0	
wh3_main_purchasable_effect_meat_charge_bonus	1	wh3_main_bundle_pre_battle_purchase_meat_charge_bonus_1	wh3_main_purchasable_effect_meat_charge_bonus_1
wh3_main_purchasable_effect_meat_charge_bonus	2	wh3_main_bundle_pre_battle_purchase_meat_charge_bonus_2	wh3_main_purchasable_effect_meat_charge_bonus_2
wh3_main_purchasable_effect_meat_charge_bonus	3	wh3_main_bundle_pre_battle_purchase_meat_charge_bonus_3	wh3_main_purchasable_effect_meat_charge_bonus_3
wh3_main_purchasable_effect_meat_charge_bonus	4	wh3_main_bundle_pre_battle_purchase_meat_charge_bonus_4	wh3_main_purchasable_effect_meat_charge_bonus_4
wh3_main_purchasable_effect_meat_charge_bonus	5	wh3_main_bundle_pre_battle_purchase_meat_charge_bonus_5	wh3_main_purchasable_effect_meat_charge_bonus_5
