environment	one_shot	type
#audio_battle_environment_one_shot_junctions_tables;0;db/audio_battle_environment_one_shot_junctions_tables/data__		
beastmen	beastmen_wildlife	plains
bretonnia_cold	tomb_kings_desert_primary_nature_one_shots	plains
bretonnia_cold	tomb_kings_desert_primary_wildlife_birds	plains
bretonnia_cold	tomb_kings_desert_primary_wildlife_insects	plains
bretonnia_cold	tomb_kings_desert_secondary_nature_one_shots	plains
bretonnia_cold	tomb_kings_desert_secondary_wildlife_insects	plains
bretonnia	vampire_coast_desert_island_forest_nature	forest
bretonnia	vampire_coast_desert_island_forest_wildlife	forest
bretonnia	vampire_coast_desert_island_plains_nature	plains
bretonnia	vampire_coast_desert_island_plains_wildlife	plains
bretonnia	vampire_coast_desert_island_sea_wildlife	sea
cathay	WH3_Faction_Cathay_Forest_Oneshot_Branches_A	forest
cathay	WH3_Faction_Cathay_Forest_Oneshot_Branches_B	forest
cathay	WH3_Faction_Cathay_Forest_Oneshot_Branches_C	forest
cathay	WH3_Faction_Cathay_Forest_Oneshot_Monkey_A	forest
cathay	WH3_Faction_Cathay_Forest_Oneshot_Monkey_B	forest
cathay	WH3_Faction_Cathay_Primary_Oneshot_Bamboo	plains
cathay	WH3_Faction_Cathay_Primary_Oneshot_Flute_Swell	plains
cathay	WH3_Faction_Cathay_Primary_Oneshot_Rock_Landslide	plains
cathay	WH3_Faction_Cathay_Wildlife_Oneshot_Bear	plains
cathay	WH3_Faction_Cathay_Wildlife_Oneshot_Dragon	plains
cathay	WH3_Faction_Cathay_Wildlife_Oneshot_Monkey	plains
cathay	WH3_Faction_Cathay_Wildlife_Oneshot_Parakeet	plains
cave	WH3_Generic_Caves_Forest_Oneshot	forest
cave	WH3_Generic_Cave_Primary_Oneshot_Debris	plains
cave	WH3_Generic_Cave_Primary_Oneshot_Explosion	plains
cave	WH3_Generic_Cave_Primary_Oneshot_High	plains
cave	WH3_Generic_Cave_Primary_Oneshot_Mining	plains
cave	WH3_Generic_Cave_Primary_Oneshot_Sweetener_Low	plains
cave	WH3_Generic_Cave_Wildlife_Oneshot_Misc_01	plains
cave	WH3_Generic_Cave_Wildlife_Oneshot_Misc_02	plains
chaos	WH3_Faction_Khorne_Forest_Oneshot_Vulture_Cluck	forest
chaos	WH3_Faction_Khorne_Forest_Oneshot_Vulture_Scream	forest
chaos	WH3_Faction_Khorne_Forest_Oneshot_Wood_Creature	forest
chaos	WH3_Faction_Khorne_Forest_Oneshot_Wood_Movement	forest
chaos	WH3_Faction_Khorne_Forest_Oneshot_Wood_Snaps	forest
chaos	WH3_Faction_Khorne_Primary_Oneshot_Earth_Crack	plains
chaos	WH3_Faction_Khorne_Primary_Oneshot_Flame_Burst	plains
chaos	WH3_Faction_Khorne_Primary_Oneshot_Lava_Gurgle	plains
chaos	WH3_Faction_Khorne_Primary_Oneshot_Volcano_Distant	plains
chaos	WH3_Faction_Khorne_Primary_Oneshot_Volcano_Explosion	plains
chaos	WH3_Faction_Khorne_Wildlife_Oneshot_Giant_Spider	plains
chaos	WH3_Faction_Khorne_Wildlife_Oneshot_Mutant_Bull	plains
chaos	WH3_Faction_Khorne_Wildlife_Oneshot_Pig	plains
chaos	WH3_Faction_Khorne_Wildlife_Oneshot_Three_Headed_Hound	plains
chaos	WH3_Faction_Khorne_Wildlife_Oneshot_Vulture_A	plains
chaos	WH3_Faction_Khorne_Wildlife_Oneshot_Vulture_B	plains
dark_elves_beach	dark_elves_beach_forest_nature_one_shots	forest
dark_elves_beach	dark_elves_beach_forest_wildlife_birds	forest
dark_elves_beach	dark_elves_beach_forest_wildlife_distant	forest
dark_elves_beach	dark_elves_beach_forest_wildlife_insects	forest
dark_elves_beach	dark_elves_beach_forest_wildlife_mammals	forest
dark_elves_beach	dark_elves_beach_primary_wildlife_birds	plains
dark_elves_beach	dark_elves_beach_primary_wildlife_insects	plains
dark_elves_cold	dark_elves_cold_forest_nature_one_shots	forest
dark_elves_cold	dark_elves_cold_forest_wildlife_birds	forest
dark_elves_cold	dark_elves_cold_forest_wildlife_close	forest
dark_elves_cold	dark_elves_cold_forest_wildlife_mammals	forest
dark_elves_cold	dark_elves_cold_primary_nature_one_shots_01	plains
dark_elves_cold	dark_elves_cold_primary_nature_one_shots_02	plains
dark_elves_cold	dark_elves_cold_primary_wildlife_birds	plains
dark_elves_cold	dark_elves_cold_primary_wildlife_mammals	plains
dark_elves_desert	dark_elves_desert_forest_nature_one_shots	forest
dark_elves_desert	dark_elves_desert_forest_wildlife_birds	forest
dark_elves_desert	dark_elves_desert_forest_wildlife_insects	forest
dark_elves_desert	dark_elves_desert_forest_wildlife_mammals	forest
dark_elves_desert	dark_elves_desert_primary_nature_one_shots	plains
dark_elves_desert	dark_elves_desert_primary_wildlife_birds	plains
dark_elves_desert	dark_elves_desert_primary_wildlife_insects	plains
dark_elves_desert	dark_elves_desert_primary_wildlife_mammals	plains
dark_elves_hills	dark_elves_hills_forest_nature_one_shots	forest
dark_elves_hills	dark_elves_hills_forest_wildlife_birds	forest
dark_elves_hills	dark_elves_hills_forest_wildlife_distant	forest
dark_elves_hills	dark_elves_hills_forest_wildlife_insects	forest
dark_elves_hills	dark_elves_hills_forest_wildlife_mammals	forest
dark_elves_hills	dark_elves_hills_primary_wildlife_birds	plains
dark_elves_marsh	dark_elves_marsh_forest_nature_one_shots	forest
dark_elves_marsh	dark_elves_marsh_forest_wildlife_birds	forest
dark_elves_marsh	dark_elves_marsh_forest_wildlife_insects	forest
dark_elves_marsh	dark_elves_marsh_forest_wildlife_mammals	forest
dark_elves_marsh	dark_elves_marsh_primary_nature_one_shots	plains
dark_elves_marsh	dark_elves_marsh_primary_wildlife_birds	plains
dark_elves_marsh	dark_elves_marsh_primary_wildlife_insects	plains
dark_elves_marsh	dark_elves_marsh_primary_wildlife_mammals	plains
dark_elves_qb_altar_of_darkness	dark_elves_cold_forest_nature_one_shots	forest
dark_elves_qb_altar_of_darkness	dark_elves_cold_forest_wildlife_birds	forest
dark_elves_qb_altar_of_darkness	dark_elves_cold_forest_wildlife_close	forest
dark_elves_qb_altar_of_darkness	dark_elves_cold_forest_wildlife_mammals	forest
dark_elves_qb_altar_of_darkness	dark_elves_cold_primary_nature_one_shots_01	plains
dark_elves_qb_altar_of_darkness	dark_elves_cold_primary_nature_one_shots_02	plains
dark_elves_qb_altar_of_darkness	dark_elves_cold_primary_wildlife_birds	plains
dark_elves_qb_altar_of_darkness	dark_elves_cold_primary_wildlife_mammals	plains
dark_elves_volcanic_forest	dark_elves_volcanic_forest_nature_one_shots	forest
dark_elves_volcanic_forest	dark_elves_volcanic_forest_wildlife_birds	forest
dark_elves_volcanic_forest	dark_elves_volcanic_forest_wildlife_mammals	forest
dark_elves_volcanic_forest	dark_elves_volcanic_primary_nature_one_shots_01	plains
dark_elves_volcanic_forest	dark_elves_volcanic_primary_nature_one_shots_02	plains
dark_elves_volcanic_forest	dark_elves_volcanic_primary_wildlife_mammals	plains
dark_elves_volcanic_lava_river	dark_elves_volcanic_forest_nature_one_shots	forest
dark_elves_volcanic_lava_river	dark_elves_volcanic_forest_wildlife_birds	forest
dark_elves_volcanic_lava_river	dark_elves_volcanic_forest_wildlife_mammals	forest
dark_elves_volcanic_lava_river	dark_elves_volcanic_primary_nature_one_shots_01	plains
dark_elves_volcanic_lava_river	dark_elves_volcanic_primary_nature_one_shots_02	plains
dark_elves_volcanic_lava_river	dark_elves_volcanic_primary_wildlife_birds	plains
dark_elves_volcanic_lava_river	dark_elves_volcanic_primary_wildlife_mammals	plains
dark_elves_volcanic	dark_elves_volcanic_forest_nature_one_shots	forest
dark_elves_volcanic	dark_elves_volcanic_forest_wildlife_birds	forest
dark_elves_volcanic	dark_elves_volcanic_forest_wildlife_mammals	forest
dark_elves_volcanic	dark_elves_volcanic_primary_nature_one_shots_01	plains
dark_elves_volcanic	dark_elves_volcanic_primary_nature_one_shots_02	plains
dark_elves_volcanic	dark_elves_volcanic_primary_wildlife_birds	plains
dark_elves_volcanic	dark_elves_volcanic_primary_wildlife_mammals	plains
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_forest_nature_one_shots	forest
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_forest_wildlife_birds	forest
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_forest_wildlife_mammals	forest
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_primary_nature_one_shots_01	plains
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_primary_nature_one_shots_02	plains
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_primary_wildlife_birds	plains
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_primary_wildlife_mammals	plains
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_nature_one_shots	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_wildlife_birds	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_wildlife_distant	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_wildlife_insects	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_wildlife_mammals	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_primary_wildlife_birds	plains
dlc10_dark_elves_qb_the_moonbow	weather_thunder_low	static
dlc10_high_elves_qb_shadow_realm	dark_elves_beach_forest_wildlife_birds	forest
dlc10_high_elves_qb_shadow_realm	dark_elves_beach_forest_wildlife_mammals	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_forest_nature_one_shots	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_forest_wildlife_distant	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_forest_wildlife_insects	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_forest_wildlife_mammals	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_primary_wildlife_birds	plains
dlc10_high_elves_qb_star_of_avelorn	nordic_wildlife	plains
dlc11_coast_desert_island	vampire_coast_tropical_island_forest_nature	forest
dlc11_coast_desert_island	vampire_coast_tropical_island_forest_wildlife	forest
dlc11_coast_desert_island	vampire_coast_tropical_island_plains_nature	plains
dlc11_coast_desert_island	vampire_coast_tropical_island_plains_wildlife	plains
dlc11_coast_desert_island	vampire_coast_tropical_island_sea_wildlife	sea
dlc11_coast_final_battle	vampire_coast_final_battle_plains_nature	plains
dlc11_coast_final_battle	vampire_coast_final_battle_plains_wildlife	plains
dlc11_coast_galleons_graveyard	vampire_coast_galleons_graveyard_plains_nature	plains
dlc11_coast_galleons_graveyard	vampire_coast_galleons_graveyard_plains_wildlife	plains
dlc11_coast_galleons_graveyard	vampire_coast_galleons_graveyard_sea_wildlife	sea
dlc11_coast_rocky_island	vampire_coast_desert_island_forest_nature	forest
dlc11_coast_rocky_island	vampire_coast_desert_island_forest_wildlife	forest
dlc11_coast_rocky_island	vampire_coast_desert_island_plains_nature	plains
