attacker	defender	camera_distance	camera_height	scale	separation	camera_angle
#animation_set_prebattle_group_view_configurations_tables;1;db/animation_set_prebattle_group_view_configurations_tables/data__						
big_characters	big_characters	6.3	6.0	1.0	-1.0	15.0
big_characters	chariots	10.0	7.0	1.0	-3.5	15.0
big_characters	corpse_cart	10.0	7.0	0.8	-2.5	15.0
big_characters	default	6.3	6.0	0.8	-1.0	15.0
big_characters	default_mounted	6.3	6.0	0.8	-1.2	15.0
big_characters	dragon	6.3	6.0	0.8	-3.0	15.0
big_characters	enormous	12.0	8.0	0.8	-3.6	15.0
big_characters	giant	9.0	9.0	0.8	-2.5	15.0
big_characters	large	8.0	10.0	1.0	-3.0	15.0
big_characters	mammoth	5.3	7.0	0.45	-2.2	15.0
big_characters	monster_hunts	6.3	7.0	0.4	-3.0	15.0
big_characters	settlements	6.3	6.0	-1.0	-0.7	15.0
big_characters	small	6.3	6.0	0.8	-1.3	15.0
chariots	big_characters	10.0	7.0	1.0	-3.5	15.0
chariots	chariots	14.0	10.0	0.8	-6.0	15.0
chariots	corpse_cart	13.0	9.0	1.0	-5.1	15.0
chariots	default	10.0	8.0	0.8	-4.2	15.0
chariots	default_mounted	10.0	8.0	0.8	-4.4	15.0
chariots	dragon	13.0	9.0	1.0	-6.0	15.0
chariots	enormous	12.0	8.0	1.0	-3.6	15.0
chariots	giant	12.0	10.0	0.8	-4.4	15.0
chariots	large	13.0	6.0	1.0	-5.1	15.0
chariots	mammoth	10.0	7.0	0.6	-3.5	15.0
chariots	monster_hunts	6.3	7.0	0.5	-3.0	15.0
chariots	settlements	8.0	6.0	-1.0	-4.5	15.0
chariots	small	10.0	8.0	0.8	-3.8	15.0
corpse_cart	big_characters	10.0	7.0	0.8	-2.5	15.0
corpse_cart	chariots	13.0	9.0	1.0	-5.1	15.0
corpse_cart	corpse_cart	10.0	8.0	0.8	-3.6	15.0
corpse_cart	default	10.0	7.0	0.8	-2.5	15.0
corpse_cart	default_mounted	10.0	7.0	0.8	-2.5	15.0
corpse_cart	dragon	13.0	9.0	1.0	-5.0	15.0
corpse_cart	enormous	13.0	9.0	1.0	-5.0	15.0
corpse_cart	giant	10.0	10.0	0.8	-3.5	15.0
corpse_cart	large	10.0	10.0	1.0	-4.0	15.0
corpse_cart	mammoth	10.0	7.0	0.6	-3.5	15.0
corpse_cart	monster_hunts	13.0	10.0	0.5	-4.0	15.0
corpse_cart	settlements	10.0	3.0	-1.0	-3.5	15.0
corpse_cart	small	10.0	7.0	0.8	-2.5	15.0
default_mounted	big_characters	6.3	6.0	0.8	-1.2	15.0
default_mounted	chariots	10.0	8.0	0.8	-4.4	15.0
default_mounted	corpse_cart	10.0	7.0	0.8	-2.5	15.0
default_mounted	default	6.3	6.0	1.0	-1.2	15.0
default_mounted	default_mounted	6.3	6.0	1.0	-1.8	15.0
default_mounted	dragon	10.0	9.0	0.8	-4.8	15.0
default_mounted	enormous	12.0	8.0	0.8	-3.6	15.0
default_mounted	giant	9.0	9.0	0.8	-2.5	15.0
default_mounted	large	8.0	10.0	0.8	-3.0	15.0
default_mounted	mammoth	10.0	7.0	0.65	-3.5	15.0
default_mounted	monster_hunts	6.3	7.0	0.4	-3.0	15.0
default_mounted	settlements	6.3	6.0	-1.0	-1.5	15.0
default_mounted	small	6.3	6.0	1.0	-1.3	15.0
default	big_characters	6.3	6.0	0.8	-1.0	15.0
default	chariots	10.0	8.0	0.8	-4.2	15.0
default	corpse_cart	10.0	7.0	0.8	-2.5	15.0
default	default	6.3	6.0	1.0	-1.0	15.0
default	default_mounted	6.3	6.0	1.0	-1.2	15.0
default	dragon	10.0	9.0	0.8	-3.0	15.0
default	enormous	12.0	8.0	0.8	-3.6	15.0
default	giant	9.0	9.0	0.8	-2.5	15.0
default	large	8.0	10.0	1.0	-2.6	15.0
default	mammoth	6.3	7.0	0.45	-2.0	15.0
default	monster_hunts	6.3	7.0	0.4	-3.0	15.0
default	settlements	6.3	6.0	-1.0	-1.5	15.0
default	small	6.3	6.0	1.0	-1.3	15.0
dragon	big_characters	6.3	6.0	0.8	-3.0	15.0
dragon	chariots	13.0	9.0	1.0	-6.0	15.0
dragon	corpse_cart	13.0	9.0	1.0	-5.0	15.0
dragon	default	10.0	9.0	0.8	-3.0	15.0
dragon	default_mounted	10.0	9.0	0.8	-4.8	15.0
dragon	dragon	14.0	11.0	0.8	-7.9	15.0
dragon	enormous	12.0	8.0	0.8	-7.2	15.0
dragon	giant	11.0	9.0	0.8	-4.5	15.0
dragon	large	12.0	11.0	0.8	-6.0	15.0
dragon	mammoth	10.0	7.0	0.6	-4.0	15.0
dragon	monster_hunts	6.3	7.0	0.4	-4.0	15.0
dragon	settlements	6.3	6.0	-1.0	-2.5	15.0
dragon	small	10.0	9.0	0.8	-3.0	15.0
enormous	big_characters	12.0	8.0	0.8	-3.6	15.0
enormous	chariots	12.0	8.0	1.0	-3.6	15.0
enormous	corpse_cart	13.0	9.0	1.0	-5.0	15.0
enormous	default	12.0	8.0	0.8	-3.6	15.0
enormous	default_mounted	12.0	8.0	0.8	-3.6	15.0
enormous	dragon	12.0	8.0	0.8	-7.2	15.0
enormous	enormous	12.0	8.0	0.8	-6.0	15.0
enormous	giant	12.0	8.0	0.8	-6.0	15.0
enormous	large	12.0	8.0	0.8	-5.0	15.0
enormous	mammoth	10.0	7.0	0.6	-4.0	15.0
enormous	monster_hunts	6.3	7.0	0.4	-5.0	15.0
enormous	settlements	12.0	8.0	-1.0	-2.5	15.0
enormous	small	12.0	9.0	0.95	-4.0	15.0
giant	big_characters	9.0	9.0	0.8	-2.5	15.0
giant	chariots	12.0	10.0	0.8	-4.4	15.0
giant	corpse_cart	10.0	10.0	0.8	-3.5	15.0
giant	default	9.0	9.0	0.8	-2.5	15.0
giant	default_mounted	9.0	9.0	0.8	-2.5	15.0
giant	dragon	11.0	9.0	0.8	-4.5	15.0
giant	enormous	12.0	8.0	0.8	-6.0	15.0
giant	giant	11.0	10.0	0.8	-3.0	15.0
giant	large	10.0	10.0	0.8	-3.0	15.0
giant	mammoth	8.0	7.0	0.5	-2.8	15.0
giant	monster_hunts	6.3	9.0	0.4	-5.0	15.0
giant	settlements	6.3	6.0	-1.0	-1.1	15.0
giant	small	9.0	9.0	0.8	-2.5	15.0
large	big_characters	8.0	10.0	1.0	-3.0	15.0
large	chariots	6.3	6.0	1.0	-3.6	15.0
large	corpse_cart	10.0	10.0	1.0	-4.0	15.0
large	default	8.0	10.0	1.0	-2.6	15.0
large	default_mounted	8.0	10.0	0.8	-3.0	15.0
large	dragon	12.0	11.0	0.8	-6.0	15.0
large	enormous	12.0	8.0	0.8	-5.0	15.0
large	giant	10.0	10.0	0.8	-3.0	15.0
large	large	12.0	9.0	1.0	-4.2	15.0
large	mammoth	12.0	10.0	0.6	-4.0	15.0
large	monster_hunts	6.3	7.0	0.4	-4.0	15.0
large	settlements	6.3	6.0	-1.0	-2.2	15.0
large	small	8.0	10.0	1.0	-2.2	15.0
mammoth	big_characters	6.3	7.0	0.45	-2.2	15.0
mammoth	chariots	10.0	7.0	0.6	-3.5	15.0
mammoth	corpse_cart	10.0	7.0	0.6	-3.5	15.0
mammoth	default	6.3	7.0	0.45	-2.0	15.0
mammoth	default_mounted	10.0	7.0	0.65	-3.5	15.0
mammoth	dragon	10.0	7.0	0.6	-4.0	15.0
mammoth	enormous	10.0	7.0	0.6	-4.0	15.0
mammoth	giant	8.0	7.0	0.5	-2.8	15.0
mammoth	large	12.0	10.0	0.6	-4.0	15.0
mammoth	mammoth	10.0	7.0	0.6	-4.0	15.0
mammoth	monster_hunts	6.3	7.0	0.4	-4.0	15.0
mammoth	settlements	9.0	6.0	-1.0	-3.0	15.0
mammoth	small	6.3	7.0	0.45	-2.0	15.0
monster_hunts	big_characters	6.3	7.0	0.4	-3.0	15.0
monster_hunts	chariots	6.3	7.0	0.5	-3.0	15.0
monster_hunts	corpse_cart	13.0	10.0	0.5	-4.0	15.0
monster_hunts	default	6.3	7.0	0.4	-3.0	15.0
monster_hunts	default_mounted	6.3	7.0	0.4	-3.0	15.0
monster_hunts	dragon	6.3	7.0	0.4	-3.0	15.0
monster_hunts	enormous	6.3	7.0	0.4	-5.0	15.0
monster_hunts	giant	6.3	9.0	0.4	-5.0	15.0
monster_hunts	large	6.3	7.0	0.4	-4.0	15.0
monster_hunts	mammoth	6.3	7.0	0.4	-3.0	15.0
monster_hunts	small	6.3	7.0	0.5	-4.0	15.0
small	big_characters	6.3	6.0	0.8	-1.3	15.0
small	chariots	10.0	8.0	0.8	-3.8	15.0
small	corpse_cart	10.0	7.0	0.8	-2.5	15.0
small	default	6.3	6.0	1.0	-1.3	15.0
small	default_mounted	6.3	6.0	1.0	-1.3	15.0
small	dragon	10.0	9.0	0.8	-3.0	15.0
small	enormous	12.0	9.0	0.95	-4.0	15.0
small	giant	9.0	9.0	0.8	-2.5	15.0
small	large	8.0	10.0	1.0	-2.2	15.0
small	mammoth	6.3	7.0	0.45	-2.0	15.0
small	monster_hunts	6.3	7.0	0.5	-3.0	15.0
small	settlements	6.3	6.0	-1.0	-0.7	15.0
small	small	6.3	6.0	1.0	-0.8	15.0
