key	image	frames	framerate	hotspotx	hotspoty	loop	width	height	overlay_image	is_ani_file
#cursors_tables;6;db/cursors_tables/data__										
agent_action	ui/cursors/attack.png	1	25	32	32	false	64	64		false
agent_action_down	ui/cursors/attack_down.png	1	25	32	32	false	64	64		false
attack	ui/cursors/attack.png	1	25	32	32	false	64	64		false
attack_building	ui/cursors/target_building.png	1	25	24	24	false	48	48		false
attack_building_down	ui/cursors/target_building_down.png	1	25	24	24	false	48	48		false
attack_building_oor	ui/cursors/target_building_oor.png	1	25	24	24	false	48	48		false
attack_building_oor_down	ui/cursors/target_building_oor_down.png	1	25	24	24	false	48	48		false
attack_deployable	ui/cursors/melee_multimove.png	1	25	10	7	false	48	48		false
attack_deployable_down	ui/cursors/melee_multimove_down.png	1	25	10	7	false	48	48		false
attack_deployable_ranged	ui/cursors/attack.png	1	25	32	32	false	64	64		false
attack_deployable_ranged_down	ui/cursors/attack_down.png	1	25	32	32	false	64	64		false
attack_down	ui/cursors/attack_down.png	1	25	32	32	false	64	64		false
attack_groupselect	ui/cursors/attack.png	1	25	32	32	false	64	64		false
attack_groupselect_down	ui/cursors/attack_down.png	1	25	32	32	false	64	64		false
attack_multiselect	ui/cursors/attack.png	1	25	32	32	false	64	64		false
attack_multiselect_down	ui/cursors/attack_down.png	1	25	32	32	false	64	64		false
attack_oor	ui/cursors/attack_oor.png	1	25	32	32	false	64	64		false
attack_oor_click	ui/cursors/attack_oor_down.png	1	25	32	32	false	64	64		false
attack_oor_groupselect	ui/cursors/attack_oor.png	1	25	32	32	false	64	64		false
attack_oor_groupselect_down	ui/cursors/attack_oor_down.png	1	25	32	32	false	64	64		false
attack_oor_multiselect	ui/cursors/attack_oor.png	1	25	32	32	false	64	64		false
attack_oor_multiselect_down	ui/cursors/attack_oor_down.png	1	25	32	32	false	64	64		false
attack_port	ui/cursors/attack_port0000	1	25	32	32	false	64	64		false
attack_port_down	ui/cursors/attack_port	11	25	32	32	false	64	64		false
attack_tower_oor	ui/cursors/attack_tower_oor.png	1	25	32	32	false	64	64		false
attack_unbreachable_wall	ui/cursors/target_building.png	1	25	24	24	false	48	48		false
attack_unbreachable_wall_down	ui/cursors/target_building_down.png	1	25	24	24	false	48	48		false
backwater	ui/cursors/backwater0000	1	25	0	0	false	48	48		false
