member	climate
#campaign_group_member_criteria_climates_tables;0;db/campaign_group_member_criteria_climates_tables/data__	
wh2_climate_brt_regular_chaotic	climate_chaotic
wh2_climate_brt_regular_desert	climate_desert
wh2_climate_brt_regular_frozen	climate_frozen
wh2_climate_brt_regular_island	climate_island
wh2_climate_brt_regular_jungle	climate_jungle
wh2_climate_brt_regular_magicforest	climate_magicforest
wh2_climate_brt_regular_mountain	climate_mountain
wh2_climate_brt_regular_ocean	climate_ocean
wh2_climate_brt_regular_savannah	climate_savannah
wh2_climate_brt_regular_temperate	climate_temperate
wh2_climate_brt_regular_wasteland	climate_wasteland
wh2_climate_cst_regular_chaotic	climate_chaotic
wh2_climate_cst_regular_desert	climate_desert
wh2_climate_cst_regular_frozen	climate_frozen
wh2_climate_cst_regular_island	climate_island
wh2_climate_cst_regular_jungle	climate_jungle
wh2_climate_cst_regular_magicforest	climate_magicforest
wh2_climate_cst_regular_mountain	climate_mountain
wh2_climate_cst_regular_ocean	climate_ocean
wh2_climate_cst_regular_savannah	climate_savannah
wh2_climate_cst_regular_temperate	climate_temperate
wh2_climate_cst_regular_wasteland	climate_wasteland
wh2_climate_def_regular_chaotic	climate_chaotic
wh2_climate_def_regular_desert	climate_desert
wh2_climate_def_regular_frozen	climate_frozen
wh2_climate_def_regular_island	climate_island
wh2_climate_def_regular_jungle	climate_jungle
wh2_climate_def_regular_magicforest	climate_magicforest
wh2_climate_def_regular_mountain	climate_mountain
wh2_climate_def_regular_ocean	climate_ocean
wh2_climate_def_regular_savannah	climate_savannah
wh2_climate_def_regular_temperate	climate_temperate
wh2_climate_def_regular_wasteland	climate_wasteland
wh2_climate_dwf_regular_chaotic	climate_chaotic
wh2_climate_dwf_regular_desert	climate_desert
wh2_climate_dwf_regular_frozen	climate_frozen
wh2_climate_dwf_regular_island	climate_island
wh2_climate_dwf_regular_jungle	climate_jungle
wh2_climate_dwf_regular_magicforest	climate_magicforest
wh2_climate_dwf_regular_mountain	climate_mountain
wh2_climate_dwf_regular_ocean	climate_ocean
wh2_climate_dwf_regular_savannah	climate_savannah
wh2_climate_dwf_regular_temperate	climate_temperate
wh2_climate_dwf_regular_wasteland	climate_wasteland
wh2_climate_dwf_ungrim_regular_chaotic	climate_chaotic
wh2_climate_dwf_ungrim_regular_desert	climate_desert
wh2_climate_dwf_ungrim_regular_frozen	climate_frozen
wh2_climate_dwf_ungrim_regular_island	climate_island
wh2_climate_dwf_ungrim_regular_jungle	climate_jungle
wh2_climate_dwf_ungrim_regular_magicforest	climate_magicforest
wh2_climate_dwf_ungrim_regular_mountain	climate_mountain
wh2_climate_dwf_ungrim_regular_ocean	climate_ocean
wh2_climate_dwf_ungrim_regular_savannah	climate_savannah
wh2_climate_dwf_ungrim_regular_temperate	climate_temperate
wh2_climate_dwf_ungrim_regular_wasteland	climate_wasteland
wh2_climate_emp_gelt_chaotic	climate_chaotic
wh2_climate_emp_gelt_desert	climate_desert
wh2_climate_emp_gelt_frozen	climate_frozen
wh2_climate_emp_gelt_island	climate_island
wh2_climate_emp_gelt_jungle	climate_jungle
wh2_climate_emp_gelt_magicforest	climate_magicforest
wh2_climate_emp_gelt_mountain	climate_mountain
wh2_climate_emp_gelt_ocean	climate_ocean
wh2_climate_emp_gelt_savannah	climate_savannah
wh2_climate_emp_gelt_temperate	climate_temperate
wh2_climate_emp_gelt_wasteland	climate_wasteland
wh2_climate_emp_regular_chaotic	climate_chaotic
wh2_climate_emp_regular_desert	climate_desert
wh2_climate_emp_regular_frozen	climate_frozen
wh2_climate_emp_regular_island	climate_island
wh2_climate_emp_regular_jungle	climate_jungle
wh2_climate_emp_regular_magicforest	climate_magicforest
wh2_climate_emp_regular_mountain	climate_mountain
wh2_climate_emp_regular_ocean	climate_ocean
wh2_climate_emp_regular_savannah	climate_savannah
wh2_climate_emp_regular_temperate	climate_temperate
wh2_climate_emp_regular_wasteland	climate_wasteland
wh2_climate_emp_teb_chaotic	climate_chaotic
wh2_climate_emp_teb_desert	climate_desert
wh2_climate_emp_teb_frozen	climate_frozen
wh2_climate_emp_teb_island	climate_island
wh2_climate_emp_teb_jungle	climate_jungle
wh2_climate_emp_teb_magicforest	climate_magicforest
wh2_climate_emp_teb_mountain	climate_mountain
wh2_climate_emp_teb_ocean	climate_ocean
wh2_climate_emp_teb_savannah	climate_savannah
wh2_climate_emp_teb_temperate	climate_temperate
wh2_climate_emp_teb_wasteland	climate_wasteland
wh2_climate_grn_regular_chaotic	climate_chaotic
wh2_climate_grn_regular_desert	climate_desert
wh2_climate_grn_regular_frozen	climate_frozen
wh2_climate_grn_regular_island	climate_island
wh2_climate_grn_regular_jungle	climate_jungle
wh2_climate_grn_regular_magicforest	climate_magicforest
wh2_climate_grn_regular_mountain	climate_mountain
wh2_climate_grn_regular_ocean	climate_ocean
wh2_climate_grn_regular_savannah	climate_savannah
wh2_climate_grn_regular_temperate	climate_temperate
wh2_climate_grn_regular_wasteland	climate_wasteland
wh2_climate_hef_avelorn_chaotic	climate_chaotic
wh2_climate_hef_avelorn_desert	climate_desert
wh2_climate_hef_avelorn_frozen	climate_frozen
wh2_climate_hef_avelorn_island	climate_island
wh2_climate_hef_avelorn_jungle	climate_jungle
wh2_climate_hef_avelorn_magicforest	climate_magicforest
wh2_climate_hef_avelorn_mountain	climate_mountain
wh2_climate_hef_avelorn_ocean	climate_ocean
wh2_climate_hef_avelorn_savannah	climate_savannah
wh2_climate_hef_avelorn_temperate	climate_temperate
wh2_climate_hef_avelorn_wasteland	climate_wasteland
wh2_climate_hef_caledor_chaotic	climate_chaotic
wh2_climate_hef_caledor_desert	climate_desert
wh2_climate_hef_caledor_frozen	climate_frozen
wh2_climate_hef_caledor_island	climate_island
wh2_climate_hef_caledor_jungle	climate_jungle
wh2_climate_hef_caledor_magicforest	climate_magicforest
wh2_climate_hef_caledor_mountain	climate_mountain
wh2_climate_hef_caledor_ocean	climate_ocean
wh2_climate_hef_caledor_savannah	climate_savannah
wh2_climate_hef_caledor_temperate	climate_temperate
wh2_climate_hef_caledor_wasteland	climate_wasteland
wh2_climate_hef_chrace_chaotic	climate_chaotic
wh2_climate_hef_chrace_desert	climate_desert
wh2_climate_hef_chrace_frozen	climate_frozen
wh2_climate_hef_chrace_island	climate_island
wh2_climate_hef_chrace_jungle	climate_jungle
wh2_climate_hef_chrace_magicforest	climate_magicforest
wh2_climate_hef_chrace_mountain	climate_mountain
wh2_climate_hef_chrace_ocean	climate_ocean
wh2_climate_hef_chrace_savannah	climate_savannah
wh2_climate_hef_chrace_temperate	climate_temperate
wh2_climate_hef_chrace_wasteland	climate_wasteland
wh2_climate_hef_citadel_of_dusk_chaotic	climate_chaotic
wh2_climate_hef_citadel_of_dusk_desert	climate_desert
wh2_climate_hef_citadel_of_dusk_frozen	climate_frozen
wh2_climate_hef_citadel_of_dusk_island	climate_island
wh2_climate_hef_citadel_of_dusk_jungle	climate_jungle
wh2_climate_hef_citadel_of_dusk_magicforest	climate_magicforest
wh2_climate_hef_citadel_of_dusk_mountain	climate_mountain
wh2_climate_hef_citadel_of_dusk_ocean	climate_ocean
wh2_climate_hef_citadel_of_dusk_savannah	climate_savannah
wh2_climate_hef_citadel_of_dusk_temperate	climate_temperate
wh2_climate_hef_citadel_of_dusk_wasteland	climate_wasteland
wh2_climate_hef_cothique_chaotic	climate_chaotic
wh2_climate_hef_cothique_desert	climate_desert
wh2_climate_hef_cothique_frozen	climate_frozen
wh2_climate_hef_cothique_island	climate_island
wh2_climate_hef_cothique_jungle	climate_jungle
wh2_climate_hef_cothique_magicforest	climate_magicforest
wh2_climate_hef_cothique_mountain	climate_mountain
wh2_climate_hef_cothique_ocean	climate_ocean
wh2_climate_hef_cothique_savannah	climate_savannah
wh2_climate_hef_cothique_temperate	climate_temperate
wh2_climate_hef_cothique_wasteland	climate_wasteland
wh2_climate_hef_eataine_chaotic	climate_chaotic
wh2_climate_hef_eataine_desert	climate_desert
wh2_climate_hef_eataine_frozen	climate_frozen
wh2_climate_hef_eataine_island	climate_island
wh2_climate_hef_eataine_jungle	climate_jungle
wh2_climate_hef_eataine_magicforest	climate_magicforest
wh2_climate_hef_eataine_mountain	climate_mountain
wh2_climate_hef_eataine_ocean	climate_ocean
wh2_climate_hef_eataine_savannah	climate_savannah
wh2_climate_hef_eataine_temperate	climate_temperate
wh2_climate_hef_eataine_wasteland	climate_wasteland
wh2_climate_hef_ellyrion_chaotic	climate_chaotic
wh2_climate_hef_ellyrion_desert	climate_desert
wh2_climate_hef_ellyrion_frozen	climate_frozen
wh2_climate_hef_ellyrion_island	climate_island
wh2_climate_hef_ellyrion_jungle	climate_jungle
wh2_climate_hef_ellyrion_magicforest	climate_magicforest
wh2_climate_hef_ellyrion_mountain	climate_mountain
wh2_climate_hef_ellyrion_ocean	climate_ocean
wh2_climate_hef_ellyrion_savannah	climate_savannah
wh2_climate_hef_ellyrion_temperate	climate_temperate
wh2_climate_hef_ellyrion_wasteland	climate_wasteland
wh2_climate_hef_fortress_dawn_chaotic	climate_chaotic
wh2_climate_hef_fortress_dawn_desert	climate_desert
wh2_climate_hef_fortress_dawn_frozen	climate_frozen
wh2_climate_hef_fortress_dawn_island	climate_island
wh2_climate_hef_fortress_dawn_jungle	climate_jungle
wh2_climate_hef_fortress_dawn_magicforest	climate_magicforest
wh2_climate_hef_fortress_dawn_mountain	climate_mountain
wh2_climate_hef_fortress_dawn_ocean	climate_ocean
wh2_climate_hef_fortress_dawn_savannah	climate_savannah
wh2_climate_hef_fortress_dawn_temperate	climate_temperate
wh2_climate_hef_fortress_dawn_wasteland	climate_wasteland
wh2_climate_hef_highelves_chaotic	climate_chaotic
wh2_climate_hef_highelves_desert	climate_desert
wh2_climate_hef_highelves_frozen	climate_frozen
wh2_climate_hef_highelves_island	climate_island
wh2_climate_hef_highelves_jungle	climate_jungle
wh2_climate_hef_highelves_magicforest	climate_magicforest
wh2_climate_hef_highelves_mountain	climate_mountain
wh2_climate_hef_highelves_ocean	climate_ocean
wh2_climate_hef_highelves_savannah	climate_savannah
wh2_climate_hef_highelves_temperate	climate_temperate
wh2_climate_hef_highelves_wasteland	climate_wasteland
wh2_climate_hef_highelvesrebels_chaotic	climate_chaotic
wh2_climate_hef_highelvesrebels_desert	climate_desert
wh2_climate_hef_highelvesrebels_frozen	climate_frozen
wh2_climate_hef_highelvesrebels_island	climate_island
wh2_climate_hef_highelvesrebels_jungle	climate_jungle
wh2_climate_hef_highelvesrebels_magicforest	climate_magicforest
wh2_climate_hef_highelvesrebels_mountain	climate_mountain
wh2_climate_hef_highelvesrebels_ocean	climate_ocean
wh2_climate_hef_highelvesrebels_savannah	climate_savannah
wh2_climate_hef_highelvesrebels_temperate	climate_temperate
wh2_climate_hef_highelvesrebels_wasteland	climate_wasteland
wh2_climate_hef_loremasters_chaotic	climate_chaotic
wh2_climate_hef_loremasters_desert	climate_desert
wh2_climate_hef_loremasters_frozen	climate_frozen
wh2_climate_hef_loremasters_island	climate_island
wh2_climate_hef_loremasters_jungle	climate_jungle
wh2_climate_hef_loremasters_magicforest	climate_magicforest
wh2_climate_hef_loremasters_mountain	climate_mountain
wh2_climate_hef_loremasters_ocean	climate_ocean
wh2_climate_hef_loremasters_savannah	climate_savannah
wh2_climate_hef_loremasters_temperate	climate_temperate
wh2_climate_hef_loremasters_wasteland	climate_wasteland
wh2_climate_hef_nagarythe_chaotic	climate_chaotic
wh2_climate_hef_nagarythe_desert	climate_desert
wh2_climate_hef_nagarythe_frozen	climate_frozen
wh2_climate_hef_nagarythe_island	climate_island
wh2_climate_hef_nagarythe_jungle	climate_jungle
wh2_climate_hef_nagarythe_magicforest	climate_magicforest
wh2_climate_hef_nagarythe_mountain	climate_mountain
wh2_climate_hef_nagarythe_ocean	climate_ocean
wh2_climate_hef_nagarythe_savannah	climate_savannah
wh2_climate_hef_nagarythe_temperate	climate_temperate
wh2_climate_hef_nagarythe_wasteland	climate_wasteland
wh2_climate_hef_saphery_chaotic	climate_chaotic
wh2_climate_hef_saphery_desert	climate_desert
wh2_climate_hef_saphery_frozen	climate_frozen
wh2_climate_hef_saphery_island	climate_island
wh2_climate_hef_saphery_jungle	climate_jungle
wh2_climate_hef_saphery_magicforest	climate_magicforest
wh2_climate_hef_saphery_mountain	climate_mountain
wh2_climate_hef_saphery_ocean	climate_ocean
wh2_climate_hef_saphery_savannah	climate_savannah
wh2_climate_hef_saphery_temperate	climate_temperate
wh2_climate_hef_saphery_wasteland	climate_wasteland
wh2_climate_hef_tiranoc_chaotic	climate_chaotic
wh2_climate_hef_tiranoc_desert	climate_desert
wh2_climate_hef_tiranoc_frozen	climate_frozen
wh2_climate_hef_tiranoc_island	climate_island
wh2_climate_hef_tiranoc_jungle	climate_jungle
wh2_climate_hef_tiranoc_magicforest	climate_magicforest
wh2_climate_hef_tiranoc_mountain	climate_mountain
wh2_climate_hef_tiranoc_ocean	climate_ocean
wh2_climate_hef_tiranoc_savannah	climate_savannah
wh2_climate_hef_tiranoc_temperate	climate_temperate
wh2_climate_hef_tiranoc_wasteland	climate_wasteland
wh2_climate_hef_torelasor_chaotic	climate_chaotic
wh2_climate_hef_torelasor_desert	climate_desert
wh2_climate_hef_torelasor_frozen	climate_frozen
wh2_climate_hef_torelasor_island	climate_island
wh2_climate_hef_torelasor_jungle	climate_jungle
wh2_climate_hef_torelasor_magicforest	climate_magicforest
wh2_climate_hef_torelasor_mountain	climate_mountain
wh2_climate_hef_torelasor_ocean	climate_ocean
wh2_climate_hef_torelasor_savannah	climate_savannah
wh2_climate_hef_torelasor_temperate	climate_temperate
wh2_climate_hef_torelasor_wasteland	climate_wasteland
wh2_climate_hef_yvresse_chaotic	climate_chaotic
wh2_climate_hef_yvresse_desert	climate_desert
wh2_climate_hef_yvresse_frozen	climate_frozen
wh2_climate_hef_yvresse_island	climate_island
wh2_climate_hef_yvresse_jungle	climate_jungle
wh2_climate_hef_yvresse_magicforest	climate_magicforest
wh2_climate_hef_yvresse_mountain	climate_mountain
wh2_climate_hef_yvresse_ocean	climate_ocean
wh2_climate_hef_yvresse_savannah	climate_savannah
wh2_climate_hef_yvresse_temperate	climate_temperate
wh2_climate_lzd_defenders_of_the_great_plan_chaotic	climate_chaotic
wh2_climate_lzd_defenders_of_the_great_plan_desert	climate_desert
wh2_climate_lzd_defenders_of_the_great_plan_frozen	climate_frozen
wh2_climate_lzd_defenders_of_the_great_plan_island	climate_island
wh2_climate_lzd_defenders_of_the_great_plan_jungle	climate_jungle
wh2_climate_lzd_defenders_of_the_great_plan_magicforest	climate_magicforest
wh2_climate_lzd_defenders_of_the_great_plan_mountain	climate_mountain
wh2_climate_lzd_defenders_of_the_great_plan_ocean	climate_ocean
wh2_climate_lzd_defenders_of_the_great_plan_savannah	climate_savannah
wh2_climate_lzd_defenders_of_the_great_plan_temperate	climate_temperate
wh2_climate_lzd_defenders_of_the_great_plan_wasteland	climate_wasteland
wh2_climate_lzd_oxyotl_chaotic	climate_chaotic
wh2_climate_lzd_oxyotl_desert	climate_desert
wh2_climate_lzd_oxyotl_frozen	climate_frozen
wh2_climate_lzd_oxyotl_island	climate_island
wh2_climate_lzd_oxyotl_jungle	climate_jungle
wh2_climate_lzd_oxyotl_magicforest	climate_magicforest
wh2_climate_lzd_oxyotl_mountain	climate_mountain
wh2_climate_lzd_oxyotl_ocean	climate_ocean
wh2_climate_lzd_oxyotl_savannah	climate_savannah
wh2_climate_lzd_oxyotl_temperate	climate_temperate
wh2_climate_lzd_oxyotl_wasteland	climate_wasteland
wh2_climate_lzd_regular_chaotic	climate_chaotic
wh2_climate_lzd_regular_desert	climate_desert
wh2_climate_lzd_regular_frozen	climate_frozen
wh2_climate_lzd_regular_island	climate_island
wh2_climate_lzd_regular_jungle	climate_jungle
wh2_climate_lzd_regular_magicforest	climate_magicforest
wh2_climate_lzd_regular_mountain	climate_mountain
wh2_climate_lzd_regular_ocean	climate_ocean
wh2_climate_lzd_regular_savannah	climate_savannah
wh2_climate_lzd_regular_temperate	climate_temperate
wh2_climate_lzd_regular_wasteland	climate_wasteland
wh2_climate_lzd_spirits_of_the_jungle_chaotic	climate_chaotic
wh2_climate_lzd_spirits_of_the_jungle_desert	climate_desert
wh2_climate_lzd_spirits_of_the_jungle_frozen	climate_frozen
wh2_climate_lzd_spirits_of_the_jungle_island	climate_island
wh2_climate_lzd_spirits_of_the_jungle_jungle	climate_jungle
wh2_climate_lzd_spirits_of_the_jungle_magicforest	climate_magicforest
wh2_climate_lzd_spirits_of_the_jungle_mountain	climate_mountain
wh2_climate_lzd_spirits_of_the_jungle_ocean	climate_ocean
wh2_climate_lzd_spirits_of_the_jungle_savannah	climate_savannah
wh2_climate_lzd_spirits_of_the_jungle_temperate	climate_temperate
wh2_climate_lzd_spirits_of_the_jungle_wasteland	climate_wasteland
wh2_climate_nor_regular_chaotic	climate_chaotic
wh2_climate_nor_regular_desert	climate_desert
wh2_climate_nor_regular_frozen	climate_frozen
wh2_climate_nor_regular_island	climate_island
wh2_climate_nor_regular_jungle	climate_jungle
wh2_climate_nor_regular_magicforest	climate_magicforest
wh2_climate_nor_regular_mountain	climate_mountain
wh2_climate_nor_regular_ocean	climate_ocean
wh2_climate_nor_regular_savannah	climate_savannah
wh2_climate_nor_regular_temperate	climate_temperate
wh2_climate_nor_regular_wasteland	climate_wasteland
wh2_climate_skv_regular_chaotic	climate_chaotic
wh2_climate_skv_regular_desert	climate_desert
wh2_climate_skv_regular_frozen	climate_frozen
wh2_climate_skv_regular_island	climate_island
wh2_climate_skv_regular_jungle	climate_jungle
wh2_climate_skv_regular_magicforest	climate_magicforest
wh2_climate_skv_regular_mountain	climate_mountain
wh2_climate_skv_regular_ocean	climate_ocean
wh2_climate_skv_regular_savannah	climate_savannah
wh2_climate_skv_regular_temperate	climate_temperate
wh2_climate_skv_regular_wasteland	climate_wasteland
wh2_climate_skv_rictus_chaotic	climate_chaotic
wh2_climate_skv_rictus_desert	climate_desert
