faction	set
#faction_factionwide_recruitment_unit_exclusions_set_junctions_tables;0;db/faction_factionwide_recruitment_unit_exclusions_set_junctions_tables/data__	
wh2_dlc14_brt_chevaliers_de_lyonesse	exclusion_set_bretonnia
wh2_dlc14_grn_red_cloud	exclusion_set_greenskins
wh2_dlc15_grn_bonerattlaz	exclusion_set_greenskins
wh2_dlc15_grn_skull_crag	exclusion_set_greenskins
wh2_dlc16_grn_creeping_death	exclusion_set_greenskins
wh2_dlc16_grn_naggaroth_orcs	exclusion_set_greenskins
wh2_dlc16_grn_savage_invasion	exclusion_set_greenskins
wh2_main_bst_blooded_axe_brayherd	exclusion_set_beastmen
wh2_main_bst_blooded_axe	exclusion_set_beastmen
wh2_main_bst_manblight_brayherd	exclusion_set_beastmen
wh2_main_bst_manblight	exclusion_set_beastmen
wh2_main_bst_ripper_horn_brayherd	exclusion_set_beastmen
wh2_main_bst_ripper_horn	exclusion_set_beastmen
wh2_main_bst_shadowgor_brayherd	exclusion_set_beastmen
wh2_main_bst_shadowgor	exclusion_set_beastmen
wh2_main_bst_skrinderkin_brayherd	exclusion_set_beastmen
wh2_main_bst_skrinderkin	exclusion_set_beastmen
wh2_main_bst_stone_horn_brayherd	exclusion_set_beastmen
wh2_main_bst_stone_horn	exclusion_set_beastmen
wh2_main_grn_arachnos_waaagh	exclusion_set_greenskins
wh2_main_grn_arachnos	exclusion_set_greenskins
wh2_main_grn_blue_vipers_waaagh	exclusion_set_greenskins
wh2_main_grn_blue_vipers	exclusion_set_greenskins
wh3_dlc20_brt_march_of_couronne	exclusion_set_bretonnia
wh3_dlc21_vmp_jiangshi_rebels	exclusion_set_vampires
wh3_main_brt_aquitaine	exclusion_set_bretonnia
wh3_main_dwf_karak_azorn	exclusion_set_dwarfs
wh3_main_emp_cult_of_sigmar	exclusion_set_empire
wh3_main_grn_da_cage_breakaz	exclusion_set_greenskins
wh3_main_grn_dark_land_orcs_waaagh	exclusion_set_greenskins
wh3_main_grn_dark_land_orcs	exclusion_set_greenskins
wh3_main_grn_dimned_sun_waaagh	exclusion_set_greenskins
wh3_main_grn_dimned_sun	exclusion_set_greenskins
wh3_main_grn_drippin_fangs_waaagh	exclusion_set_greenskins
wh3_main_grn_drippin_fangs	exclusion_set_greenskins
wh3_main_grn_moon_howlerz_waaagh	exclusion_set_greenskins
wh3_main_grn_moon_howlerz	exclusion_set_greenskins
wh3_main_grn_slaves_of_zharr	exclusion_set_greenskins
wh3_main_grn_tusked_sunz_waaagh	exclusion_set_greenskins
wh3_main_grn_tusked_sunz	exclusion_set_greenskins
wh3_main_vmp_caravan_of_blue_roses	exclusion_set_vampires
wh3_main_vmp_lahmian_sisterhood	exclusion_set_vampires
wh3_main_vmp_nagashizzar	exclusion_set_vampires
wh_dlc03_bst_beastmen_chaos_brayherd	exclusion_set_beastmen
wh_dlc03_bst_beastmen_chaos	exclusion_set_beastmen
wh_dlc03_bst_jagged_horn_brayherd	exclusion_set_beastmen
wh_dlc03_bst_jagged_horn	exclusion_set_beastmen
wh_dlc03_bst_redhorn_brayherd	exclusion_set_beastmen
wh_dlc03_bst_redhorn	exclusion_set_beastmen
wh_dlc03_grn_black_pit_waaagh	exclusion_set_greenskins
wh_dlc03_grn_black_pit	exclusion_set_greenskins
wh_main_brt_artois	exclusion_set_bretonnia
wh_main_brt_bastonne	exclusion_set_bretonnia
wh_main_brt_bordeleaux	exclusion_set_bretonnia
wh_main_brt_bretonnia_rebels	exclusion_set_bretonnia
wh_main_brt_bretonnia	exclusion_set_bretonnia
wh_main_brt_carcassonne	exclusion_set_bretonnia
wh_main_brt_lyonesse	exclusion_set_bretonnia
wh_main_brt_parravon	exclusion_set_bretonnia
wh_main_dwf_barak_varr	exclusion_set_dwarfs
wh_main_dwf_dwarf_rebels	exclusion_set_dwarfs
wh_main_dwf_dwarfs	exclusion_set_dwarfs
wh_main_dwf_karak_azul	exclusion_set_dwarfs
wh_main_dwf_karak_hirn	exclusion_set_dwarfs
wh_main_dwf_karak_izor	exclusion_set_dwarfs
wh_main_dwf_karak_kadrin	exclusion_set_dwarfs
wh_main_dwf_karak_norn	exclusion_set_dwarfs
wh_main_dwf_karak_ziflin	exclusion_set_dwarfs
wh_main_dwf_kraka_drak	exclusion_set_dwarfs
wh_main_dwf_zhufbar	exclusion_set_dwarfs
wh_main_emp_averland	exclusion_set_bretonnia
wh_main_emp_empire_rebels	exclusion_set_empire
wh_main_emp_empire_separatists	exclusion_set_empire
wh_main_emp_empire	exclusion_set_empire
wh_main_emp_hochland	exclusion_set_bretonnia
wh_main_emp_marienburg_rebels	exclusion_set_bretonnia
wh_main_emp_marienburg	exclusion_set_bretonnia
wh_main_emp_middenland	exclusion_set_bretonnia
wh_main_emp_nordland	exclusion_set_bretonnia
wh_main_emp_ostermark	exclusion_set_bretonnia
wh_main_grn_black_venom_waaagh	exclusion_set_greenskins
wh_main_grn_black_venom	exclusion_set_greenskins
wh_main_grn_bloody_spearz_waaagh	exclusion_set_greenskins
wh_main_grn_bloody_spearz	exclusion_set_greenskins
wh_main_grn_broken_nose_waaagh	exclusion_set_greenskins
wh_main_grn_broken_nose	exclusion_set_greenskins
wh_main_grn_crooked_moon_waaagh	exclusion_set_greenskins
wh_main_grn_crooked_moon	exclusion_set_greenskins
wh_main_grn_greenskins_rebels_waaagh	exclusion_set_greenskins
wh_main_grn_greenskins_rebels	exclusion_set_greenskins
wh_main_grn_greenskins	exclusion_set_greenskins
wh_main_grn_necksnappers_waaagh	exclusion_set_greenskins
wh_main_grn_necksnappers	exclusion_set_greenskins
wh_main_grn_orcs_of_the_bloody_hand_waaagh	exclusion_set_greenskins
wh_main_grn_orcs_of_the_bloody_hand	exclusion_set_greenskins
wh_main_grn_red_eye_waaagh	exclusion_set_greenskins
wh_main_grn_red_eye	exclusion_set_greenskins
wh_main_grn_red_fangs_waaagh	exclusion_set_greenskins
wh_main_grn_red_fangs	exclusion_set_greenskins
wh_main_grn_scabby_eye_waaagh	exclusion_set_greenskins
wh_main_grn_scabby_eye	exclusion_set_greenskins
wh_main_grn_skull-takerz_waaagh	exclusion_set_greenskins
wh_main_grn_skull-takerz	exclusion_set_greenskins
wh_main_grn_skullsmasherz_waaagh	exclusion_set_greenskins
wh_main_grn_skullsmasherz	exclusion_set_greenskins
wh_main_grn_teef_snatchaz_waaagh	exclusion_set_greenskins
wh_main_grn_teef_snatchaz	exclusion_set_greenskins
wh_main_grn_top_knotz_waaagh	exclusion_set_greenskins
wh_main_grn_top_knotz	exclusion_set_greenskins
wh_main_vmp_mousillon	exclusion_set_vampires
wh_main_vmp_rival_sylvanian_vamps	exclusion_set_vampires
wh_main_vmp_schwartzhafen	exclusion_set_vampires
wh_main_vmp_vampire_counts	exclusion_set_vampires
wh_main_vmp_vampire_rebels	exclusion_set_vampires
wh_main_vmp_waldenhof	exclusion_set_vampires
