id	treasury_cost	expenditure_type	income_type	expenditure_type_when_regular	income_type_when_regular
#resource_costs_tables;0;db/resource_costs_tables/data__					
greenskin_technology	0	TECHNOLOGIES	TECHNOLOGIES	ARMY_UPKEEP	BACKGROUND_INCOME
nor_dilemma_crow	0	CONSTRUCTION_OTHER	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
nor_dilemma_eagle	0	CONSTRUCTION_OTHER	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
nor_dilemma_hound	0	CONSTRUCTION_OTHER	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
nor_dilemma_serpent	0	CONSTRUCTION_OTHER	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
nor_raze_crow	0	CONSTRUCTION_OTHER	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
nor_raze_eagle	0	CONSTRUCTION_OTHER	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
nor_raze_hound	0	CONSTRUCTION_OTHER	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
nor_raze_serpent	0	CONSTRUCTION_OTHER	OTHER	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_resource_cost_tmb_harvest_organs	0	ACTIONS	BATTLE_KILLS	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_army_capacity	-10000	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_carrion	-450	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_enchanted_item_icon_of_rulership	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_foolhardiness	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_toughness	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_necropolis_knights	-1850	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen	-1000	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors	-600	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_talisman_dawnstone	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_setep	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
