key	effect_list	max	min	streak
#campaign_streak_effects_tables;1;db/campaign_streak_effects_tables/data__				
wh3_dlc20_valkia_win_streak_0	wh3_dlc20_valkia_win_streak_0	2	0	wh3_dlc20_valkia_win_streak
wh3_dlc20_valkia_win_streak_1	wh3_dlc20_valkia_win_streak_1	5	3	wh3_dlc20_valkia_win_streak
wh3_dlc20_valkia_win_streak_2	wh3_dlc20_valkia_win_streak_2	8	6	wh3_dlc20_valkia_win_streak
wh3_dlc20_valkia_win_streak_3	wh3_dlc20_valkia_win_streak_3	9	9	wh3_dlc20_valkia_win_streak
wh3_dlc20_valkia_win_streak_negative	wh3_dlc20_valkia_win_streak_negative	-1	-1	wh3_dlc20_valkia_win_streak
wh3_main_khorne_win_streak_0	wh3_main_khorne_win_streak_0	2	0	wh3_main_kho_win_streak
wh3_main_khorne_win_streak_1	wh3_main_khorne_win_streak_1	5	3	wh3_main_kho_win_streak
wh3_main_khorne_win_streak_2	wh3_main_khorne_win_streak_2	8	6	wh3_main_kho_win_streak
wh3_main_khorne_win_streak_3	wh3_main_khorne_win_streak_3	9	9	wh3_main_kho_win_streak
wh3_main_khorne_win_streak_negative	wh3_main_khorne_win_streak_negative	-1	-1	wh3_main_kho_win_streak
