type	ui_icon_image	ui_background_image
#settlement_climate_types_tables;2;db/settlement_climate_types_tables/data__		
climate_chaotic	UI\Campaign UI\Climate_types\chaotic_wasteland.png	default_background
climate_desert	UI\Campaign UI\Climate_types\desert.png	default_background
climate_frozen	UI\Campaign UI\Climate_types\frozen.png	default_background
climate_island	UI\Campaign UI\Climate_types\temperate_island.png	default_background
climate_jungle	UI\Campaign UI\Climate_types\jungle.png	default_background
climate_magicforest	UI\Campaign UI\Climate_types\magical_forest.png	default_background
climate_mountain	UI\Campaign UI\Climate_types\mountain.png	default_background
climate_ocean	UI\Campaign UI\Climate_types\ocean.png	default_background
climate_savannah	UI\Campaign UI\Climate_types\savannah.png	default_background
climate_temperate	UI\Campaign UI\Climate_types\temperate.png	default_background
climate_wasteland	UI\Campaign UI\Climate_types\wasteland.png	default_background
