key	budget	budget_size_key	land	siege_defender
#mp_budgets_tables;0;db/mp_budgets_tables/data__				
ambush_custom	100000	custom	true	false
ambush_large	12400	large	true	false
city_custom	100000	custom	true	true
city_large	22000	large	true	true
coastal_custom	100000	custom	false	false
coastal_large	12400	large	false	false
domination_custom	100000	custom	true	false
domination_large	18000	large	true	false
land_custom	100000	custom	true	false
land_large	12400	large	true	false
naval_custom	100000	custom	false	false
naval_large	12400	large	false	false
port_custom	100000	custom	false	true
port_large	12400	large	false	true
river_crossing_custom	100000	custom	true	false
river_crossing_large	12400	large	true	false
survival_custom	100000	custom	true	false
survival_large	26000	large	true	false
unfortified_port_custom	100000	custom	false	true
unfortified_port_large	12400	large	false	true
unfortified_town_custom	100000	custom	true	true
unfortified_town_large	22000	large	true	true
