currency_type	item_type	cost_value
#battle_currency_army_special_abilities_cost_values_tables;0;db/battle_currency_army_special_abilities_cost_values_tables/data__		
army_ability_bar_fill	wh2_dlc09_army_abilities_realm_of_souls_ushabti	500.0
army_ability_bar_fill	wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	500.0
army_ability_bar_fill	wh2_dlc15_army_abilities_azhags_big_waaagh	100.0
army_ability_bar_fill	wh2_dlc15_army_abilities_azhags_waaagh	100.0
army_ability_bar_fill	wh2_dlc15_army_abilities_big_waaagh	100.0
army_ability_bar_fill	wh2_dlc15_army_abilities_grimgors_big_waaagh	100.0
army_ability_bar_fill	wh2_dlc15_army_abilities_grimgors_waaagh	100.0
army_ability_bar_fill	wh2_dlc15_army_abilities_groms_big_waaagh	100.0
army_ability_bar_fill	wh2_dlc15_army_abilities_groms_waaagh	100.0
army_ability_bar_fill	wh2_dlc15_army_abilities_skarsniks_big_waaagh	100.0
army_ability_bar_fill	wh2_dlc15_army_abilities_skarsniks_waaagh	100.0
army_ability_bar_fill	wh2_dlc15_army_abilities_waaagh	100.0
army_ability_bar_fill	wh2_dlc15_army_abilities_wurrzags_big_waaagh	100.0
army_ability_bar_fill	wh2_dlc15_army_abilities_wurrzags_waaagh	100.0
army_ability_bar_fill	wh3_main_army_abilities_arcane_surge	100.0
army_ability_bar_fill	wh3_main_army_abilities_blade_of_khorne	300.0
army_ability_bar_fill	wh3_main_army_abilities_bolt_of_change	200.0
army_ability_bar_fill	wh3_main_army_abilities_curse_of_the_slug	100.0
army_ability_bar_fill	wh3_main_army_abilities_fascination	100.0
army_ability_bar_fill	wh3_main_army_abilities_fecundity	200.0
army_ability_bar_fill	wh3_main_army_abilities_horn_of_khorne	100.0
army_ability_bar_fill	wh3_main_army_abilities_narcissism	200.0
army_ability_bar_fill	wh3_main_army_abilities_relentless_rage	200.0
army_ability_bar_fill	wh3_main_army_abilities_rot_glorious_rot	300.0
army_ability_bar_fill	wh3_main_army_abilities_storm_of_fire	300.0
army_ability_bar_fill	wh3_main_army_abilities_sweet_sorrow	300.0
army_ability_bar_fill	wh3_main_prisoners_butcher	120.0
army_ability_bar_fill	wh3_main_prisoners_dismember	25.0
army_ability_bar_fill	wh3_main_prisoners_massacre	75.0
