name	switch_group	switch_name
#audio_switches_tables;0;db/audio_switches_tables/data__		
Claw_Generic	Generic_Claw_Type	Claw
Claw_None	Generic_Claw_Type	Claw_None
Claw_Slaanesh	Generic_Claw_Type	Slaanesh_Claw
Footstep_Bloated	Generic_Foot_Type	Bloated
Footstep_Ember	Generic_Foot_Type	Ember
Footstep_Flesh	Generic_Foot_Type	Flesh
Footstep_Hoove	Generic_Foot_Type	Hoove
Footstep_Metal	Generic_Foot_Type	Metal
Glow_Body_Generic	Generic_Body_Glow	Generic
Glow_Body_Khorne	Generic_Body_Glow	Khorne
Glow_Body_None	Generic_Body_Glow	No_Glow
Glow_Body_Slaanesh	Generic_Body_Glow	Slaanesh
Glow_Body_Tzeentch	Generic_Body_Glow	Tzeentch
Glow_Weapon_Chaos	Generic_Weapon_Glow	Chaos
Glow_Weapon_Fire	Generic_Weapon_Glow	Fire
Glow_Weapon_None	Generic_Weapon_Glow	No_Glow
Glow_Weapon_Slaanesh	Generic_Weapon_Glow	Slaanesh
Head_Khorne	Generic_Vocalisation_Head_Type	Khorne
Head_Nurgle	Generic_Vocalisation_Head_Type	Nurgle
Head_Slaanesh	Generic_Vocalisation_Head_Type	Slaanesh
Head_Tzeentch_Bird	Generic_Vocalisation_Head_Type	Tzeentch_Bird
Head_Undivided	Generic_Vocalisation_Head_Type	Undivided
Tail_Ember	Generic_Tail_Type	Ember
Tail_Flesh	Generic_Tail_Type	Flesh
Tail_Leather	Generic_Tail_Type	Leather
Tail_None	Generic_Tail_Type	No_Tail
Tail_Plate	Generic_Tail_Type	Plate
Weapon_Axe	Generic_Weapon_Type	Axe
Weapon_Axe_Chaos	Generic_Weapon_Type	Axe_Chaos
Weapon_Bell	Generic_Weapon_Type	Bell
Weapon_Blank	Generic_Weapon_Type	Blank
Weapon_Claw	Generic_Weapon_Type	Claw
Weapon_Claw_Slaanesh	Generic_Weapon_Type	Slaanesh_Claw
Weapon_Club	Generic_Weapon_Type	Club
Weapon_Dagger	Generic_Weapon_Type	Dagger
Weapon_Hammer	Generic_Weapon_Type	Hammer
Weapon_Hammer_Chaos	Generic_Weapon_Type	Hammer_Chaos
Weapon_Spear	Generic_Weapon_Type	Spear
Weapon_Spear_Chaos	Generic_Weapon_Type	Spear_Chaos
Weapon_Sword	Generic_Weapon_Type	Sword
Weapon_Sword_Chaos	Generic_Weapon_Type	Sword_Chaos
Weapon_Sword_Khorne	Generic_Weapon_Type	Sword_Khorne
Weapon_Sword_Slaanesh	Generic_Weapon_Type	Sword_Slaanesh
Wing_Ember	Generic_Wing_Type	Ember
Wing_Feather	Generic_Wing_Type	Feather
Wing_Feather_Metal	Generic_Wing_Type	Metal_Feather
Wing_Leather	Generic_Wing_Type	Leather
Wing_Leather_Metal	Generic_Wing_Type	Metal_Leather
Wing_None	Generic_Wing_Type	No_Wing
