key	percent_unit_damage
#campaign_map_attrition_damages_tables;1;db/campaign_map_attrition_damages_tables/data__	
attrition_awakened_forest	6.0
attrition_bastion_patrol	10.0
attrition_besieged	10.0
attrition_chaos_wastes	10.0
attrition_desertion	10.0
attrition_disciple_army	15.0
attrition_disease	20.0
attrition_event	3.0
attrition_horde_infighting	5.0
attrition_hostile_territory	7.5
attrition_khorne_summon	10.0
attrition_maelstrom	30.0
attrition_mists_of_yvresse	8.0
attrition_morale	10.0
attrition_morale_very_low	20.0
attrition_nurgle_realm	12.0
attrition_ogre_meat	10.0
attrition_plague	5.0
attrition_sieging	10.0
attrition_storm_level_1	4.0
attrition_storm_level_2	8.0
attrition_storm_level_3	12.0
attrition_storm_level_4	16.0
attrition_storm_level_5	20.0
attrition_terrain	7.5
attrition_vampire_territory	11.0
bastion_wrath	20.0
blood_voyage_desertion	75.0
