member	value
#campaign_group_member_criteria_values_tables;0;db/campaign_group_member_criteria_values_tables/data__	
wh2_dlc09_event_feed_cult_tomb_kings_battle_attack_outcome_defeat	-1
wh2_dlc09_event_feed_cult_tomb_kings_battle_attack_outcome_draw	0
wh2_dlc09_event_feed_cult_tomb_kings_battle_attack_outcome_victory	1
wh2_dlc09_event_feed_scripted_ai_rite_performed_tmb	824
wh2_dlc09_event_feed_scripted_black_pyramid_flying	905
wh2_dlc09_event_feed_scripted_colonise_ruins_success	901
wh2_dlc09_event_feed_scripted_intro_tomb_kings	606
wh2_dlc09_event_feed_scripted_rite_expired_tmb	903
wh2_dlc09_event_feed_scripted_rite_unlocked_tmb	902
wh2_dlc09_event_feed_scripted_staff_of_nagash	906
wh2_dlc10_event_feed_scripted_assassination_targets	1014
wh2_dlc10_event_feed_scripted_blood_voyage	1011
wh2_dlc10_event_feed_scripted_blood_voyage_warning	1015
wh2_dlc10_event_feed_scripted_defender_of_ulthuan_bad	1013
wh2_dlc10_event_feed_scripted_defender_of_ulthuan_good	1012
wh2_dlc10_event_feed_scripted_intro_alarielle	780
wh2_dlc10_event_feed_scripted_intro_alith_anar	781
wh2_dlc10_event_feed_scripted_intro_hellebron	779
wh2_dlc10_sword_of_khaine_issued_AI	1016
wh2_dlc11_cst_loyalty_critical	1115
wh2_dlc11_cst_loyalty_high	1116
wh2_dlc11_cst_loyalty_low	1117
wh2_dlc11_cst_loyalty_rebel	1118
wh2_dlc11_event_feed_cult_vampire_coast_battle_attack_outcome_defeat	-1
wh2_dlc11_event_feed_cult_vampire_coast_battle_attack_outcome_draw	0
wh2_dlc11_event_feed_cult_vampire_coast_battle_attack_outcome_victory	1
wh2_dlc11_event_feed_scripted_ai_rite_performed_cst	825
wh2_dlc11_event_feed_scripted_intro_aranessa	783
wh2_dlc11_event_feed_scripted_intro_cylostra	784
wh2_dlc11_event_feed_scripted_intro_harkon	786
wh2_dlc11_event_feed_scripted_intro_lokhir	782
wh2_dlc11_event_feed_scripted_intro_noctilus	785
wh2_dlc11_event_feed_scripted_pirate_ship_aranessa	1113
wh2_dlc11_event_feed_scripted_pirate_ship_cylostra	1114
wh2_dlc11_event_feed_scripted_pirate_ship_harkon	1111
wh2_dlc11_event_feed_scripted_pirate_ship_noctilus	1112
wh2_dlc11_event_feed_scripted_rite_expired_cst	907
wh2_dlc11_event_feed_scripted_rite_unlocked_cst	904
wh2_dlc11_event_feed_scripted_ulthuan_monster_attack	1100
wh2_dlc11_harkon_mind_change	1119
wh2_dlc11_neo_counter_passed	1017
wh2_dlc12_event_feed_scripted_doomsphere	120
wh2_dlc12_event_feed_scripted_intro_ikit	787
wh2_dlc12_event_feed_scripted_intro_tehenhauin	788
wh2_dlc12_event_feed_scripted_plague_cauldron	125
wh2_dlc12_event_feed_scripted_under_empire_destroyed	124
wh2_dlc12_event_feed_scripted_under_empire_discovered	122
wh2_dlc12_event_feed_scripted_under_empire_expanded	123
wh2_dlc12_event_feed_scripted_warcamp	121
wh2_dlc13_event_feed_scripted_gotrek_felix	1308
wh2_dlc13_event_feed_scripted_gotrek_felix_other	1309
wh2_dlc13_lizardman_retaliation	1310
wh2_dlc13_wanted_bar_invasion_ME	1311
wh2_dlc14_event_feed_scripted_ai_shadowy_dealings	790
wh2_dlc14_event_feed_scripted_ai_shadowy_dealings_decapitation	794
wh2_dlc14_event_feed_scripted_ai_shadowy_dealings_fleet_bombing	791
wh2_dlc14_event_feed_scripted_ai_shadowy_dealings_great_fire	792
wh2_dlc14_event_feed_scripted_ai_shadowy_dealings_sewer_plague	793
wh2_dlc14_event_feed_scripted_intro_snikch	789
wh2_dlc15_event_feed_scripted_hef_dragon_encounter_spawned	1132
wh2_dlc15_event_feed_scripted_intro_eltharion	795
wh2_dlc15_event_feed_scripted_intro_grom	797
wh2_dlc15_event_feed_scripted_intro_imrik	796
wh2_dlc15_mist_murder_appeared	1312
wh2_dlc16_event_feed_scripted_intro_sisters	798
wh2_dlc16_event_feed_scripted_intro_throt	799
wh2_dlc17_event_feed_scripted_campaign_progression_taurox_bst	1805
wh2_dlc17_event_feed_scripted_global_progression_bst	1803
wh2_dlc17_event_feed_scripted_intro_oxyotl	801
wh2_dlc17_event_feed_scripted_intro_thorek	1701
wh2_dlc17_event_feed_scripted_ritual_completed_bst	1801
wh2_dlc17_event_feed_scripted_taurox_rampage_bst	1804
wh2_dlc17_event_feed_scripted_tech_unlocked_bst	1802
wh2_main_event_feed_cult_dark_elves_battle_attack_outcome_defeat	-1
wh2_main_event_feed_cult_dark_elves_battle_attack_outcome_draw	0
wh2_main_event_feed_cult_dark_elves_battle_attack_outcome_victory	1
wh2_main_event_feed_cult_high_elves_battle_attack_outcome_defeat	-1
wh2_main_event_feed_cult_high_elves_battle_attack_outcome_draw	0
wh2_main_event_feed_cult_high_elves_battle_attack_outcome_victory	1
wh2_main_event_feed_cult_lizardmen_battle_attack_outcome_defeat	-1
wh2_main_event_feed_cult_lizardmen_battle_attack_outcome_draw	0
wh2_main_event_feed_cult_lizardmen_battle_attack_outcome_victory	1
wh2_main_event_feed_cult_skaven_battle_attack_outcome_defeat	-1
wh2_main_event_feed_cult_skaven_battle_attack_outcome_draw	0
wh2_main_event_feed_cult_skaven_battle_attack_outcome_victory	1
wh2_main_event_feed_scripted_ai_final_battle_lost_def	861
wh2_main_event_feed_scripted_ai_final_battle_lost_hef	860
wh2_main_event_feed_scripted_ai_final_battle_lost_lzd	862
wh2_main_event_feed_scripted_ai_final_battle_lost_skv	863
wh2_main_event_feed_scripted_ai_rite_performed_def	821
wh2_main_event_feed_scripted_ai_rite_performed_hef	820
wh2_main_event_feed_scripted_ai_rite_performed_lzd	822
wh2_main_event_feed_scripted_ai_rite_performed_skv	823
