choice_key	dilemma_key	associated_audio_trigger
#cdir_events_dilemma_choice_details_tables;3;db/cdir_events_dilemma_choice_details_tables/data__		
FIRST	wh2_dlc08_nor_confederate_generic	
SECOND	wh2_dlc08_nor_confederate_generic	
THIRD	wh2_dlc08_nor_confederate_generic	
FIRST	wh2_dlc08_nor_confederate_generic_no_execution	
SECOND	wh2_dlc08_nor_confederate_generic_no_execution	
FIRST	wh2_dlc09_agent_choice	
FOURTH	wh2_dlc09_agent_choice	
SECOND	wh2_dlc09_agent_choice	
THIRD	wh2_dlc09_agent_choice	
FIRST	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3	
FOURTH	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3	
SECOND	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3	
THIRD	wh2_dlc09_great_vortex_skv_tretch_lucky_skullhelm_stage_3	
FIRST	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2	
SECOND	wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2	
FIRST	wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_3	
SECOND	wh2_dlc09_great_vortex_tmb_settra_the_crown_of_nehekhara_stage_3	
FIRST	wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3	
FOURTH	wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3	
SECOND	wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3	
THIRD	wh2_dlc09_skv_tretch_lucky_skullhelm_stage_3	
FIRST	wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2	
SECOND	wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_2	
FIRST	wh2_dlc09_tmb_dilemma_almighty_monuments	
SECOND	wh2_dlc09_tmb_dilemma_almighty_monuments	
FIRST	wh2_dlc09_tmb_dilemma_crumbling_buildings	
SECOND	wh2_dlc09_tmb_dilemma_crumbling_buildings	
FIRST	wh2_dlc09_tmb_dilemma_drying_rivers	
SECOND	wh2_dlc09_tmb_dilemma_drying_rivers	
FIRST	wh2_dlc09_tmb_dilemma_eternal_servitude	
SECOND	wh2_dlc09_tmb_dilemma_eternal_servitude	
FIRST	wh2_dlc09_tmb_dilemma_glorious_structures	
SECOND	wh2_dlc09_tmb_dilemma_glorious_structures	
