map	sound
#audio_campaign_environment_tree_sound_assignments_tables;0;db/audio_campaign_environment_tree_sound_assignments_tables/data__	
wh3_main_chaos_map_1	Tree_Sound_Beastmen
wh3_main_chaos_map_1	Tree_Sound_Bretonnia
wh3_main_chaos_map_1	Tree_Sound_Cathay
wh3_main_chaos_map_1	Tree_Sound_Chaos
wh3_main_chaos_map_1	Tree_Sound_Daemon_Prince
wh3_main_chaos_map_1	Tree_Sound_Dark_Elves
wh3_main_chaos_map_1	Tree_Sound_Dwarves
wh3_main_chaos_map_1	Tree_Sound_Empire
wh3_main_chaos_map_1	Tree_Sound_Greenskins
wh3_main_chaos_map_1	Tree_Sound_High_Elves
wh3_main_chaos_map_1	Tree_Sound_Khorne
wh3_main_chaos_map_1	Tree_Sound_Kislev
wh3_main_chaos_map_1	Tree_Sound_Lizardmen
wh3_main_chaos_map_1	Tree_Sound_Norsca
wh3_main_chaos_map_1	Tree_Sound_Nurgle
wh3_main_chaos_map_1	Tree_Sound_Ogres
wh3_main_chaos_map_1	Tree_Sound_Skaven
wh3_main_chaos_map_1	Tree_Sound_Slaanesh
wh3_main_chaos_map_1	Tree_Sound_TEST
wh3_main_chaos_map_1	Tree_Sound_Tomb_Kings
wh3_main_chaos_map_1	Tree_Sound_Tree_Large_Base
wh3_main_chaos_map_1	Tree_Sound_Tree_Large_Blossom_Base
wh3_main_chaos_map_1	Tree_Sound_Tree_Large_Dead
wh3_main_chaos_map_1	Tree_Sound_Tree_Large_Evil
wh3_main_chaos_map_1	Tree_Sound_Tree_Large_Jungle
wh3_main_chaos_map_1	Tree_Sound_Tree_Large_Mountain_Base
wh3_main_chaos_map_1	Tree_Sound_Tree_Large_Palm
wh3_main_chaos_map_1	Tree_Sound_Tree_Large_Snow
wh3_main_chaos_map_1	Tree_Sound_Tree_Small_Base
wh3_main_chaos_map_1	Tree_Sound_Tree_Small_Jungle
wh3_main_chaos_map_1	Tree_Sound_Tree_Small_Palm
wh3_main_chaos_map_1	Tree_Sound_Tzeentch
