faction_set	unit	recruitment_cost
#main_unit_faction_overrides_tables;0;db/main_unit_faction_overrides_tables/data__		
subcult_nurgle	1700	wh3_dlc20_chs_cav_chaos_chariot_mnur
warriors_factions	1500	wh3_dlc20_chs_cav_chaos_chariot_msla_ror
subcult_nurgle	3500	wh3_dlc20_chs_cav_chaos_knights_mnur_lances
subcult_nurgle	3000	wh3_dlc20_chs_cav_chaos_knights_mnur
warriors_factions	2100	wh3_dlc20_chs_inf_aspiring_champions_mtze_ror
subcult_khorne	1150	wh3_dlc20_chs_inf_chaos_marauders_mkho_dualweapons
subcult_khorne	850	wh3_dlc20_chs_inf_chaos_marauders_mkho
warriors_factions	600	wh3_dlc20_chs_inf_chaos_marauders_mkho
subcult_nurgle	1050	wh3_dlc20_chs_inf_chaos_marauders_mnur_greatweapons
subcult_nurgle	850	wh3_dlc20_chs_inf_chaos_marauders_mnur
warriors_factions	640	wh3_dlc20_chs_inf_chaos_marauders_mnur
warriors_factions	675	wh3_dlc20_chs_inf_chaos_marauders_msla
warriors_factions	675	wh3_dlc20_chs_inf_chaos_marauders_mtze
subcult_nurgle	1900	wh3_dlc20_chs_inf_chaos_warriors_mnur_greatweapons
subcult_nurgle	1700	wh3_dlc20_chs_inf_chaos_warriors_mnur
subcult_nurgle	3200	wh3_dlc20_chs_inf_chosen_mnur_greatweapons
subcult_nurgle	2800	wh3_dlc20_chs_inf_chosen_mnur
warriors_factions	1200	wh3_dlc20_chs_inf_forsaken_mkho
warriors_factions	1275	wh3_dlc20_chs_inf_forsaken_msla
subcult_khorne	2600	wh3_dlc20_chs_mon_warshrine_mkho
warriors_factions	1950	wh3_dlc20_chs_mon_warshrine_mkho
subcult_nurgle	2600	wh3_dlc20_chs_mon_warshrine_mnur
warriors_factions	1875	wh3_dlc20_chs_mon_warshrine_mnur
warriors_factions	2025	wh3_dlc20_chs_mon_warshrine_msla
warriors_factions	1875	wh3_dlc20_chs_mon_warshrine_mtze
warriors_factions	1800	wh3_dlc20_chs_mon_warshrine
subcult_khorne	4800	wh3_dlc20_kho_cav_skullcrushers_mkho_ror
warriors_factions	3600	wh3_dlc20_kho_cav_skullcrushers_mkho_ror
warriors_factions	750	wh3_main_dae_inf_chaos_furies_0
subcult_khorne	3000	wh3_main_kho_cav_bloodcrushers_0
subcult_khorne	2600	wh3_main_kho_cav_gorebeast_chariot
subcult_khorne	3600	wh3_main_kho_cav_skullcrushers_0
subcult_khorne	1600	wh3_main_kho_inf_bloodletters_0
warriors_factions	1200	wh3_main_kho_inf_bloodletters_0
subcult_khorne	2400	wh3_main_kho_inf_bloodletters_1
warriors_factions	1800	wh3_main_kho_inf_bloodletters_1
subcult_khorne	1100	wh3_main_kho_inf_chaos_furies_0
subcult_khorne	900	wh3_main_kho_inf_chaos_warhounds_0
warriors_factions	675	wh3_main_kho_inf_chaos_warhounds_0
subcult_khorne	1700	wh3_main_kho_inf_chaos_warriors_0
subcult_khorne	1900	wh3_main_kho_inf_chaos_warriors_1
subcult_khorne	2000	wh3_main_kho_inf_chaos_warriors_2
subcult_khorne	1400	wh3_main_kho_inf_flesh_hounds_of_khorne_0
warriors_factions	1050	wh3_main_kho_inf_flesh_hounds_of_khorne_0
subcult_khorne	4400	wh3_main_kho_mon_bloodthirster_0
warriors_factions	3450	wh3_main_kho_mon_bloodthirster_0
subcult_khorne	2900	wh3_main_kho_mon_khornataurs_0
subcult_khorne	3100	wh3_main_kho_mon_khornataurs_1
subcult_khorne	3800	wh3_main_kho_mon_soul_grinder_0
warriors_factions	2850	wh3_main_kho_mon_soul_grinder_0
subcult_khorne	2000	wh3_main_kho_mon_spawn_of_khorne_0
warriors_factions	1500	wh3_main_kho_mon_spawn_of_khorne_0
subcult_khorne	1900	wh3_main_kho_veh_blood_shrine_0
subcult_khorne	2200	wh3_main_kho_veh_skullcannon_0
warriors_factions	1650	wh3_main_kho_veh_skullcannon_0
subcult_nurgle	2400	wh3_main_nur_cav_plague_drones_0
warriors_factions	1950	wh3_main_nur_cav_plague_drones_0
subcult_nurgle	3000	wh3_main_nur_cav_plague_drones_1
subcult_nurgle	2000	wh3_main_nur_cav_pox_riders_of_nurgle_0
subcult_nurgle	1100	wh3_main_nur_inf_chaos_furies_0
subcult_nurgle	1700	wh3_main_nur_inf_forsaken_0_warriors
warriors_factions	1275	wh3_main_nur_inf_forsaken_0_warriors
subcult_nurgle	1700	wh3_main_nur_inf_forsaken_0
subcult_nurgle	700	wh3_main_nur_inf_nurglings_0
