key	unit_attribute	unit_set
#unit_set_unit_attribute_junctions_tables;0;db/unit_set_unit_attribute_junctions_tables/data__		
cause_fear_undivided_units	causes_fear	wh3_dlc20_chs_unmarked_units
contact_immune_saurus_temple_guard	ignore_imbue_contact_effects_enemy	lzd_saurus_templeg
def_enable_fear_blackguard	causes_fear	def_blackguard
def_enable_fear_corsairs	causes_fear	def_corsairs
def_enable_fear_shades	causes_fear	def_shades
def_enable_stalk_corsairs	stalk	def_corsairs
def_executioners_immune_to_psychology	immune_to_psychology	def_executioners
devastating_flanker_wraiths	devastating_flanker	wh2_dlc11_vmp_cairn_wraith_hex_wraith_mourngul
expendable_all_non_characters	expendable	dlc14_all_units_excluding_characters
lzd_astromancy_guerilla_units_deploy	guerrilla_deploy	lzd_astromancy_stance_guerilla_units
lzd_enable_terror_blessed_kroxigors	causes_terror	wh2_main_lzd_mon_kroxigors_blessed
perfect_vigour_death_hags_witch_elves	fatigue_immune	wh2_def_death_hag_and_witch_elf
perfect_vigour_def_assassins	fatigue_immune	def_assassins
perfect_vigour_def_executioners	fatigue_immune	def_executioners
perfect_vigour_hellebron	fatigue_immune	wh2_dlc10_def_cha_hellebron
perfect_vigour_sisters_of_slaughter	fatigue_immune	def_sisters_of_slaughter
perfect_vigour_skeletons_0	fatigue_immune	vmp_unit_skeletons_0
perfect_vigour_skeletons_1	fatigue_immune	vmp_unit_skeletons_1
perfect_vigour_wh_dlc04_vmp_inf_konigstein_stalkers_0	fatigue_immune	wh_dlc04_vmp_inf_konigstein_stalkers_0
stalk_lokhir_unmounted	guerrilla_deploy	lokhir_unmounted
vanguard_lokhir_unmounted	stalk	lokhir_unmounted
vanguard_slaanesh_units	guerrilla_deploy	wh3_dlc20_chs_slaanesh_marked_units
vanguard_zombies	guerrilla_deploy	vmp_unit_zombies
wh2_dlc09_tmb_chariots_guerilla_deploy	guerrilla_deploy	wh2_dlc09_tmb_chariots
wh2_dlc11_cst_monsters_guerilla_deploy	guerrilla_deploy	wh2_dlc11_cst_rite_vanguard_monsters
wh2_dlc12_effect_attribute_expendable_skv_clanrats	expendable	skv_clanrats
wh2_dlc12_skaven_doomflayer_character_stalker	stalk	wh2_dlc12_skv_cha_doomflayer
wh2_dlc12_skaven_doomflayer_vanguard_deployment	guerrilla_deploy	wh2_dlc12_skv_doomflayers
wh2_dlc12_skaven_doomwheel_character_perfect_vigour	fatigue_immune	wh2_dlc12_skv_cha_doomwheel
wh2_dlc12_skaven_doomwheel_strider	strider	skv_doomwheel
wh2_dlc12_skaven_jezzail_stalker	stalk	wh2_dlc12_skv_jezzail
wh2_dlc13_effect_unit_kroxigors_attribute_terror	causes_terror	lzd_kroxigor
wh2_dlc13_saurus_temple_guard_charge_defence	charge_defense	lzd_saurus_templeg
wh2_dlc13_saurus_temple_guard_unbreakable	unbreakable	lzd_saurus_templeg
wh2_dlc14_effect_stormvermin_enable_attribute_encourage	encourages	skv_stormvermin
wh2_dlc14_effect_stormvermin_enable_attribute_immpsy	immune_to_psychology	skv_stormvermin
wh2_dlc14_malus_skill_stalk	stalk	wh2_dlc14_def_cha_malus
wh2_dlc14_skv_cause_fear_posion_wind_globaldier	causes_fear	wh2_dlc14_skv_poison_wind_globaldier_death_globe
wh2_dlc14_skv_warp_grinder_expendable	expendable	wh2_dlc14_skv_warp_grinder
wh2_dlc14_skv_warp_grinder_vanguard	guerrilla_deploy	wh2_dlc14_skv_warp_grinder
wh2_dlc14_tzarkan_skill_terror	causes_terror	wh2_dlc14_def_cha_tzarkan
wh2_dlc15_cause_fear_goblin_inf	causes_fear	grn_infantry_goblin
wh2_dlc15_effect_attribute_stalk_hef_mistwalkers	stalk	wh2_dlc15_mistwalkers
wh2_dlc15_expendable_goblins	expendable	grn_infantry_goblin
