query_variable	query_variable_set	value
#cai_query_variable_set_junctions_tables;0;db/cai_query_variable_set_junctions_tables/data__		
max	avg_settlement_level_high	5
min	avg_settlement_level_high	1
min_max_behaviour	avg_settlement_level_high	scaled
max	avg_settlement_level_low	3
min	avg_settlement_level_low	1
min_max_behaviour	avg_settlement_level_low	scaled
max	basic_bounds	5
min	basic_bounds	0
min_max_behaviour	basic_bounds	bounds
max	basic_random_bounds	2
max_random_extension	basic_random_bounds	3
min	basic_random_bounds	0
min_max_behaviour	basic_random_bounds	bounds
min_random_extension	basic_random_bounds	0
max	bounds_max_0.1	0.5
min	bounds_max_0.1	0
min_max_behaviour	bounds_max_0.1	bounds
max	bounds_max_0.5	0.5
min	bounds_max_0.5	0
min_max_behaviour	bounds_max_0.5	bounds
max	bounds_max_0.6	0.6
min_max_behaviour	bounds_max_0.6	bounds
max	bounds_max_0.8	0.8
min	bounds_max_0.8	0
min_max_behaviour	bounds_max_0.8	bounds
max	bounds_max_0.95	0.95
min_max_behaviour	bounds_max_0.95	bounds
max	bounds_max_0.98	0.98
min_max_behaviour	bounds_max_0.98	bounds
max	bounds_max_0	0
min_max_behaviour	bounds_max_0	bounds
max	bounds_max_1000	1000
min_max_behaviour	bounds_max_1000	bounds
max	bounds_max_10_rand_+5	10
max_random_extension	bounds_max_10_rand_+5	5
min_max_behaviour	bounds_max_10_rand_+5	bounds
max	bounds_max_10	10
min_max_behaviour	bounds_max_10	bounds
max	bounds_max_20	20
min_max_behaviour	bounds_max_20	bounds
max	bounds_max_24	24
min_max_behaviour	bounds_max_24	bounds
max	bounds_max_49	49
min_max_behaviour	bounds_max_49	bounds
max	bounds_max_74	74
min_max_behaviour	bounds_max_74	bounds
max	bounds_min_-10_max_1	1
min	bounds_min_-10_max_1	-10
min_max_behaviour	bounds_min_-10_max_1	bounds
max	bounds_min_0.01_max_1	1
min	bounds_min_0.01_max_1	0.01
min_max_behaviour	bounds_min_0.01_max_1	bounds
min	bounds_min_0.8	0.8
min_max_behaviour	bounds_min_0.8	bounds
min	bounds_min_0.95	0.95
min_max_behaviour	bounds_min_0.95	bounds
min	bounds_min_10000	30000
min_max_behaviour	bounds_min_10000	bounds
min	bounds_min_100	100
min_max_behaviour	bounds_min_100	bounds
min	bounds_min_10	10
min_max_behaviour	bounds_min_10	bounds
min	bounds_min_14	14
min_max_behaviour	bounds_min_14	bounds
min	bounds_min_17	17
min_max_behaviour	bounds_min_17	bounds
min	bounds_min_30000	30000
min_max_behaviour	bounds_min_30000	bounds
min	bounds_min_300	300
min_max_behaviour	bounds_min_300	bounds
max	bounds_min_50_max_99	99
min	bounds_min_50_max_99	51
min_max_behaviour	bounds_min_50_max_99	bounds
min	bounds_min_6000	6000
min_max_behaviour	bounds_min_6000	bounds
min	bounds_min_6	6
min_max_behaviour	bounds_min_6	bounds
max	bounds_similar_relative_strength	0.7
min	bounds_similar_relative_strength	0.3
min_max_behaviour	bounds_similar_relative_strength	bounds
queried_domain	bounds_similar_relative_strength	source
compass_direction	cathay_compass_direction_bastion	wh3_main_chaos_compass_bastion
compass_direction	cathay_compass_direction_desert	wh3_main_chaos_compass_desert
compass_direction	cathay_compass_direction_lake	wh3_main_chaos_compass_lake
compass_direction	cathay_compass_direction_wrath	wh3_main_chaos_compass_wrath
max	cathay_compass_power_level_bounds	10
min	cathay_compass_power_level_bounds	0
min_max_behaviour	cathay_compass_power_level_bounds	scaled
min	enemy_army_present_range_1	0
min_max_behaviour	enemy_army_present_range_1	bounds_exclusive
owned_by	enemy_army_present_range_1	enemy
