component	icon	state	sort_order
#campaign_payload_ui_details_tables;2;db/campaign_payload_ui_details_tables/data__			
add_mercenary_to_faction_pool	ui/skins/default/merc.png	positive	5
add_mercenary_to_province_pool	ui/campaign ui/effect_bundles/spawning.png	positive	5
add_province_development_point		positive	0
add_unit		positive	0
ambition_change		positive	0
assign_character_to_post		default	0
character_experience_change	ui/campaign ui/effect_bundles/experience.png	positive	0
damage_buildings	ui/campaign ui/effect_bundles/construction.png	negative	0
damage_buildings_home_region	ui/campaign ui/effect_bundles/construction.png	negative	0
damage_character	ui/campaign ui/effect_bundles/attrition.png	negative	0
demolish_building_chain	ui/campaign ui/effect_bundles/settlement.png	negative	0
diplomatic_attitude_change	ui/campaign ui/effect_bundles/diplomacy.png	positive_if_value_positive	0
dummy_ToL_points_bonus		default	0
dummy_ToL_points_bonus_explainer		default	0
dummy_ariel_spawns	ui/campaign ui/effect_bundles/agent.png	default	0
dummy_blank		default	9
dummy_confederate_aquitaine	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_artois	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_averland	ui/campaign ui/effect_bundles/confederation.png	default	2
dummy_confederate_bastonne	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_bordeleaux	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_bretonnia	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_carcassonne	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_faction_argwylon	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_faction_bowmen	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_faction_drycha	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_faction_karak_hirn	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_faction_karond_kar	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_faction_laurelorn	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_faction_shanlin	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_faction_sisters	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_faction_talsyn	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_faction_torgovann	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_faction_wydrioth	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_greenskin_boss_defeated	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_hochland	ui/campaign ui/effect_bundles/confederation.png	default	2
dummy_confederate_lyonesse	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_middenland	ui/campaign ui/effect_bundles/confederation.png	default	2
dummy_confederate_nordland	ui/campaign ui/effect_bundles/confederation.png	default	2
dummy_confederate_norsca_chieftan_defeated	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_option_wh2_main_dwf_spine_of_sotek_dwarfs	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_option_wh2_main_hef_caledor	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_option_wh_main_dwf_karak_azul	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_ostermark	ui/campaign ui/effect_bundles/confederation.png	default	2
dummy_confederate_ostland	ui/campaign ui/effect_bundles/confederation.png	default	2
dummy_confederate_parravon	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_reikland	ui/campaign ui/effect_bundles/confederation.png	default	2
dummy_confederate_stirland	ui/campaign ui/effect_bundles/confederation.png	default	2
dummy_confederate_talabecland	ui/campaign ui/effect_bundles/confederation.png	default	2
dummy_confederate_wh2_dlc12_grn_leaf_cutterz_tribe	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_wh2_dlc14_grn_red_cloud	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_wh2_dlc15_grn_bonerattlaz	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_wh2_dlc15_grn_broken_axe	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_wh2_dlc15_grn_skull_crag	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_wh2_main_dwf_spine_of_sotek_dwarfs	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_wh2_main_grn_arachnos	ui/campaign ui/effect_bundles/confederation.png	default	0
dummy_confederate_wh2_main_grn_blue_vipers	ui/campaign ui/effect_bundles/confederation.png	default	0
