incident_key	mission_key	status_key
#cdir_events_mission_incidents_tables;0;db/cdir_events_mission_incidents_tables/data__		
wh2_dlc10_monster_hunt_8_stage_2	wh2_dlc10_monster_hunt_8_stage_1	CANCELLED
wh2_dlc10_monster_hunt_8_stage_2	wh2_dlc10_monster_hunt_8_stage_1	SUCCESS
wh2_dlc10_monster_hunt_8_stage_3a_2	wh2_dlc10_monster_hunt_8_stage_3a_1	CANCELLED
wh2_dlc10_monster_hunt_8_stage_3a_2	wh2_dlc10_monster_hunt_8_stage_3a_1	SUCCESS
wh2_dlc10_monster_hunt_9_stage_2	wh2_dlc10_monster_hunt_9_stage_1	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh2_dlc17_grudge_legendary_enemy_dark_elves	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh2_dlc17_grudge_legendary_enemy_dark_elves	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh2_dlc17_grudge_legendary_enemy_dark_elves	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh2_dlc17_grudge_legendary_enemy_dark_elves	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh2_dlc17_grudge_legendary_enemy_grimgor	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh2_dlc17_grudge_legendary_enemy_grimgor	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh2_dlc17_grudge_legendary_enemy_grimgor	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh2_dlc17_grudge_legendary_enemy_grimgor	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh2_dlc17_grudge_legendary_enemy_high_elves	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh2_dlc17_grudge_legendary_enemy_high_elves	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh2_dlc17_grudge_legendary_enemy_high_elves	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh2_dlc17_grudge_legendary_enemy_high_elves	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh2_dlc17_grudge_legendary_enemy_queek	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh2_dlc17_grudge_legendary_enemy_queek	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh2_dlc17_grudge_legendary_enemy_queek	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh2_dlc17_grudge_legendary_enemy_queek	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh2_dlc17_grudge_legendary_enemy_skarsnik	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh2_dlc17_grudge_legendary_enemy_skarsnik	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh2_dlc17_grudge_legendary_enemy_skarsnik	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh2_dlc17_grudge_legendary_enemy_skarsnik	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh2_dlc17_grudge_legendary_enemy_snikch	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh2_dlc17_grudge_legendary_enemy_snikch	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh2_dlc17_grudge_legendary_enemy_snikch	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh2_dlc17_grudge_legendary_enemy_snikch	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh2_dlc17_grudge_legendary_enemy_throt	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh2_dlc17_grudge_legendary_enemy_throt	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh2_dlc17_grudge_legendary_enemy_throt	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh2_dlc17_grudge_legendary_enemy_throt	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh2_dlc17_grudge_legendary_settlement_black_crag	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh2_dlc17_grudge_legendary_settlement_black_crag	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh2_dlc17_grudge_legendary_settlement_black_crag	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh2_dlc17_grudge_legendary_settlement_black_crag	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh2_dlc17_grudge_legendary_settlement_karak_azgal	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh2_dlc17_grudge_legendary_settlement_karak_azgal	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh2_dlc17_grudge_legendary_settlement_karak_azgal	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_thanes	wh2_dlc17_grudge_legendary_settlement_karak_azgal	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_brewers	wh2_dlc17_grudge_legendary_settlement_karak_ungor	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_crafters	wh2_dlc17_grudge_legendary_settlement_karak_ungor	SUCCESS
wh2_dlc17_incident_dwf_thorgrim_gruge_settled_reward_slayers	wh2_dlc17_grudge_legendary_settlement_karak_ungor	SUCCESS
