condition_key	technology_key	required_number
#technology_conditions_tables;0;db/technology_conditions_tables/data__		
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_1	wh3_main_tech_tze_1_9	1
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_2	wh3_main_tech_tze_1_1	1
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_3	wh3_main_tech_tze_3_5	1
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_4	wh3_main_tech_tze_4_1	1
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_5	wh3_main_tech_tze_3_7	1
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_6	wh3_main_tech_tze_2_3	1
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_7	wh3_main_tech_tze_2_9	1
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_8	wh3_main_tech_tze_4_9	1
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW_9	wh3_main_tech_tze_0_8	1
