member	region
#campaign_group_member_criteria_regions_tables;0;db/campaign_group_member_criteria_regions_tables/data__	
wh2_dlc09_settlement_tmb_great_pyramids_bhagar	wh3_main_combi_region_bhagar
wh2_dlc09_settlement_tmb_great_pyramids_black_pyramid	wh3_main_combi_region_black_pyramid_of_nagash
wh2_dlc09_settlement_tmb_great_pyramids_ka_sabar	wh3_main_combi_region_ka_sabar
wh2_dlc09_settlement_tmb_great_pyramids_khemri	wh3_main_combi_region_khemri
wh2_dlc09_settlement_tmb_great_pyramids_numas	wh3_main_combi_region_numas
wh2_dlc09_settlement_tmb_great_pyramids_quatar	wh3_main_combi_region_quatar
wh2_dlc09_settlement_tmb_great_pyramids_zandri	wh3_main_combi_region_zandri
wh2_main_lzd_lizardmen_occupation_decision_raze_without_occupy_wh2_dlc13_lzd_spirits_of_the_jungle_wh3_main_combi_region_eagle_gate	wh3_main_combi_region_eagle_gate
wh2_main_lzd_lizardmen_occupation_decision_raze_without_occupy_wh2_dlc13_lzd_spirits_of_the_jungle_wh3_main_combi_region_griffon_gate	wh3_main_combi_region_griffon_gate
wh2_main_lzd_lizardmen_occupation_decision_raze_without_occupy_wh2_dlc13_lzd_spirits_of_the_jungle_wh3_main_combi_region_phoenix_gate	wh3_main_combi_region_phoenix_gate
wh2_main_lzd_lizardmen_occupation_decision_raze_without_occupy_wh2_dlc13_lzd_spirits_of_the_jungle_wh3_main_combi_region_the_oak_of_ages	wh3_main_combi_region_the_oak_of_ages
wh2_main_lzd_lizardmen_occupation_decision_raze_without_occupy_wh2_dlc13_lzd_spirits_of_the_jungle_wh3_main_combi_region_unicorn_gate	wh3_main_combi_region_unicorn_gate
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_akendorf	wh3_main_combi_region_akendorf
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_antoch	wh3_main_combi_region_antoch
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_bamboo_crossing	wh3_main_combi_region_bamboo_crossing
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_bechafen	wh3_main_combi_region_bechafen
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border_wh3_main_combi_region_bhagar	wh3_main_combi_region_bhagar
