id	duration	effect_type	requested_stance	unbreakable	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	damage_amount	max_damaged_entities	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group	spreading	freeze_recharge	heal_amount	barrier_heal_amount
#special_ability_phases_tables;41;db/special_ability_phases_tables/data__																													
wh2_dlc09_army_abilities_rictus_clanstone	48.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0			wh2_main_ability_mors_clanstone	false	true	true	0.0000			false	0.0000	0.0000
wh2_dlc09_army_abilities_sand_veil	89.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc09_army_abilities_sand_veil	wh2_dlc09_ability_sand_veil_one_shot	false	true	true	0.0000			false	0.0000	0.0000
wh2_dlc09_army_ability_tomb_swarm	18.0000	negative		false	false	false	0.0000	0.0000	0.0000	1.0000	6	25	false	0.0000	0.0000	false	0		wh2_dlc09_army_abilities_tomb_swarm	wh2_dlc09_ability_tmb_negative	false	true	true	0.0000			false	0.0000	0.0000
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0				true	true	true	0.0000			false	0.0000	0.0000
wh2_dlc09_character_abilities_curse_of_djaf	22.0000	negative		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc09_abilities_curse_of_djaf	wh2_dlc09_ability_curse_of_djaf	false	true	true	0.0000			false	0.0000	0.0000
wh2_dlc09_character_abilities_curse_of_khsar	25.0000	negative		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_debuff_defence	wh2_dlc09_ability_tmb_negative	false	true	true	0.0000			false	0.0000	0.0000
wh2_dlc09_character_abilities_restore	24.0000	positive		false	false	false	0.0000	0.0000	0.0000	1.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_hp_regen	wh2_dlc09_ability_tmb_positive	false	true	true	0.0000			false	0.0080	0.0000
wh2_dlc09_character_abilities_stay_here_ill_get_help	35.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_morale	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000
wh2_dlc09_character_abilities_stay_here_ill_get_help_miscast	35.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_main_spell_ruin_skitterleap		false	true	false	0.0000			false	0.0000	0.0000
wh2_dlc09_character_abilities_strike_of_nagash	27.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000
wh2_dlc09_character_abilities_strike_of_nehekhara	23.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000
wh2_dlc09_character_abilities_strike_of_tombs	23.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000
wh2_dlc09_character_abilities_tomb_king_rally	14.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_morale	wh2_dlc09_ability_tmb_positive	false	true	true	0.0000			false	0.0000	0.0000
wh2_dlc09_character_abilities_tomb_king_rally_upgraded	10.0000	positive		false	false	false	0.0000	0.0000	0.0000	1.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_morale	wh2_dlc09_ability_tmb_positive	false	true	true	0.0000			false	0.0080	0.0000
wh2_dlc09_character_passive_befalling_curse	23.0000	negative		false	false	false	0.0200	0.0000	0.0000	1.0000	5	25	false	0.0000	0.0000	false	0		wh2_dlc09_abilities_befalling_curse		false	true	true	0.0000			false	0.0000	0.0000
wh2_dlc09_character_passive_blessing_of_asaph	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc09_abilities_blessing_of_asaph		false	true	true	0.0000			false	0.0000	0.0000
wh2_dlc09_character_passive_stone_shaper	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence_passive		false	true	true	0.0000			false	0.0000	0.0000
wh2_dlc09_character_passive_tretchs_raiders	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_passive		false	true	false	0.0000			false	0.0000	0.0000
wh2_dlc09_character_passive_true_blessing_of_asaph	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_dlc09_abilities_blessing_of_asaph		false	true	true	0.0000			false	0.0000	0.0000
